company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Property and Interior Design,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/property-and-interior-design/zn4Pd/,bark
Glenn's Bathrooms,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/glenns-bathrooms/YbyQe/,bark
Smooth Smiling Walls,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/smooth-smiling-walls/ZymXK/,bark
Ash plumbing solution bathroom refurbishmet,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/ash-plumbing-solution-bathroom-refurbishmet/AbPYE/,bark
Integrity Building Innovations Ltd (Integrity Gas),,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/integrity-building-innovations-ltd-integrity-gas/BRwe0/,bark
HYT Builders,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/hyt-builders/2KLGY/,bark
Bathroomfix,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/bathroomfix/7K9aA/,bark
Parratt Plumbing & Heating Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/parratt-plumbing--heating-ltd/nvoL1/,bark
Bathrooms Only,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/bathrooms-only/wl3Mo/,bark
Studio Modha,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/studio-modha/Gyo4O/,bark
JDM Plumbing and Gas Limited,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/jdm-plumbing-and-gas-limited/OmzNw/,bark
London Luxury Bathrooms,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/london-luxury-bathrooms/07a3a/,bark
MY PLUMBING ANGEL,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/my-plumbing-angel/V91YX/,bark
Richard & Simon,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/richard--simon/P36Gy/,bark
Morgan Ritchie Property Services,,Bathroom Fitter,,,,70,,,,,https://www.bark.com/en/gb/company/morgan-ritchie-property-services/n39VM/,bark
Bellozz Electrical LTD,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/bellozz-electrical-ltd/on869/,bark
M and H Buildings,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/m-and-h-buildings/pqgZ8/,bark
Greygreen (SE) Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/greygreen-se-ltd/3OXRo/,bark
C&R construction,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/cr-construction/zzJOd/,bark
Innovate Build Group ltd,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/innovate-build-group-ltd/POyza/,bark
GNS Design and Build,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/gns-design-and-build/jya8N/,bark
Televit Ltd,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/televit-ltd/b9Ay1/,bark
Lne contracts,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/lne-contracts/ZEpjl/,bark
Perspolis plumbing,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/perspolis-plumbing/VoJEK/,bark
Gold & Berg,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/gold--berg/4PBaG/,bark
RnS Property Management Ltd.,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/rns-property-management-ltd/9pAMA/,bark
J.LEO Architecture,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/jleo-architecture/zdXvG/,bark
SJH Designs,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/sjh-designs/LVbP8/,bark
ABC constructions,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/abc-constructions/2ZlYg/,bark
D&N SERVICES CONSTRUCTIONS LTD,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/dampn-services-constructions-ltd/v3bK2/,bark
HM plumbing and heating,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/hm-plumbing-and-heating/kXbYO/,bark
