company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
KCS Property Maintenance,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/kcs-property-maintenance/99Rdv/,bark
Lick of Paint London ltd.,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/lick-of-paint-london-ltd/y1Gk8/,bark
Proglass Design&Project Solutions Ltd.,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/proglass-designproject-solutions-ltd/0GBaR/,bark
Amber Maintenance Services Ltd,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/amber-maintenance-services-ltd/qpPRB/,bark
Kastek Solutions,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/kastek-solutions/Y123q/,bark
Platinum Handy Services,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/platinum-handy-services/w4QDJ/,bark
First Fix Decor & Boiler Experts,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/first-fix-decor-amp-boiler-experts/2L4NN/,bark
Bespoke Design Ltd,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/bespoke-design-ltd/74KVq/,bark
Old Decorating Contractors,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/old-decorating-contractors/z89Zy/,bark
House Pamper Ltd,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/house-pamper-ltd/ynaea/,bark
C&R GLAZING,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/campr-glazing/OKakm/,bark
"Renov decor- painting, decorating & renovation",,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/renov-decor--painting-decorating-amp-renovation/4kVQG/,bark
Morgan Ritchie Property Services,,Painter Decorator,,,,70,,,,,https://www.bark.com/en/gb/company/morgan-ritchie-property-services/n39VM/,bark
PAINTERS FOR YOU LTD,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/painters-for-you-ltd/dkwDw/,bark
TRC Developments Ltd,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/trc-developments-ltd/MlENX/,bark
Eco Pro Painters,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/eco-pro-painters/DBbPm/,bark
Lne contracts,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/lne-contracts/ZEpjl/,bark
Dryliner Finisher,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/dryliner-finisher/EvkYM/,bark
Betta Decorators,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/betta-decorators/qQZgM/,bark
Deluxe Building Services,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/deluxe-building-services/PNnNe/,bark
Suave Property Care,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/suave-property-care/7PLG9/,bark
Regal Restorations ltd,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/regal-restorations-ltd/egLLA/,bark
BSG4U LTD,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/bsg4u-ltd/LzdMq/,bark
DecoBright,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/decobright/47AqJ/,bark
CLEAN QUEEN,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/clean-queen/REzEZ/,bark
Innovate Build Group ltd,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/innovate-build-group-ltd/POyza/,bark
A.Lupu,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/alupu/8R6Q/,bark
D&K  LTD,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/dk--ltd/Z070Q/,bark
KRYSTALCLEARPHPD LTD.,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/krystalclearphpd-ltd/y8ER/,bark
PAL DECORATING LTD,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/pal-decorating-ltd/Zby6n/,bark
Painting London's Properties,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/painting-londons-properties/j8gb4/,bark
Under One Roof Co.,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/under-one-roof-co/LjNzq/,bark
CSN Construction 4u ltd,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/csn-construction-4u-ltd/D2Nbg/,bark
Cyrene decorations,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/cyrene-decorations/Z8bmX/,bark
Nenad Radenovic,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/nenad-radenovic/DOD6m/,bark
Crownstone builders & decorators,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/crownstone-builders--decorators/j897R/,bark
London Squirrel Estate,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/london-squirrel-estate/0wjlR/,bark
Profesional Painting &Decorating,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/profesional-painting-ampdecorating/Oyw6e/,bark
SJH Designs,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/sjh-designs/LVbP8/,bark
Lewis Decorators Group,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/lewis-decorators-group/9Xyej/,bark
D&N SERVICES CONSTRUCTIONS LTD,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/dampn-services-constructions-ltd/v3bK2/,bark
David Ward Canadian Handyperson,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/david-ward-canadian-handyperson/4Zd0Q/,bark
Classical London Decorating & Building Services,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/classical-london-decorating--building-services/72z8E/,bark
Silvercrest decorating,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/silvercrest-decorating/yOvOG/,bark
Quick Fix - Carpenter Handyman Plus,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/quick-fix---carpenter-handyman-plus/RnbZZ/,bark
TopDec Decorating Contractors Ltd,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/topdec-decorating-contractors-ltd/GpXJv/,bark
R.C-Home Improvements,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/rc-home-improvements/2jQbd/,bark
CRYSTAL SERVICES,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/crystal-services/ze8b3/,bark
TANI’S  PAINTING &DECORATING,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/tanis--painting-decorating/d6XMY/,bark
WAA Construction ltd,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/waa-construction-ltd/DwEdP/,bark
Queen Bee,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/queen-bee/PoMB0/,bark
PAINTJOBS,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/paintjobs/g78j6/,bark
Clean All Crew Ltd,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/clean-all-crew-ltd/qno7B/,bark
DMG Painting and Decorating,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/dmg-painting-and-decorating/8336Q/,bark
Artem painters,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/artem-painters/JR9kd/,bark
Colour Palette,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/colour-palette/8PQnZ/,bark
Venus Painters,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/venus-painters/2VzAY/,bark
EasyCleaning&Cia Services,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/easycleaningcia-services/L9kg8/,bark
The master craftsman ltd,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/the-master-craftsman-ltd/4goJm/,bark
Kokoli Decorations,,Painter Decorator,,,,,,,,,https://www.bark.com/en/gb/company/kokoli-decorations/4vDkm/,bark
PRISTINE PROPERTY SOLUTIONS,,Painter Decorator,,,5,,,,,,https://www.bark.com/en/gb/company/pristine-property-solutions/VZ9nX/,bark
