company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Mz.plumbing,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/mzplumbing/EV3GR/,bark
JDM Plumbing and Gas Limited,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/jdm-plumbing-and-gas-limited/OmzNw/,bark
Integrity Building Innovations Ltd (Integrity Gas),,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/integrity-building-innovations-ltd-integrity-gas/BRwe0/,bark
Ash plumbing solution bathroom refurbishmet,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/ash-plumbing-solution-bathroom-refurbishmet/AbPYE/,bark
SMA Plumbing And Bathrooms LTD,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/sma-plumbing-and-bathrooms-ltd/8myB6/,bark
Qualityhome Services,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/qualityhome-services/Bbvll/,bark
Captain Gas ltd,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/captain-gas-ltd/japeK/,bark
Kuco Ltd,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/kuco-ltd/G4YG/,bark
Determined Maintenance,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/determined-maintenance/wa324/,bark
SOUTH WEST LONDON DESIGN&amp;BUILD LIMITED,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/south-west-london-designampbuild-limited/MgBvg/,bark
Boiler & Heating Care Ltd,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/boiler--heating-care-ltd/gAjqG/,bark
Blockage Inspectors,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/blockage-inspectors/o0vJN/,bark
365 Gas and Plumbing,,Plumber,,,,,,,,,https://www.bark.com/en/gb/company/365-gas-and-plumbing/9jGXl/,bark
