company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"LXM Building Services Ltd","Mr Inglian","Bathrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",9.92,9.75,10,10,8,2,"426885949",Yes,Yes,Yes,"https://www.checkatrade.com/trades/lxmbuildingservicesltd",lxmbuildingservicesltd
"4ar Construction Ltd","Mr Armin","Bathrooms","Stratford","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",9.93,10,10,9.8,40,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/4arconstruction",4arconstruction
"Matmar Ltd","Mr Mariusz","Bathrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",10,10,10,10,25,9,"239016516",Yes,Yes,Yes,"https://www.checkatrade.com/trades/matmarltd",matmarltd
"London Luxury Bathrooms","Mr Jean","Bathrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",9.85,9.81,9.88,9.88,22,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/londonluxurybathrooms",londonluxurybathrooms
"Andy Contractors","Mr Andi","Bathrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",10,10,10,10,5,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/andycontractors",andycontractors
"DGV Services Ltd","Mr. Dean Thomas","Bathrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",9.95,10,9.86,10,15,7,"",Yes,No,Yes,"https://www.checkatrade.com/trades/dgvservices",dgvservices
"ES  Building Services","Mr Harry","Bathrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",9.89,9.85,9.9,9.9,21,1,"",No,No,Yes,"https://www.checkatrade.com/trades/esbuildingservices",esbuildingservices
"Richard & Simon","Mr Ricardas","Bathrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",9.87,9.86,9.9,9.86,31,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/richardandsimon",richardandsimon
"Top Quality Interiors","Mr Tomasz","Bathrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",10,10,10,10,101,10,"189475643",No,Yes,Yes,"https://www.checkatrade.com/trades/topqualityinteriors",topqualityinteriors
"J&jplumbingservices Ltd","Mr Santiago","Bathrooms","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=eaeef759-8ddc-4f7b-bb9a-a2a2e9af802b&cat_web_session_id=e5a8c5cb-becc-425c-9387-d4ac2d02a779&banner_location=header",9.78,10,10,10,21,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/jandjplumbingservices",jandjplumbingservices
