company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"Andrew handyman","Mr Andrei","Handyman","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",9.41,9.48,9.42,9.33,33,1,"",No,No,Yes,"https://www.checkatrade.com/trades/andrewhandyman5931477",andrewhandyman5931477
"Jacob Handyman","Mr Iacob","Handyman","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",9.82,9.82,9.91,9.73,33,1,"",No,No,Yes,"https://www.checkatrade.com/trades/jacobhandyman",jacobhandyman
"Master Services","Mr Victor","Handyman","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",7.38,7.44,7.25,7.44,39,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/masterservices",masterservices
"Clean Freaks Hub - CF Hub","Mr Tristan","Handyman","every trade","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",9.75,9.92,9.67,9.67,12,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/cleanfreakshubcfhub",cleanfreakshubcfhub
"Joes Building Services Ltd","Mr Can","Handyman","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",10,10,10,10,99,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/joesbuildingservicesltd",joesbuildingservicesltd
"Silver Saints Ltd","Don Mc","Handyman","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",9.72,9.82,9.78,9.8,1243,7,"929381885",Yes,No,Yes,"https://www.checkatrade.com/trades/silversaintsltd",silversaintsltd
"R.B Handyman Home Service","Mr Relu","Handyman","Edgware and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",9.86,9.82,9.82,9.94,17,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/rbhandymanhomeservice",rbhandymanhomeservice
"Harrys Home Solutions Ltd","Mr Harry","Handyman","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",9.94,9.85,10,9.96,109,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/harryshomesolutionsltd",harryshomesolutionsltd
"Arx Developments Ltd","Mr Davit","Handyman","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",9.96,9.94,10,9.94,16,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/arxdevelopmentsltd",arxdevelopmentsltd
"TMT Central Ltd","Mr Rabar","Handyman","Central London","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",9.71,9.63,9.5,10,197,7,"318492291",Yes,Yes,Yes,"https://www.checkatrade.com/trades/tmtcentralltd",tmtcentralltd
"GMC Handyman","Ms Gabriela","Handyman","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=9f7a021a-8c9b-42b6-b6e7-879ec4136b53&cat_web_session_id=a9ab3ce1-59f0-48a9-9631-ea2e2a517a12&banner_location=header",9.74,9.78,9.56,9.89,9,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/gmchandyman",gmchandyman
