company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"Premium Property Services","Mr Ross","Insulation","general building","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.84,9.89,9.9,9.89,520,4,"449200994",Yes,Yes,Yes,"https://www.checkatrade.com/trades/premiumpropertyservices",premiumpropertyservices
"HOUSEHOLD INVESTMENTS LIMITED","Mr. Ozzie Bulluroglu","Insulation","how we","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.74,9.54,9.77,9.92,72,5,"380801212",Yes,Yes,Yes,"https://www.checkatrade.com/trades/householdinvestmentslimited937970",householdinvestmentslimited937970
"Red Squirrel Insulation","Mr Lee","Insulation","West London","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.98,10,9.93,10,98,4,"",No,Yes,Yes,"https://www.checkatrade.com/trades/redsquirrelinsulation",redsquirrelinsulation
"SoundproofingUK Ltd","Mr Raymond","Insulation","on furniture","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.82,9.91,9.91,9.64,177,12,"191538001",Yes,Yes,Yes,"https://www.checkatrade.com/trades/soundproofingukbanstead",soundproofingukbanstead
"The Insulation Corp","Mr Jonathan","Insulation","NW London","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9,9,9,9,67,4,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/theinsulationcorp",theinsulationcorp
"G.A.S General Building Services Ltd","Mr George","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,1,,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/gasgeneralbuildingservicesltd",gasgeneralbuildingservicesltd
"Coastal Prime Ltd","Mr John","Insulation","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",,,,,,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/coastalprimeltd",coastalprimeltd
"SFIR Home Improvements","Mr Christopher","Insulation","the whole","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.4,,,,209,,"",Yes,No,Yes,"https://www.checkatrade.com/trades/sfirhomeimprovements",sfirhomeimprovements
"Eco Systems Group Ltd","Mr Muhamet","Insulation","various residential","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.2,9.23,9.08,9.23,251,7,"175872957",Yes,Yes,Yes,"https://www.checkatrade.com/trades/ecosprayfoamsystems",ecosprayfoamsystems
"Stay Warm Insulation Ltd","Mr Imer","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.87,10,9.8,9.8,119,7,"293250404",Yes,Yes,Yes,"https://www.checkatrade.com/trades/staywarminsulation",staywarminsulation
"An Expert Maintenance ltd","Mr Ionel","Insulation","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",,,,,,,"",Yes,No,Yes,"https://www.checkatrade.com/trades/anexpertmaintenanceltd",anexpertmaintenanceltd
"Safe Eco-fixes Ltd","Mr Jonathan","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.6,9.59,9.63,9.59,52,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/safeecofixes",safeecofixes
"Essex Loft Insulation","Mr George","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,62,4,"",No,Yes,Yes,"https://www.checkatrade.com/trades/essexloftinsulation",essexloftinsulation
"Rendering Trivia Ltd","Mr Ismen","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,22,3,"453081509",Yes,Yes,Yes,"https://www.checkatrade.com/trades/renderingtrivialtd",renderingtrivialtd
