company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"Dyson Plastering","Mr Jack","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.97,10,10,9.92,31,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/spreadzillaplasteringcontractors",spreadzillaplasteringcontractors
"Ji Plastering","Mr Jurgen","Plasterer","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.33,9.75,8.75,9.5,4,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/jiplastering5921790",jiplastering5921790
"Skepi Plastering","Mr. Lulzim Skepi","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,8,,"",No,No,Yes,"https://www.checkatrade.com/trades/skepiplastering993820",skepiplastering993820
"Visionary finishes","Mr Jamie","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",8.67,9.17,8.5,8.33,79,9,"393393365",No,Yes,Yes,"https://www.checkatrade.com/trades/luxurybespokeinteriorslimited",luxurybespokeinteriorslimited
"Spyro Rendering And Roofing","Mr Spyro","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,10,,"",Yes,No,Yes,"https://www.checkatrade.com/trades/spyrorenderingandroofing",spyrorenderingandroofing
"Royell Services","Mr. Mason Roy","Plasterer","up some","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.87,9.85,10,9.77,40,5,"",No,Yes,Yes,"https://www.checkatrade.com/trades/royellservices",royellservices
"C.A.R Plastering","Ms Courtney","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.83,9.83,9.72,9.94,30,2,"",No,Yes,Yes,"https://www.checkatrade.com/trades/carplastering1110379",carplastering1110379
"Southby Plastering","Mr Leslie","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.33,10,9,9,120,12,"",No,Yes,Yes,"https://www.checkatrade.com/trades/southbyplastering",southbyplastering
"GS Plastering","Mr. George Rout","Plasterer","all aspects","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.84,9.78,9.78,9.96,98,5,"",Yes,No,Yes,"https://www.checkatrade.com/trades/gsplastering1025394",gsplastering1025394
"YELLOW HOME SERVICES LTD","Mr Kester","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.42,9.64,9.27,9.36,11,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/yellowhomeservicesltd",yellowhomeservicesltd
