company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
tm plumbing and heating 21,,Bathroom Fitter,,,,,090,,,,,https://www.mybuilder.com/profile/tm_plumbing_and_heating_21,mybuilder
hy handyman services,,Bathroom Fitter,,,,,348,,,,,https://www.mybuilder.com/profile/hy-handyman-services,mybuilder
steves plumbing and heating services ltd,,Bathroom Fitter,,,,,5499,,,,,https://www.mybuilder.com/profile/steves_plumbing_and_heating_services_ltd,mybuilder
Stephens Solutions,,Bathroom Fitter,,,,,742,,,,,https://www.mybuilder.com/profile/stephens_solutions,mybuilder
ADB Services UK Ltd,,Bathroom Fitter,,,,,299,,,,,https://www.mybuilder.com/profile/adb_services_uk_ltd,mybuilder
Michael,,Bathroom Fitter,,,,,528,20,,,,https://www.mybuilder.com/profile/michael_164,mybuilder
ibathrooms rising methods limited,,Bathroom Fitter,,,,,5191,,,,,https://www.mybuilder.com/profile/ibathrooms-rising-methods-limited,mybuilder
Decorum Properties (North West) Ltd,,Bathroom Fitter,,,,,196,,,,,https://www.mybuilder.com/profile/propertyman700,mybuilder
Charles Bell Refurbishments,,Bathroom Fitter,,,,,280,,,,,https://www.mybuilder.com/profile/charlierefurb,mybuilder
ASAR PLUMBING AND BUILDING,,Bathroom Fitter,,,,,544,,,,,https://www.mybuilder.com/profile/general_building_plumbing,mybuilder
Storey Plumbing and Heating Services Ltd,,Bathroom Fitter,,,,,330,25,,,,https://www.mybuilder.com/profile/davidstorey,mybuilder
OBE BUILDING LTD,,Bathroom Fitter,,,,,51,,,,,https://www.mybuilder.com/profile/obe-building-ltd,mybuilder
Probuilders alliance,,Bathroom Fitter,,,,,49,,,,,https://www.mybuilder.com/profile/probuilders-alliance,mybuilder
L.D.S Contractors LTD,,Bathroom Fitter,,,,,141,11,,,,https://www.mybuilder.com/profile/ldscontractorsltd,mybuilder
PDunn,,Bathroom Fitter,,,,,205,15,,,,https://www.mybuilder.com/profile/dappaplumbing,mybuilder
ruslan plumber,,Bathroom Fitter,,,,,75,,,,,https://www.mybuilder.com/profile/ruslan-plumber,mybuilder
Plumber,,Bathroom Fitter,,,,,81,,,,,https://www.mybuilder.com/profile/plumber_298,mybuilder
Online Carpentry,,Bathroom Fitter,,,,,482,,,,,https://www.mybuilder.com/profile/online_carpentry,mybuilder
A&W Construction and Renovation Ltd,,Bathroom Fitter,,,,,278,,,,,https://www.mybuilder.com/profile/adeemashraf,mybuilder
