company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
Nami Construction Ltd,,Cleaner,,,,,47,,,,,https://www.mybuilder.com/profile/namiconstructionltd,mybuilder
Design Build & Construct,,Cleaner,,,,,40,,,,,https://www.mybuilder.com/profile/acmilan,mybuilder
Zeiour Household Services Ltd,,Cleaner,,,,,4,,,,,https://www.mybuilder.com/profile/zeiour-household-services-ltd,mybuilder
THE SPOTLESS SQUAD LTD,,Cleaner,,,,,7,,,,,https://www.mybuilder.com/profile/the-spotless-squad-ltd,mybuilder
lulushinecleaning ltd,,Cleaner,,,,,54,,,,,https://www.mybuilder.com/profile/lulushinecleaning-ltd,mybuilder
At the ready LTD,,Cleaner,,,,,22,,,,,https://www.mybuilder.com/profile/atr_99,mybuilder
alexis vedere,,Cleaner,,,,,513,,,,,https://www.mybuilder.com/profile/alexis-vedere,mybuilder
titan,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/titan,mybuilder
Mazed,,Cleaner,,,,,19,,,,,https://www.mybuilder.com/profile/mazed,mybuilder
Boom Removals,,Cleaner,,,,,6,,,,,https://www.mybuilder.com/profile/boom-removals,mybuilder
Anas,,Cleaner,,,,,63,,,,,https://www.mybuilder.com/profile/anas_15,mybuilder
Cleriosan Developments LTD,,Cleaner,,,,,13,,,,,https://www.mybuilder.com/profile/cleriosan-developments-ltd,mybuilder
Mechot Services,,Cleaner,,,,,12,,,,,https://www.mybuilder.com/profile/mechot_services,mybuilder
Stella’s Cleaning Company,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/stella-s-cleaning-company,mybuilder
Staple cleaning,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/staple-cleaning,mybuilder
Brince cleaning services,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/brince-cleaning-services,mybuilder
Emmanuel Bondzie,,Cleaner,,,,,193,,,,,https://www.mybuilder.com/profile/emmanuel_bondzie,mybuilder
Blake Reid Electrical,,Cleaner,accordance with the latest,,,,20,,,,,https://www.mybuilder.com/profile/br_electrical,mybuilder
Tom’s Interiors,,Cleaner,"London, we serve homeowners",,,,5,,,,,https://www.mybuilder.com/profile/tom-s-interiors,mybuilder
Diamond Touch Cleaning,,Cleaner,,,,,3,,,,,https://www.mybuilder.com/profile/diamond-touch-cleaning,mybuilder
Ion Crudu,,Cleaner,,,,,7,,,,,https://www.mybuilder.com/profile/ion_crudu,mybuilder
Hrizz,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/hrizz,mybuilder
Usman,,Cleaner,,,,,5,,,,,https://www.mybuilder.com/profile/usman-4,mybuilder
Sonicbuild,,Cleaner,,,,,42,,,,,https://www.mybuilder.com/profile/sonicbuild,mybuilder
Sunshine Care and Clean Ltd,,Cleaner,,,,,25,,,,,https://www.mybuilder.com/profile/sunshine-care-and-clean-ltd,mybuilder
Simona Joniova,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/simona-joniova,mybuilder
InfinitycleaningserviceUK LTD,,Cleaner,,,,,73,,,,,https://www.mybuilder.com/profile/infinitycleaningserviceuk-ltd,mybuilder
BUTT UK PROPERTIES LIMITED,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/butt-uk-properties-limited,mybuilder
Matteo building,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/matteo-building,mybuilder
clean 4u services ltd,,Cleaner,,,,,51,,,,,https://www.mybuilder.com/profile/clean-4u-services-ltd,mybuilder
Clarke's Movers UK LTD,,Cleaner,,,,,37,,,,,https://www.mybuilder.com/profile/clarkes_movers_uk_ltd,mybuilder
Property Revamp Ltd,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/property-revamp-ltd,mybuilder
Da Royal Cleaning Services,,Cleaner,,,,,34,,,,,https://www.mybuilder.com/profile/da-royal-cleaning-services,mybuilder
Noar Construction Ltd,,Cleaner,,,,,16,,,,,https://www.mybuilder.com/profile/building_construction_noar_construction_ltd,mybuilder
West London Property Services,,Cleaner,West London,,,,5,,,,,https://www.mybuilder.com/profile/west-london-property-services,mybuilder
Ermir,,Cleaner,,,,,9,,,,,https://www.mybuilder.com/profile/ermir_38,mybuilder
Mahmoud Daoud,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/mahmoud-daoud,mybuilder
Yassine,,Cleaner,,,,,4,,,,,https://www.mybuilder.com/profile/yassine-1,mybuilder
DMYTRO HANDYMAN SERVICES,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/dmytro-handyman-services,mybuilder
Typhcleaning ltd,,Cleaner,North West,,,,1,,,,,https://www.mybuilder.com/profile/typhcleaning-ltd,mybuilder
LDN Home Solutions,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/ldn-home-solutions,mybuilder
Loxura cleaning,,Cleaner,London and available to,,,,3,,,,,https://www.mybuilder.com/profile/loxura-cleaning,mybuilder
Deluxe Building and Maintenance,,Cleaner,,,,,103,21,,,,https://www.mybuilder.com/profile/deluxe_building_and_maintenance,mybuilder
magic cleaning carpet & upholstery ltd,,Cleaner,,,,,3,,,,,https://www.mybuilder.com/profile/magic-cleaning-carpet-upholstery-ltd,mybuilder
Trend House Design limited,,Cleaner,,,,,14,9,,,,https://www.mybuilder.com/profile/trend_house_design_limited,mybuilder
MARVAS BUILDERS,,Cleaner,,,,,20,,,,,https://www.mybuilder.com/profile/mdk_builders,mybuilder
True cleaning,,Cleaner,,,,,4,,,,,https://www.mybuilder.com/profile/true-cleaning,mybuilder
EZKlean Ltd,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/ezklean-ltd,mybuilder
WIC Exterior Cleaning,,Cleaner,,,,,47,,,,,https://www.mybuilder.com/profile/wic-exterior-cleaning,mybuilder
Tarasko Ltd,,Cleaner,,,,,3,,,,,https://www.mybuilder.com/profile/tarasko-ltd,mybuilder
Ashly,,Cleaner,,,,,62,,,,,https://www.mybuilder.com/profile/ashly_43,mybuilder
Divine Touch Sparkles LTD,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/divine-touch-sparkles-ltd,mybuilder
Hasko Maintenance,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/hasko-maintenance,mybuilder
CoxCarpentry& Construction,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/coxcarpentry_construction,mybuilder
Benard Hajredini,,Cleaner,,,,,4,,,,,https://www.mybuilder.com/profile/benard-hajredini,mybuilder
Total Gleam Clean Limited,,Cleaner,,,,,8,,,,,https://www.mybuilder.com/profile/total-gleam-clean-limited,mybuilder
PS_DION Ltd,,Cleaner,construction,,,,90,,,,,https://www.mybuilder.com/profile/ps_dion,mybuilder
Glauber’s Garden,,Cleaner,,,,,17,,,,,https://www.mybuilder.com/profile/glauber-s-garden,mybuilder
AA plumbing and heating,,Cleaner,,,,,3,,,,,https://www.mybuilder.com/profile/aa_plumbing_and_heating_67,mybuilder
Peroyl Sparkles Limited,,Cleaner,"London, and",,,,15,,,,,https://www.mybuilder.com/profile/peroyl-sparkles-limited,mybuilder
Handyman Ro,,Cleaner,,,,,103,,,,,https://www.mybuilder.com/profile/handyman_ro,mybuilder
OB Sparkles Cleaning Solution,,Cleaner,,,,,7,,,,,https://www.mybuilder.com/profile/ob-sparkles-cleaning-solution,mybuilder
EFplastering,,Cleaner,,,,,4,,,,,https://www.mybuilder.com/profile/efplastering,mybuilder
BMF,,Cleaner,,,,,16,,,,,https://www.mybuilder.com/profile/bmf-1,mybuilder
Soclean,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/soclean-1,mybuilder
WBS LONDON,,Cleaner,,,,,32,,,,,https://www.mybuilder.com/profile/wbs-london,mybuilder
Signature Renovations London Ltd,,Cleaner,,,,,36,,,,,https://www.mybuilder.com/profile/edmunds85,mybuilder
La’Reine Cleaning Company,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/la-reine-cleaning-company,mybuilder
GOLIATH SERVICES,,Cleaner,,,,,137,,,,,https://www.mybuilder.com/profile/dce_floor_fitter,mybuilder
Fast Approach,,Cleaner,,,,,13,,,,,https://www.mybuilder.com/profile/fast_approach,mybuilder
Alex,,Cleaner,,,,,5,,,,,https://www.mybuilder.com/profile/alex-85,mybuilder
Jon s,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/jon-s,mybuilder
Verde Cleaning Solutions Ltd,,Cleaner,"London, bringing over",,,,1,,,,,https://www.mybuilder.com/profile/verde-cleaning-solutions-ltd,mybuilder
"Carney's gutter's, windows and frames",,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/carney-s-gutter-s-windows-and-frames,mybuilder
The Prestige Cleaning & Maintenance Group LTD,,Cleaner,"London, we specialise in",,,,5,,,,,https://www.mybuilder.com/profile/the-prestige-cleaning-maintenance-group-ltd,mybuilder
Power of transformation,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/power-of-transformation,mybuilder
Oval commercial domestic ltd,,Cleaner,,,,,3,,,,,https://www.mybuilder.com/profile/oval_commercial_domestic_ltd,mybuilder
ANKOCLEANS LIMITED,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/ankocleans-limited,mybuilder
Petrit Gjoni,,Cleaner,,,,,50,10,,,,https://www.mybuilder.com/profile/petrit_gjoni,mybuilder
RAPIDBUILD PROJECTS LTD,,Cleaner,,,,,4,,,,,https://www.mybuilder.com/profile/rapidbuild-projects-ltd,mybuilder
Veriton partners,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/veriton-partners,mybuilder
G-PAC SERVICES LTD,,Cleaner,,,,,13,,,,,https://www.mybuilder.com/profile/g-pac-services-ltd,mybuilder
NINO CONSTRUCTION LTD,,Cleaner,,,,,3,,,,,https://www.mybuilder.com/profile/nino-construction-ltd,mybuilder
Ivan,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/ivan-35,mybuilder
Clean With Emma,,Cleaner,"London, providing high",,,,2,,,,,https://www.mybuilder.com/profile/clean-with-emma,mybuilder
GJM Plumbing & Heating,,Cleaner,,,,,68,9,,,,https://www.mybuilder.com/profile/gjm_31,mybuilder
Polish Touch Cleaning,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/polish-touch-cleaning,mybuilder
Shine and Gloss Cleaning Ltd,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/shine-and-gloss-cleaning-ltd,mybuilder
Stefan Aron,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/stefan-aron,mybuilder
DAC,,Cleaner,,,,,4,,,,,https://www.mybuilder.com/profile/dac,mybuilder
BuildaVision,,Cleaner,,,,,2,50,,,,https://www.mybuilder.com/profile/buildavision,mybuilder
DEMIAN,,Cleaner,,,,,6,5,,,,https://www.mybuilder.com/profile/demian_48,mybuilder
Sneakershine,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/sneakershine,mybuilder
Ervis,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/ervis_20,mybuilder
ECHOES CLEANING,,Cleaner,,,,,16,,,,,https://www.mybuilder.com/profile/echoes-cleaning,mybuilder
self house,,Cleaner,,,,,51,,,,,https://www.mybuilder.com/profile/self_house,mybuilder
romeo 3,,Cleaner,,,,,57,,,,,https://www.mybuilder.com/profile/romeo-3,mybuilder
Edward Decorating,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/edward_decorating,mybuilder
Squeaky clean windows&guttering,,Cleaner,,,,,4,,,,,https://www.mybuilder.com/profile/squeaky-clean-windows-guttering,mybuilder
Clean work,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/clean-work-1,mybuilder
Full Carpet care,,Cleaner,,,,,6,,,,,https://www.mybuilder.com/profile/full-carpet-care,mybuilder
Lucian,,Cleaner,,,,,5,,,,,https://www.mybuilder.com/profile/lucian-6,mybuilder
Banah Design Property Ltd,,Cleaner,,,,,7,,,,,https://www.mybuilder.com/profile/banah_design_property_ltd,mybuilder
S&I cleaning Co PVt LTD,,Cleaner,,,,,17,,,,,https://www.mybuilder.com/profile/s-i-cleaning-co-pvt-ltd,mybuilder
Multiservice Solutions LTD,,Cleaner,,,,,9,,,,,https://www.mybuilder.com/profile/multiservice-solutions-ltd,mybuilder
Gardener Piotr,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/gardener_piotr,mybuilder
Joram Maparadze,,Cleaner,fitted wardrobes and kitchens,,,,13,,,,,https://www.mybuilder.com/profile/joram-maparadze,mybuilder
Shine house,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/shine-house,mybuilder
Jet Genie,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/jet-genie,mybuilder
Denis,,Cleaner,,,,,16,,,,,https://www.mybuilder.com/profile/denis-19,mybuilder
Softlux Cleaning Services Ltd,,Cleaner,,,,,15,,,,,https://www.mybuilder.com/profile/softlux-cleaning-services-ltd,mybuilder
daman,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/daman-1,mybuilder
PerfectMaid Cleaning & Handyman Services,,Cleaner,London,,,,4,,,,,https://www.mybuilder.com/profile/perfectmaid-cleaning-handyman-services,mybuilder
Singh builder,,Cleaner,,,,,4,,,,,https://www.mybuilder.com/profile/singh-builder-8,mybuilder
Florin M,,Cleaner,,,,,23,,,,,https://www.mybuilder.com/profile/florin-m,mybuilder
Sovereign Building and Roofing,,Cleaner,,,,,117,,,,,https://www.mybuilder.com/profile/sovereignroofing,mybuilder
Spotless cleaners,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/spotless-cleaners,mybuilder
A.M maintenance,,Cleaner,Brighton,,,,40,,,,,https://www.mybuilder.com/profile/am_maintenance_57,mybuilder
Lustro Solutions Co,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/lustro-solutions-co,mybuilder
Coast Fresh Cleaning,,Cleaner,"Brighton, which will deliver",,,,1,,,,,https://www.mybuilder.com/profile/coast-fresh-cleaning,mybuilder
Papini Online Limited,,Cleaner,,,,,3,,,,,https://www.mybuilder.com/profile/papini_online_limited,mybuilder
Handydon,,Cleaner,,,,,2,,,,,https://www.mybuilder.com/profile/handydon,mybuilder
Garden clean,,Cleaner,,,,,54,,,,,https://www.mybuilder.com/profile/garden_clean_67,mybuilder
Urban decorators,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/urban-decorators,mybuilder
MS contractors,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/ms-contractors-2,mybuilder
Topkay Cleaning Services,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/topkay-cleaning-services,mybuilder
Twindows,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/twindows,mybuilder
United Kleaners,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/united-kleaners,mybuilder
ESS National Ltd,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/ess-national-ltd,mybuilder
Unique carpet clean,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/unique-carpet-clean,mybuilder
Soft touch cleaning,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/soft-touch-cleaning,mybuilder
Lucky Lukes Cleaning Services,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/lucky-lukes-cleaning-services,mybuilder
Rabah Hammoum,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/rabah-hammoum,mybuilder
Paulina Girucka,,Cleaner,,,,,,,,,,https://www.mybuilder.com/profile/paulina-girucka,mybuilder
A Little Help For You LTD,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/a-little-help-for-you-ltd,mybuilder
Riazuddin Syed,,Cleaner,,,,,1,,,,,https://www.mybuilder.com/profile/riazuddin-syed,mybuilder
Elevated Maintenance Ltd,,Cleaner,Reading and serving surrounding,,,,1,,,,,https://www.mybuilder.com/profile/elevated-maintenance-ltd,mybuilder
Renew care ltd,,Cleaner,,,,,4,8,,,,https://www.mybuilder.com/profile/renew-care-ltd,mybuilder
H&M Cleaning Services Ltd,,Cleaner,"Reading, Berkshire, proudly helping",,,,2,,,,,https://www.mybuilder.com/profile/h-m-cleaning-services-ltd,mybuilder
