company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
Emergency service 247 Ltd,,Electrician,,,,,374,15,,,,https://www.mybuilder.com/profile/lpi_property_service_ltd,mybuilder
24/7 Dont Blow A Fuse,,Electrician,,,,,481,,,,,https://www.mybuilder.com/profile/247_dont_blow_a_fuse,mybuilder
ATK Repairs,,Electrician,,,,,219,,,,,https://www.mybuilder.com/profile/atkrepairs,mybuilder
Bello Electrics,,Electrician,"Battersea, with more than",,,,291,,,,,https://www.mybuilder.com/profile/mk_electrical_43,mybuilder
Platinum Electric & Gas Limited,,Electrician,,,,,114,,,,,https://www.mybuilder.com/profile/certified_electricalgas_engineer,mybuilder
M&M Electrical London Ltd.,,Electrician,Battersea and proudly serving,,,,245,,,,,https://www.mybuilder.com/profile/m-m-electrical-london-ltd,mybuilder
Wattzs Electrical Efficiency,,Electrician,,,,,68,35,,,,https://www.mybuilder.com/profile/electrical_93,mybuilder
er electrical services,,Electrician,,,,,5400,,,,,https://www.mybuilder.com/profile/er_electrical_services,mybuilder
namiconstructionltd,,Electrician,,,,,547,,,,,https://www.mybuilder.com/profile/namiconstructionltd,mybuilder
APEG,,Electrician,,,,,49,30,,,,https://www.mybuilder.com/profile/apeglondon,mybuilder
uk safety inspections,,Electrician,,,,,584,,,,,https://www.mybuilder.com/profile/uk_safety_inspections,mybuilder
ben young 88,,Electrician,,,,,5113,,,,,https://www.mybuilder.com/profile/ben_young_88,mybuilder
gts electrical solutions ltd,,Electrician,,,,,548,,,,,https://www.mybuilder.com/profile/gts_electrical_solutions_ltd,mybuilder
Ian bat,,Electrician,,,,,80,,,,,https://www.mybuilder.com/profile/ian_bat_10,mybuilder
peja electricals ltd,,Electrician,,,,,5353,,,,,https://www.mybuilder.com/profile/peja_electricals_ltd,mybuilder
HEM  Home Electrical Maintenance,,Electrician,,,,,186,,,,,https://www.mybuilder.com/profile/hem_home_electrical_maintenance,mybuilder
Right spark,,Electrician,,,,,882,,,,,https://www.mybuilder.com/profile/right_spark_72,mybuilder
London Electrical and Property Services,,Electrician,"east London, working with",,,,227,,,,,https://www.mybuilder.com/profile/huntingdonshire_property_co,mybuilder
