company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
ADB Services UK Ltd,,Kitchen Fitter,,,,,299,,,,,https://www.mybuilder.com/profile/adb_services_uk_ltd,mybuilder
iBathrooms (Rising Methods Limited),,Kitchen Fitter,,,,,191,,,,,https://www.mybuilder.com/profile/ibathrooms-rising-methods-limited,mybuilder
Charles Bell Refurbishments,,Kitchen Fitter,,,,,280,,,,,https://www.mybuilder.com/profile/charlierefurb,mybuilder
OBE BUILDING LTD,,Kitchen Fitter,,,,,51,,,,,https://www.mybuilder.com/profile/obe-building-ltd,mybuilder
ruslan plumber,,Kitchen Fitter,,,,,74,,,,,https://www.mybuilder.com/profile/ruslan-plumber,mybuilder
CH Westend,,Kitchen Fitter,our Acton offices for,,,,541,,,,,https://www.mybuilder.com/profile/chwestend,mybuilder
H. Refurbishment,,Kitchen Fitter,,,,,7,,,,,https://www.mybuilder.com/profile/hrefurbishment,mybuilder
Nami Construction Ltd,,Kitchen Fitter,,,,,47,,,,,https://www.mybuilder.com/profile/namiconstructionltd,mybuilder
Joinery,,Kitchen Fitter,,,,,39,,,,,https://www.mybuilder.com/profile/joinery_80,mybuilder
PLUMB-INN SERVICES LTD,,Kitchen Fitter,,,,,59,,,,,https://www.mybuilder.com/profile/plumb-inn_services_ltd,mybuilder
NB surfaces Ltd,,Kitchen Fitter,,,,,1,,,,,https://www.mybuilder.com/profile/nb-surfaces-ltd,mybuilder
AG GROUP Building and Roofing Specialists,,Kitchen Fitter,,,,,139,35,,,,https://www.mybuilder.com/profile/avantgarde,mybuilder
Buzz The Handyman,,Kitchen Fitter,,,,,26,,,,,https://www.mybuilder.com/profile/buzz-the-handyman,mybuilder
-,,Kitchen Fitter,,,,,8,,,,,https://www.mybuilder.com/profile/9f86c09c-4421-4f1e-a738-ad9576a57ca9,mybuilder
kazz s home improvement,,Kitchen Fitter,,,,,58,,,,,https://www.mybuilder.com/profile/kazz-s-home-improvement,mybuilder
Ludovara Ltd,,Kitchen Fitter,,,,,2,,,,,https://www.mybuilder.com/profile/ludovara_ltd,mybuilder
Chedy,,Kitchen Fitter,,,,,5,10,,,,https://www.mybuilder.com/profile/chedy,mybuilder
captainboiler,,Kitchen Fitter,,,,,321,15,,,,https://www.mybuilder.com/profile/captainboiler,mybuilder
Emmanuel Bondzie,,Kitchen Fitter,,,,,193,,,,,https://www.mybuilder.com/profile/emmanuel_bondzie,mybuilder
Thermal Dynamic Solutions Ltd,,Kitchen Fitter,,,,,197,,,,,https://www.mybuilder.com/profile/mrtplumbingheating,mybuilder
Shades london ltd,,Kitchen Fitter,,,,,19,,,,,https://www.mybuilder.com/profile/shadeslondonltd,mybuilder
D.L.CONS LTD,,Kitchen Fitter,,,,,8,,,,,https://www.mybuilder.com/profile/d-l-cons-ltd,mybuilder
