company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
Buildex Construction,,Landscaper,,,,,475,,,,,https://www.mybuilder.com/profile/buildex_construction,mybuilder
JP Building Services,,Landscaper,,,,,41,,,,,https://www.mybuilder.com/profile/jp_building_services_58,mybuilder
Woodhouses carpentry,,Landscaper,,,,,50,,,,,https://www.mybuilder.com/profile/wood-houses,mybuilder
Design Build & Construct,,Landscaper,,,,,40,,,,,https://www.mybuilder.com/profile/acmilan,mybuilder
-,,Landscaper,,,,,8,,,,,https://www.mybuilder.com/profile/9f86c09c-4421-4f1e-a738-ad9576a57ca9,mybuilder
Sdl Services Ltd,,Landscaper,,,,,20,,,,,https://www.mybuilder.com/profile/sdl-services-ltd,mybuilder
Ioan Hrit,,Landscaper,,,,,16,13,,,,https://www.mybuilder.com/profile/ioan_hrit,mybuilder
Dan Knight,,Landscaper,,,,,29,,,,,https://www.mybuilder.com/profile/dan_knight,mybuilder
Crazy about Carpentry,,Landscaper,,,,,31,,,,,https://www.mybuilder.com/profile/quality_handyman,mybuilder
Alexis Vedere,,Landscaper,,,,,13,20,,,,https://www.mybuilder.com/profile/alexis-vedere,mybuilder
W.A. Brown Builders LTD,,Landscaper,,,,,52,,,,,https://www.mybuilder.com/profile/w-a-brown-builders-ltd,mybuilder
PJR Plumbing and Heating Ltd,,Landscaper,Essex With over,,,,12,,,,,https://www.mybuilder.com/profile/pjr_plumbing_and_heating,mybuilder
We Do Care Limited,,Landscaper,,,,,54,,,,,https://www.mybuilder.com/profile/ecobuilders,mybuilder
N EXTENSION KINGS LTD,,Landscaper,,,,,3,,,,,https://www.mybuilder.com/profile/n_extension_kings_ltd,mybuilder
Nyxg Ltd,,Landscaper,,,,,8,,,,,https://www.mybuilder.com/profile/fabulous_finish_nyxg_ltd,mybuilder
G & H services,,Landscaper,London with many years,,,,125,,,,,https://www.mybuilder.com/profile/g_h_services,mybuilder
rsbros,,Landscaper,,,,,82,,,,,https://www.mybuilder.com/profile/rsbros,mybuilder
GAZ&MIR Construction Ltd,,Landscaper,,,,,1,,,,,https://www.mybuilder.com/profile/construction_landscaping_50,mybuilder
EMLtiling,,Landscaper,,,,,25,,,,,https://www.mybuilder.com/profile/emltiling,mybuilder
London Underpinning Ltd,,Landscaper,,,,,83,,,,,https://www.mybuilder.com/profile/basementslondon,mybuilder
Neli Limited,,Landscaper,London with over,,,,10,,,,,https://www.mybuilder.com/profile/neli_limited,mybuilder
Landscaping,,Landscaper,,,,,18,,,,,https://www.mybuilder.com/profile/landscaping_88,mybuilder
Mykhailo Petrushka,,Landscaper,,,,,28,,,,,https://www.mybuilder.com/profile/mykhailo-petrushka,mybuilder
Hillman Gardens,,Landscaper,,,,,6,,,,,https://www.mybuilder.com/profile/hillman_gardens,mybuilder
niti construction,,Landscaper,,,,,28,,,,,https://www.mybuilder.com/profile/niti-construction,mybuilder
Miri G construction LTD,,Landscaper,,,,,1,20,,,,https://www.mybuilder.com/profile/miri-g-construction-ltd,mybuilder
AF landscaping,,Landscaper,,,,,1,,,,,https://www.mybuilder.com/profile/af-landscaping,mybuilder
Kit Freeman,,Landscaper,,,,,1,,,,,https://www.mybuilder.com/profile/kit-freeman,mybuilder
Bennett Brickwork,,Landscaper,east London,,,,7,,,,,https://www.mybuilder.com/profile/bricklaying_improver,mybuilder
BuildScape Bros,,Landscaper,,,,,4,,,,,https://www.mybuilder.com/profile/buildscape-bros-1,mybuilder
Say Grass Ltd,,Landscaper,,,,,2,,,,,https://www.mybuilder.com/profile/saygrass,mybuilder
Abbotts paving and building,,Landscaper,,,,,49,,,,,https://www.mybuilder.com/profile/abbotts_p_and_b,mybuilder
TT solutions,,Landscaper,,,,,160,,,,,https://www.mybuilder.com/profile/tola_construction,mybuilder
Home Design & Build,,Landscaper,,,,,22,,,,,https://www.mybuilder.com/profile/hdb13,mybuilder
Versatile Property Solutions,,Landscaper,,,,,129,,,,,https://www.mybuilder.com/profile/davidod,mybuilder
BBfencing/paving,,Landscaper,,,,,23,,,,,https://www.mybuilder.com/profile/bbfencing-paving,mybuilder
The Heirloom Kitchen Gardener Ltd,,Landscaper,London,,,,6,,,,,https://www.mybuilder.com/profile/the-heirloom-kitchen-gardener-ltd,mybuilder
Bison brickwork Ltd,,Landscaper,,,,,3,,,,,https://www.mybuilder.com/profile/bison_brickwork_limited,mybuilder
Andon Builder’s,,Landscaper,,,,,68,,,,,https://www.mybuilder.com/profile/andon_builders,mybuilder
Cedar N Mason,,Landscaper,,,,,19,,,,,https://www.mybuilder.com/profile/cedar_n_mason,mybuilder
Mark Wallinger Landscapes Limited,,Landscaper,,,,,7,,,,,https://www.mybuilder.com/profile/markwallinger,mybuilder
freelance,,Landscaper,,,,,11,,,,,https://www.mybuilder.com/profile/crisboinn,mybuilder
More grounds limited,,Landscaper,,,,,15,20,,,,https://www.mybuilder.com/profile/more-grounds-limited,mybuilder
Garden creative construction ltd,,Landscaper,,,,,14,,,,,https://www.mybuilder.com/profile/garden_creative_construction,mybuilder
AP,,Landscaper,,,,,127,15,,,,https://www.mybuilder.com/profile/user_h3l,mybuilder
Sashbox solutions ltd,,Landscaper,,,,,70,,,,,https://www.mybuilder.com/profile/sashbox_solutions,mybuilder
Ground up,,Landscaper,,,,,49,,,,,https://www.mybuilder.com/profile/ground_up,mybuilder
Of Here Ltd,,Landscaper,"London, UK",,,,2,,,,,https://www.mybuilder.com/profile/of-here-ltd,mybuilder
Gardens24/7,,Landscaper,Woodford,,,,2,,,,,https://www.mybuilder.com/profile/gardens24-7,mybuilder
AVStructures,,Landscaper,,,,,6,,,,,https://www.mybuilder.com/profile/avstructures,mybuilder
E-Gardens,,Landscaper,,,,,63,,,,,https://www.mybuilder.com/profile/e-gardens,mybuilder
Digs Gardens Limited,,Landscaper,,,,,40,,,,,https://www.mybuilder.com/profile/serge_46,mybuilder
M&R Gardening Services,,Landscaper,,,,,54,,,,,https://www.mybuilder.com/profile/mr_gardening_services,mybuilder
Square Roots,,Landscaper,London,,,,2,,,,,https://www.mybuilder.com/profile/square-roots,mybuilder
jf global construction ltd,,Landscaper,,,,,1,,,,,https://www.mybuilder.com/profile/jf-global-construction-ltd,mybuilder
pr paving & landscaping,,Landscaper,,,,,3,,,,,https://www.mybuilder.com/profile/pr-paving-landscaping,mybuilder
ulza building ltd,,Landscaper,,,,,1,,,,,https://www.mybuilder.com/profile/ulza_building_ltd,mybuilder
Yener Limited,,Landscaper,,,,,4,,,,,https://www.mybuilder.com/profile/yener_building_services,mybuilder
The Tree Mann,,Landscaper,South West London,,,,90,,,,,https://www.mybuilder.com/profile/wesley_mann,mybuilder
David Culver Urban Landscaping,,Landscaper,,,,,17,15,,,,https://www.mybuilder.com/profile/david_culver_urban_landscaping,mybuilder
Plants & Stuff,,Landscaper,,,,,5,,,,,https://www.mybuilder.com/profile/plants_stuff,mybuilder
Slawek,,Landscaper,,,,,4,,,,,https://www.mybuilder.com/profile/slawek_64,mybuilder
GRANEROS IMPROVEMENTS LTD,,Landscaper,,,,,1,,,,,https://www.mybuilder.com/profile/graneros-improvements-ltd,mybuilder
moongardenslandscaping,,Landscaper,,,,,4,,,,,https://www.mybuilder.com/profile/moongardenslandscaping,mybuilder
Fmr,,Landscaper,,,,,15,,,,,https://www.mybuilder.com/profile/fmr,mybuilder
London Gardens and small works,,Landscaper,,,,,104,,,,,https://www.mybuilder.com/profile/london_gardens_and_small_works,mybuilder
Intuition Property,,Landscaper,,,,,61,,,,,https://www.mybuilder.com/profile/intuition_property,mybuilder
Daren Love,,Landscaper,,,,,2,35,,,,https://www.mybuilder.com/profile/daren-love,mybuilder
BRENLEY LANDSCAPES LTD,,Landscaper,,,,,6,22,,,,https://www.mybuilder.com/profile/brenley-landscapes-ltd,mybuilder
Nightingale Garden & Home Ltd,,Landscaper,South London,,,,3,,,,,https://www.mybuilder.com/profile/nightingale_garden_landscapes,mybuilder
CONCEPT 3 CONSTRUCTION LTD,,Landscaper,,,,,10,,,,,https://www.mybuilder.com/profile/concept_3_construction,mybuilder
charlie 717,,Landscaper,,,,,5144,,,,,https://www.mybuilder.com/profile/charlie_717,mybuilder
True Design And Consulting Ltd,,Landscaper,South London specializing in,,,,33,,,,,https://www.mybuilder.com/profile/true-design-and-consulting-ltd,mybuilder
PDBuilders,,Landscaper,,,,,32,,,,,https://www.mybuilder.com/profile/pdbuilders_38,mybuilder
Eagle Landscaping,,Landscaper,,,,,16,,,,,https://www.mybuilder.com/profile/eagle-landscaping,mybuilder
Shanti Gardens,,Landscaper,,,,,31,,,,,https://www.mybuilder.com/profile/shanti-gardens,mybuilder
Ben Sanders Landscaping,,Landscaper,West London,,,,1,,,,,https://www.mybuilder.com/profile/ben-sanders-landscaping,mybuilder
DIA Team LTD,,Landscaper,"Croydon, Surrey",,,,66,,,,,https://www.mybuilder.com/profile/dia_team_gardeners,mybuilder
Maksim Domi,,Landscaper,,,,,1,,,,,https://www.mybuilder.com/profile/maksim_domi,mybuilder
Masonry Construction Ltd,,Landscaper,,,,,2,,,,,https://www.mybuilder.com/profile/masonry-construction-ltd,mybuilder
Ensemble Trading,,Landscaper,,,,,77,,,,,https://www.mybuilder.com/profile/ensembletrading,mybuilder
jc_electrical,,Landscaper,,,,,3,,,,,https://www.mybuilder.com/profile/jc_electrical_99,mybuilder
LOCKEY'S LANDSCAPES,,Landscaper,,,,,114,,,,,https://www.mybuilder.com/profile/lockeys_landscapes,mybuilder
PK Decorating & Building Services LTD,,Landscaper,"South London, we can",,,,30,,,,,https://www.mybuilder.com/profile/pk_decorating,mybuilder
Ben hooper,,Landscaper,,,,,1,,,,,https://www.mybuilder.com/profile/bbuilding,mybuilder
P.R GROUNDWORKS,,Landscaper,,,,,23,,,,,https://www.mybuilder.com/profile/pr_groundworks_29,mybuilder
Kventure,,Landscaper,Wickam,,,,1,,,,,https://www.mybuilder.com/profile/kventure,mybuilder
SAM’S BUILDERS LTD,,Landscaper,,,,,8,,,,,https://www.mybuilder.com/profile/sam_275,mybuilder
