company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
Omar London construction,,Plasterer,,,,,40,,,,,https://www.mybuilder.com/profile/omar_london_construction,mybuilder
ADB Services UK Ltd,,Plasterer,,,,,299,,,,,https://www.mybuilder.com/profile/adb_services_uk_ltd,mybuilder
FINE AND DANDY,,Plasterer,,,,,230,,,,,https://www.mybuilder.com/profile/romandeco,mybuilder
iBathrooms (Rising Methods Limited),,Plasterer,,,,,191,,,,,https://www.mybuilder.com/profile/ibathrooms-rising-methods-limited,mybuilder
OBE BUILDING LTD,,Plasterer,,,,,51,,,,,https://www.mybuilder.com/profile/obe-building-ltd,mybuilder
CH Westend,,Plasterer,our Acton offices for,,,,541,,,,,https://www.mybuilder.com/profile/chwestend,mybuilder
H. Refurbishment,,Plasterer,,,,,7,,,,,https://www.mybuilder.com/profile/hrefurbishment,mybuilder
JP Building Services,,Plasterer,,,,,41,,,,,https://www.mybuilder.com/profile/jp_building_services_58,mybuilder
NG Construction Team Ltd,,Plasterer,,,,,37,,,,,https://www.mybuilder.com/profile/ged1,mybuilder
Russell Renovation,,Plasterer,,,,,3,,,,,https://www.mybuilder.com/profile/russell_renovation,mybuilder
C and C developments,,Plasterer,,,,,241,,,,,https://www.mybuilder.com/profile/c_and_c_developments,mybuilder
AG GROUP Building and Roofing Specialists,,Plasterer,,,,,139,35,,,,https://www.mybuilder.com/profile/avantgarde,mybuilder
buzz the handyman,,Plasterer,,,,,526,,,,,https://www.mybuilder.com/profile/buzz-the-handyman,mybuilder
A. plastering,,Plasterer,,,,,31,,,,,https://www.mybuilder.com/profile/fatos_20,mybuilder
Plasterer,,Plasterer,,,,,11,,,,,https://www.mybuilder.com/profile/plasterer_769,mybuilder
Tollumi-Al Construction Ltd,,Plasterer,,,,,259,,,,,https://www.mybuilder.com/profile/altin_tollumi,mybuilder
KDarby Maintanace,,Plasterer,,,,,13,,,,,https://www.mybuilder.com/profile/kdarby_maintanace,mybuilder
A&W Construction and Renovation Ltd,,Plasterer,,,,,278,,,,,https://www.mybuilder.com/profile/adeemashraf,mybuilder
