company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
ACD Plumbing Services,,Plumber,,,,,222,,,,,https://www.mybuilder.com/profile/acdplumbing,mybuilder
T.M plumbing and heating,,Plumber,domestic and commercial dwellings,,,,088,,,,,https://www.mybuilder.com/profile/tm_plumbing_and_heating_21,mybuilder
samandi plumbing and heating,,Plumber,,,,,963,5,,,,https://www.mybuilder.com/profile/plumbing_26,mybuilder
Steve's plumbing and heating services ltd,,Plumber,,,,,494,,,,,https://www.mybuilder.com/profile/steves_plumbing_and_heating_services_ltd,mybuilder
ADB Services UK Ltd,,Plumber,,,,,299,,,,,https://www.mybuilder.com/profile/adb_services_uk_ltd,mybuilder
Gas safety medic,,Plumber,,,,,323,,,,,https://www.mybuilder.com/profile/gas_safety_medic,mybuilder
MJ Heating and Plumbing Service,,Plumber,,,,,370,,,,,https://www.mybuilder.com/profile/mjheatinhandplumbing,mybuilder
HY Handyman services,,Plumber,,,,,348,15,,,,https://www.mybuilder.com/profile/hy-handyman-services,mybuilder
Stephens Solutions,,Plumber,,,,,738,,,,,https://www.mybuilder.com/profile/stephens_solutions,mybuilder
NXG Heating,,Plumber,,,,,308,,,,,https://www.mybuilder.com/profile/nxg_heating,mybuilder
Kodi,,Plumber,,,,,141,7,,,,https://www.mybuilder.com/profile/kodi,mybuilder
iBathrooms (Rising Methods Limited),,Plumber,,,,,191,,,,,https://www.mybuilder.com/profile/ibathrooms-rising-methods-limited,mybuilder
LH Builders & Plumbers,,Plumber,,,,,215,,,,,https://www.mybuilder.com/profile/lh_builders_plumbers,mybuilder
Decorum Properties (North West) Ltd,,Plumber,,,,,196,,,,,https://www.mybuilder.com/profile/propertyman700,mybuilder
Plumbing and heating services,,Plumber,,,,,90,,,,,https://www.mybuilder.com/profile/plumbing-and-heating-services,mybuilder
Plumbing and Apartment Projects,,Plumber,,,,,74,,,,,https://www.mybuilder.com/profile/plumbing_and_apartment_projects,mybuilder
Heating Point,,Plumber,,,,,218,10,,,,https://www.mybuilder.com/profile/heating_point,mybuilder
William Hendry,,Plumber,,,,,165,,,,,https://www.mybuilder.com/profile/william_hendry,mybuilder
Percision Ten,,Plumber,occupied and tenanted properties,,,,110,,,,,https://www.mybuilder.com/profile/percision-ten,mybuilder
Giraffe and builders LTD,,Plumber,,,,,116,,,,,https://www.mybuilder.com/profile/giraffe_and_builders,mybuilder
ruslan plumber,,Plumber,,,,,74,,,,,https://www.mybuilder.com/profile/ruslan-plumber,mybuilder
Charles Bell Refurbishments,,Plumber,,,,,280,,,,,https://www.mybuilder.com/profile/charlierefurb,mybuilder
Michael,,Plumber,,,,,526,20,,,,https://www.mybuilder.com/profile/michael_164,mybuilder
Nami Construction Ltd,,Plumber,,,,,47,,,,,https://www.mybuilder.com/profile/namiconstructionltd,mybuilder
PristineGas,,Plumber,,,,,1,,,,,https://www.mybuilder.com/profile/pristinegas,mybuilder
5,,Plumber,,,,,59,,,,,https://www.mybuilder.com/profile/bleon,mybuilder
5,,Plumber,,,,,51,,,,,https://www.mybuilder.com/profile/constructiverse_ltd,mybuilder
5,,Plumber,,,,,559,,,,,https://www.mybuilder.com/profile/plumb-inn_services_ltd,mybuilder
Eksillent Plumbing & Heating,,Plumber,,,,,108,8,,,,https://www.mybuilder.com/profile/eksillent_plumbing_heating,mybuilder
Buzz The Handyman,,Plumber,,,,,26,,,,,https://www.mybuilder.com/profile/buzz-the-handyman,mybuilder
MJ Services,,Plumber,,,,,885,30,,,,https://www.mybuilder.com/profile/mjservices,mybuilder
PDunn,,Plumber,,,,,205,15,,,,https://www.mybuilder.com/profile/dappaplumbing,mybuilder
