company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
T.M plumbing and heating,,Tiler,domestic and commercial dwellings,,,,090,,,,,https://www.mybuilder.com/profile/tm_plumbing_and_heating_21,mybuilder
RDT UK,,Tiler,,,,,575,,,,,https://www.mybuilder.com/profile/rdt-uk,mybuilder
HY Handyman services,,Tiler,,,,,348,15,,,,https://www.mybuilder.com/profile/hy-handyman-services,mybuilder
The Italian Tiler,,Tiler,,,,,663,,,,,https://www.mybuilder.com/profile/the_italian_tiler,mybuilder
Steve's plumbing and heating services ltd,,Tiler,,,,,499,,,,,https://www.mybuilder.com/profile/steves_plumbing_and_heating_services_ltd,mybuilder
ADB Services UK Ltd,,Tiler,,,,,299,,,,,https://www.mybuilder.com/profile/adb_services_uk_ltd,mybuilder
iBathrooms (Rising Methods Limited),,Tiler,,,,,191,,,,,https://www.mybuilder.com/profile/ibathrooms-rising-methods-limited,mybuilder
Decorum Properties (North West) Ltd,,Tiler,,,,,196,,,,,https://www.mybuilder.com/profile/propertyman700,mybuilder
Charles Bell Refurbishments,,Tiler,,,,,280,,,,,https://www.mybuilder.com/profile/charlierefurb,mybuilder
Storey Plumbing and Heating Services Ltd,,Tiler,,,,,330,25,,,,https://www.mybuilder.com/profile/davidstorey,mybuilder
Probuilders alliance,,Tiler,,,,,49,,,,,https://www.mybuilder.com/profile/probuilders-alliance,mybuilder
OBE BUILDING LTD,,Tiler,,,,,51,,,,,https://www.mybuilder.com/profile/obe-building-ltd,mybuilder
CH Westend,,Tiler,our Acton offices for,,,,541,,,,,https://www.mybuilder.com/profile/chwestend,mybuilder
PDunn,,Tiler,,,,,205,15,,,,https://www.mybuilder.com/profile/dappaplumbing,mybuilder
Soul Tiling,,Tiler,,,,,68,,,,,https://www.mybuilder.com/profile/matiko_tiling_services,mybuilder
Nami Construction Ltd,,Tiler,,,,,47,,,,,https://www.mybuilder.com/profile/namiconstructionltd,mybuilder
Pictureclinic Ltd.,,Tiler,,,,,39,,,,,https://www.mybuilder.com/profile/pictureclinic_ltd,mybuilder
Design Build & Construct,,Tiler,,,,,40,,,,,https://www.mybuilder.com/profile/acmilan,mybuilder
George,,Tiler,,,,,58,,,,,https://www.mybuilder.com/profile/george2006tiling,mybuilder
PLUMB-INN SERVICES LTD,,Tiler,,,,,59,,,,,https://www.mybuilder.com/profile/plumb-inn_services_ltd,mybuilder
Buzz The Handyman,,Tiler,,,,,26,,,,,https://www.mybuilder.com/profile/buzz-the-handyman,mybuilder
NB surfaces Ltd,,Tiler,,,,,1,,,,,https://www.mybuilder.com/profile/nb-surfaces-ltd,mybuilder
AG GROUP Building and Roofing Specialists,,Tiler,,,,,139,35,,,,https://www.mybuilder.com/profile/avantgarde,mybuilder
ConstructiVerse Ltd,,Tiler,,,,,1,,,,,https://www.mybuilder.com/profile/constructiverse_ltd,mybuilder
Dolomite Renovations,,Tiler,"Wapping, East London, but",,,,42,,,,,https://www.mybuilder.com/profile/dolomite_renovations,mybuilder
Elvis,,Tiler,,,,,1,9,,,,https://www.mybuilder.com/profile/elvis_63,mybuilder
Tollumi-Al Construction Ltd,,Tiler,,,,,259,,,,,https://www.mybuilder.com/profile/altin_tollumi,mybuilder
Dan Knight,,Tiler,,,,,29,,,,,https://www.mybuilder.com/profile/dan_knight,mybuilder
EXPRESS TILING AND MARBLE,,Tiler,,,,,12,14,,,,https://www.mybuilder.com/profile/express_tiling_and_marble,mybuilder
Joinery,,Tiler,,,,,39,,,,,https://www.mybuilder.com/profile/joinery_80,mybuilder
family builders,,Tiler,,,,,36,,,,,https://www.mybuilder.com/profile/family_builders,mybuilder
Az Electrical Engineering Services Ltd,,Tiler,,,,,1,,,,,https://www.mybuilder.com/profile/az_electrical_12,mybuilder
