company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
D&S Plumbing and Heating Services,,Bathroom Design,Uxbridge,,5,819,07737716360,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Window fitter / Conservatory installer,Uxbridge,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople
Cn Construction&Gardening Ltd,,Bathroom Design,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
Bc Plumbing Services,,Bathroom Design,Oxted,,5,627,07821194571,ratings; memberSince,Plumber; Bathroom fitter; Drainage Specialist; Floor fitters; Gas / Heating engineer; Tiler,Oxted,https://www.ratedpeople.com/profile/bc-plumbing-services,ratedpeople
A & K Contractor Services,,Bathroom Design,London,,4.5,593,07939990252,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople
Electro Flame LTD,,Bathroom Design,Croydon,,5,323,07864393584,ratings; memberSince,Electrician; Bathroom fitter; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Floor fitters; Handyperson; Loft Conversion Specialist; Painter and decorator; Plumber; Security systems / Alarms,Croydon,https://www.ratedpeople.com/profile/electro-flame,ratedpeople
S&A Plumbing Services,,Bathroom Design,LONDON,,5,311,07960660506,ratings; memberSince,Plumber; Bathroom fitter; Carpenter / Joiner; Drainage Specialist; Electrician; Gas / Heating engineer; Renewable Energy Specialist; Roofer,LONDON,https://www.ratedpeople.com/profile/s-and-a,ratedpeople
Ziyad Construction,,Bathroom Design,London,,4.5,300,,ratings; memberSince,Builder; Bathroom fitter; Bricklayer; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Plasterer / Renderer; Plumber; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson,London,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople
ES Electrical & Building Services,,Bathroom Design,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
Chameleon Refurbs,,Bathroom Design,Cambridge,,5,245,07572886121,ratings,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Handyperson; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Cambridge,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople
Modern Bathrooms LT,,Bathroom Design,Gravesend,,5,209,,ratings; memberSince,Bathroom fitter; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Tiler,Gravesend,https://www.ratedpeople.com/profile/modern-living,ratedpeople
Darren Davies Plumbing & Heating,,Bathroom Design,Letchworth,,5,208,,ratings; memberSince,Plumber; Bathroom fitter; Floor fitters; Gas / Heating engineer; Tiler,Letchworth,https://www.ratedpeople.com/profile/darren-davies-plumbing-and-heating,ratedpeople
SDL PKB,,Bathroom Design,London,,5,201,,ratings; memberSince,Bathroom fitter; Carpenter / Joiner; Kitchen Specialist; Plumber; Specialist Tradesperson; Stoneworker / Stonemason,London,https://www.ratedpeople.com/profile/sdl-pkb-painting-kitchens-bathrooms,ratedpeople
A & L Ever Ready Cleaning & Building Maintenance LTD,,Bathroom Design,Rainham,,5,198,07984262910,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Rainham,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople
Sir Ramik Tiler,,Bathroom Design,Carlton Colville,,5,198,,ratings; memberSince,Tiler; Bathroom fitter; Electrician; Floor fitters; Plumber,Carlton Colville,https://www.ratedpeople.com/profile/sir-ramik-tiler,ratedpeople
MM Smooth Constructions,,Bathroom Design,,,9,194,07533036734,,,,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople
All Time Heating and Plumbing,,Bathroom Design,Uxbridge,,5,193,,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Floor fitters; Handyperson; Plumber; Specialist Tradesperson,Uxbridge,https://www.ratedpeople.com/profile/jack-cooper,ratedpeople
S R DEANE BUILDING SERVICES,,Bathroom Design,Bishop's Stortford,,5,193,,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Bishop's Stortford,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople
Aaron Construction,,Bathroom Design,Gardens,,5,172,,ratings; memberSince,Roofer; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Gardens,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople
DPS Gas Works Plumbing & Heating,,Bathroom Design,Bedford,,4.5,168,,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Plumber; Specialist Tradesperson,Bedford,https://www.ratedpeople.com/profile/dps-gas-works-plumbing-and-heating,ratedpeople
SMALL STONE MAINTENANCE SERVICES,,Bathroom Design,London,,5,168,07956840625,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Builder; Carpenter / Joiner; Electrician; Floor fitters; Handyperson; Loft Conversion Specialist; Painter and decorator; Plumber; Roofer; Specialist Tradesperson; Traditional Craftsperson,London,https://www.ratedpeople.com/profile/abdul-mumit,ratedpeople
Hayes plumbing and Property services,,Bathroom Design,Bridgend,,5,144,,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Builder; Carpenter / Joiner; Electrician; Floor fitters; Kitchen Specialist; Loft Conversion Specialist; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Tiler,Bridgend,https://www.ratedpeople.com/profile/hayes-plumbing-and-property-services,ratedpeople
Plumbing Company South West UK,,Bathroom Design,Street,,4.5,106,07359713971,ratings; memberSince,Plumber; Bathroom fitter; Drainage Specialist; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Roofer; Specialist Tradesperson; Tiler,Street,https://www.ratedpeople.com/profile/jones-engineering-services,ratedpeople
Webb Heating services,,Bathroom Design,Pontypool,,4.5,91,,ratings; memberSince,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson,Pontypool,https://www.ratedpeople.com/profile/webb-heating-services,ratedpeople
Underwood home improvements an maintenance,,Bathroom Design,Bristol,,5,90,,ratings; memberSince,Bathroom fitter; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Bristol,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople
Property Renovation&Decorating Services,,Bathroom Design,Watford,,5,199,07448421376,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Watford,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople
Bristol House Extensions,,Bathroom Design,Bristol,,5,79,07576561625,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Bristol,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople
Father\\'s House Carpentry/Painting & Decorating Services,,Bathroom Design,Bath,,5,76,07504088436,ratings; memberSince,Carpenter / Joiner; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Bath,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople
HFM Services,,Bathroom Design,Llanelli,,5,72,,ratings; memberSince,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Tiler,Llanelli,https://www.ratedpeople.com/profile/hfmservices,ratedpeople
RightFit Redevelopments,,Bathroom Design,Hengoed,,5,68,,ratings; gassafe,Gas / Heating engineer; Bathroom fitter; Builder; Electrician; Floor fitters; Handyperson; Plumber; Roofer; Specialist Tradesperson; Tiler,Hengoed,https://www.ratedpeople.com/profile/jp-plumbing-solutions,ratedpeople
Newman Plastering,,Bathroom Design,Bristol,,5,68,07588770040,ratings; memberSince,Plasterer / Renderer; Bathroom fitter; Bricklayer; Builder; Carpenter / Joiner; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Handyperson; Painter and decorator; Plumber; Removal Services; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Traditional Craftsperson,Bristol,https://www.ratedpeople.com/profile/newman-plastering,ratedpeople
Oliver Kent,,Bathroom Design,Cheltenham,,5,65,07557271029,ratings; memberSince,Carpenter / Joiner; Bathroom fitter; Builder; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plumber; Removal Services; Roofer; Specialist Tradesperson; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Cheltenham,https://www.ratedpeople.com/profile/oliver-kent,ratedpeople
SERGIU NASALEAN,,Bathroom Design,Cheltenham,,5,65,,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Cheltenham,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople
