company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
D&S Plumbing and Heating Services,,Blind Curtain Shutter Installation,Uxbridge,,5,819,07737716360,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Window fitter / Conservatory installer,Uxbridge,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople
Cn Construction&Gardening Ltd,,Blind Curtain Shutter Installation,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
A & K Contractor Services,,Blind Curtain Shutter Installation,London,,4.5,593,07939990252,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople
J B CARPENTRY,,Blind Curtain Shutter Installation,Chislehurst,,5,495,07904988509,ratings; memberSince,Carpenter / Joiner; Blacksmith / Metal worker; Builder; Floor fitters; Gardener / Landscape gardeners; Handyperson; Locksmith; Loft Conversion Specialist; Plumber; Roofer; Security systems / Alarms; Traditional Craftsperson; Window fitter / Conservatory installer,Chislehurst,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople
wood doctor,,Blind Curtain Shutter Installation,Portsmouth,,5,397,07826527179,ratings; memberSince,Carpenter / Joiner; Blacksmith / Metal worker; Builder; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Traditional Craftsperson; Window fitter / Conservatory installer,Portsmouth,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople
WH Services,,Blind Curtain Shutter Installation,Horsham,,5,351,,ratings; memberSince,Handyperson; Builder; Carpenter / Joiner; Electrician; Pest Control; Plumber; Renewable Energy Specialist; Window fitter / Conservatory installer,Horsham,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople
Electro Flame LTD,,Blind Curtain Shutter Installation,Croydon,,5,323,07864393584,ratings; memberSince,Electrician; Bathroom fitter; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Floor fitters; Handyperson; Loft Conversion Specialist; Painter and decorator; Plumber; Security systems / Alarms,Croydon,https://www.ratedpeople.com/profile/electro-flame,ratedpeople
Rushymead General Maintenance,,Blind Curtain Shutter Installation,Amersham,,5,323,,ratings; memberSince,Carpenter / Joiner; Builder; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Painter and decorator; Plasterer / Renderer; Security systems / Alarms; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Amersham,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople
ES Electrical & Building Services,,Blind Curtain Shutter Installation,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
CFC Ltd.,,Blind Curtain Shutter Installation,Bushey,,5,250,,ratings; memberSince,Carpenter / Joiner; Blacksmith / Metal worker; Bricklayer; Builder; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Roofer; Security systems / Alarms; Stoneworker / Stonemason; Traditional Craftsperson; Window fitter / Conservatory installer,Bushey,https://www.ratedpeople.com/profile/cfc,ratedpeople
EPRLocksmith,,Blind Curtain Shutter Installation,Ashford,,5,212,07454482395,ratings; memberSince,Locksmith; Blacksmith / Metal worker; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Gardener / Landscape gardeners; Handyperson; Security systems / Alarms; Traditional Craftsperson; Window fitter / Conservatory installer,Ashford,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople
