company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
D&S Plumbing and Heating Services,,Complete Bathroom Refurbishment,Uxbridge,,5,819,07737716360,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Window fitter / Conservatory installer,Uxbridge,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople
Cn Construction&Gardening Ltd,,Complete Bathroom Refurbishment,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
Bc Plumbing Services,,Complete Bathroom Refurbishment,Oxted,,5,627,07821194571,ratings; memberSince,Plumber; Bathroom fitter; Drainage Specialist; Floor fitters; Gas / Heating engineer; Tiler,Oxted,https://www.ratedpeople.com/profile/bc-plumbing-services,ratedpeople
A & K Contractor Services,,Complete Bathroom Refurbishment,London,,4.5,594,07939990252,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople
K Marsh Plumbing & Heating LTD,,Complete Bathroom Refurbishment,Mitcham,,4.5,518,07776027235,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Plumber; Renewable Energy Specialist; Specialist Tradesperson,Mitcham,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople
S&A Plumbing Services,,Complete Bathroom Refurbishment,LONDON,,5,311,07960660506,ratings; memberSince,Plumber; Bathroom fitter; Carpenter / Joiner; Drainage Specialist; Electrician; Gas / Heating engineer; Renewable Energy Specialist; Roofer,LONDON,https://www.ratedpeople.com/profile/s-and-a,ratedpeople
Ziyad Construction,,Complete Bathroom Refurbishment,London,,4.5,300,,ratings; memberSince,Builder; Bathroom fitter; Bricklayer; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Plasterer / Renderer; Plumber; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson,London,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople
RM Drainage & Plumbing,,Complete Bathroom Refurbishment,Rainham,,5,275,,ratings; memberSince,Drainage Specialist; Bathroom fitter; Carpenter / Joiner; Electrician; Handyperson; Plumber; Roofer,Rainham,https://www.ratedpeople.com/profile/rmdrainageandplumbing,ratedpeople
ES Electrical & Building Services,,Complete Bathroom Refurbishment,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
Chameleon Refurbs,,Complete Bathroom Refurbishment,Cambridge,,5,245,07572886121,ratings,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Handyperson; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Cambridge,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople
R&D Construction,,Complete Bathroom Refurbishment,London,,5,210,07859888537,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Drainage Specialist; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Kitchen Specialist; Loft Conversion Specialist; Plumber; Roofer; Specialist Tradesperson; Tiler; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople
