company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Cn Construction&Gardening Ltd,,Decorative Glazing,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
Bennbrook Windows,,Decorative Glazing,Harlow,,4.5,217,07794343648,ratings; memberSince,Window fitter / Conservatory installer; Builder; Carpenter / Joiner; Cleaner; Locksmith; Roofer; Traditional Craftsperson,Harlow,https://www.ratedpeople.com/profile/bennbrook-windows,ratedpeople
EPRLocksmith,,Decorative Glazing,Ashford,,5,212,07454482395,ratings; memberSince,Locksmith; Blacksmith / Metal worker; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Gardener / Landscape gardeners; Handyperson; Security systems / Alarms; Traditional Craftsperson; Window fitter / Conservatory installer,Ashford,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople
MM Smooth Constructions,,Decorative Glazing,,,9,194,07533036734,,,,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople
Aaron Construction,,Decorative Glazing,Gardens,,5,172,,ratings; memberSince,Roofer; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Gardens,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople
The Ruby Team,,Decorative Glazing,London,,5,135,,ratings; memberSince; gassafe,Carpenter / Joiner; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Cleaner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/therubyteam,ratedpeople
Correct Window and Door Repairs Ltd,,Decorative Glazing,,,10,121,,,,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople
G Greaves Carpentry & Building Services,,Decorative Glazing,London,,4.5,101,07445766420,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople
All Jobs Essex,,Decorative Glazing,Stebbing  Dunmow Essex,,4.5,80,,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Stebbing  Dunmow Essex,https://www.ratedpeople.com/profile/all-jobs-essex,ratedpeople
2M Construction,,Decorative Glazing,Barnet,,4.5,78,,ratings; memberSince,Bathroom fitter; Bricklayer; Builder; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Barnet,https://www.ratedpeople.com/profile/2m-construction,ratedpeople
Weathertite Constructions,,Decorative Glazing,West Molesey,,4.5,77,,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,West Molesey,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople
GW Glass,,Decorative Glazing,Harlow,,5,71,,ratings; memberSince,Window fitter / Conservatory installer; Builder; Carpenter / Joiner; Cleaner; Gardener / Landscape gardeners; Handyperson; Locksmith; Loft Conversion Specialist; Painter and decorator; Plumber; Roofer; Security systems / Alarms; Traditional Craftsperson,Harlow,https://www.ratedpeople.com/profile/gwglass,ratedpeople
Andrey's Roofing and Building Services,,Decorative Glazing,Harrow,,5,95,07404303656,ratings; memberSince,Builder; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Harrow,https://www.ratedpeople.com/profile/andrey-roofing-services,ratedpeople
