company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Plumb GP,,Electrician,2 Union Road,,4.5,1484,07788597250,ratings; memberSince,Plumber; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Gas / Heating engineer; Roofer,2 Union Road,https://www.ratedpeople.com/profile/plumb-gp,ratedpeople
Electrical Maintenance Service,,Electrician,Northolt,,4.5,1024,07852568954,ratings; memberSince,Electrician,Northolt,https://www.ratedpeople.com/profile/electricalmaintenanceservice,ratedpeople
Folarinmaintains,,Electrician,United Kingdom,,5,870,07877099631,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,United Kingdom,https://www.ratedpeople.com/profile/folarinmaintains,ratedpeople
D&S Plumbing and Heating Services,,Electrician,Uxbridge,,5,819,07737716360,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Window fitter / Conservatory installer,Uxbridge,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople
Cn Construction&Gardening Ltd,,Electrician,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
A & K Contractor Services,,Electrician,London,,4.5,593,07939990252,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople
K Marsh Plumbing & Heating LTD,,Electrician,Mitcham,,4.5,518,07776027235,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Plumber; Renewable Energy Specialist; Specialist Tradesperson,Mitcham,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople
Conor Lynch Plumbing & Heating,,Electrician,Hornchurch,,5,417,07767523580,ratings; memberSince,Plumber; Bathroom fitter; Carpenter / Joiner; Drainage Specialist; Electrician; Gas / Heating engineer; Roofer,Hornchurch,https://www.ratedpeople.com/profile/conor-lynch-plumbing-and-heating,ratedpeople
WH Services,,Electrician,Horsham,,5,351,,ratings; memberSince,Handyperson; Builder; Carpenter / Joiner; Electrician; Pest Control; Plumber; Renewable Energy Specialist; Window fitter / Conservatory installer,Horsham,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople
Electro Flame LTD,,Electrician,Croydon,,5,323,07864393584,ratings; memberSince,Electrician; Bathroom fitter; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Floor fitters; Handyperson; Loft Conversion Specialist; Painter and decorator; Plumber; Security systems / Alarms,Croydon,https://www.ratedpeople.com/profile/electro-flame,ratedpeople
S&A Plumbing Services,,Electrician,LONDON,,5,311,07960660506,ratings; memberSince,Plumber; Bathroom fitter; Carpenter / Joiner; Drainage Specialist; Electrician; Gas / Heating engineer; Renewable Energy Specialist; Roofer,LONDON,https://www.ratedpeople.com/profile/s-and-a,ratedpeople
Ziyad Construction,,Electrician,London,,4.5,300,,ratings; memberSince,Builder; Bathroom fitter; Bricklayer; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Plasterer / Renderer; Plumber; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson,London,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople
Instalex,,Electrician,Maidstone,,5,293,07919311808,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Floor fitters; Handyperson; Renewable Energy Specialist; Security systems / Alarms,Maidstone,https://www.ratedpeople.com/profile/instalex-south-east,ratedpeople
RM Drainage & Plumbing,,Electrician,Rainham,,5,275,,ratings; memberSince,Drainage Specialist; Bathroom fitter; Carpenter / Joiner; Electrician; Handyperson; Plumber; Roofer,Rainham,https://www.ratedpeople.com/profile/rmdrainageandplumbing,ratedpeople
ElectricFix Science Ltd,,Electrician,London,,5,263,07833231034,ratings; memberSince; gassafe,Electrician; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Painter and decorator; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson; Traditional Craftsperson,London,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople
ES Electrical & Building Services,,Electrician,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
AM Electrical,,Electrician,London,,5,255,07714188241,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Floor fitters; Handyperson; Renewable Energy Specialist; Security systems / Alarms,London,https://www.ratedpeople.com/profile/am-electrical-brent,ratedpeople
CFC Ltd.,,Electrician,Bushey,,5,250,,ratings; memberSince,Carpenter / Joiner; Blacksmith / Metal worker; Bricklayer; Builder; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Roofer; Security systems / Alarms; Stoneworker / Stonemason; Traditional Craftsperson; Window fitter / Conservatory installer,Bushey,https://www.ratedpeople.com/profile/cfc,ratedpeople
Core Electrical South LTD,,Electrician,Crawley,,5,218,,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Security systems / Alarms,Crawley,https://www.ratedpeople.com/profile/core-electrical-south,ratedpeople
EPRLocksmith,,Electrician,Ashford,,5,212,07454482395,ratings; memberSince,Locksmith; Blacksmith / Metal worker; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Gardener / Landscape gardeners; Handyperson; Security systems / Alarms; Traditional Craftsperson; Window fitter / Conservatory installer,Ashford,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople
Clive Adams,,Electrician,Bristol,,5,387,,ratings; memberSince,Plumber; Carpenter / Joiner; Electrician; Gas / Heating engineer; Handyperson; Kitchen Specialist; Window fitter / Conservatory installer,Bristol,https://www.ratedpeople.com/profile/clive-adams,ratedpeople
LB plastering,,Electrician,Aberdare,,5,322,,ratings; memberSince,Plasterer / Renderer; Carpenter / Joiner; Electrician; Floor fitters; Handyperson; Removal Services; Specialist Tradesperson; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Aberdare,https://www.ratedpeople.com/profile/lb-plastering-1,ratedpeople
FlowTeck Roofing,,Electrician,Pershore,,5,271,,ratings; memberSince,Roofer; Blacksmith / Metal worker; Bricklayer; Builder; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Loft Conversion Specialist; Painter and decorator; Plumber; Specialist Tradesperson; Stoneworker / Stonemason; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Pershore,https://www.ratedpeople.com/profile/flowteck-roofing,ratedpeople
S&C Cleaning Services,,Electrician,Harrow,,4.5,195,07311867427,ratings; memberSince,Removal Services; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Gardener / Landscape gardeners; Kitchen Specialist; Specialist Tradesperson; Stoneworker / Stonemason; Traditional Craftsperson; Window fitter / Conservatory installer,Harrow,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople
AA Electrical,,Electrician,Bridgend,,5,190,07427331243,ratings; memberSince,Electrician; Carpenter / Joiner; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Security systems / Alarms,Bridgend,https://www.ratedpeople.com/profile/aa-electrical-bridgend,ratedpeople
Spensley Electrical Services,,Electrician,Bristol,,5,180,,ratings; memberSince,Electrician; Carpenter / Joiner; Floor fitters; Handyperson; Plumber; Specialist Tradesperson,Bristol,https://www.ratedpeople.com/profile/speneley-electrical-services,ratedpeople
