company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Cn Construction&Gardening Ltd,,General Fitted Furniture,,,10,781,07869146538,,,,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
J B CARPENTRY,,General Fitted Furniture,,,10,495,07904988509,,,,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople
wood doctor,,General Fitted Furniture,,,10,397,07826527179,,,,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople
Electro Flame LTD,,General Fitted Furniture,,,10,323,07864393584,,,,https://www.ratedpeople.com/profile/electro-flame,ratedpeople
Rushymead General Maintenance,,General Fitted Furniture,,,10,322,,,,,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople
ES Electrical & Building Services,,General Fitted Furniture,,,10,261,07487236174,,,,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
CFC Ltd.,,General Fitted Furniture,,,10,250,,,,,https://www.ratedpeople.com/profile/cfc,ratedpeople
RJ Mullan,,General Fitted Furniture,,,10,199,07939168686,,,,https://www.ratedpeople.com/profile/rjmullan,ratedpeople
A & L Ever Ready Cleaning & Building Maintenance LTD,,General Fitted Furniture,,,10,198,07984262910,,,,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople
MM Smooth Constructions,,General Fitted Furniture,,,9,194,07533036734,,,,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople
S R DEANE BUILDING SERVICES,,General Fitted Furniture,,,10,193,,,,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople
Aaron Construction,,General Fitted Furniture,,,10,172,,,,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople
W & M Home Renovations,,General Fitted Furniture,,,10,156,,,,,https://www.ratedpeople.com/profile/wm-homerenovation,ratedpeople
arkadiusz debski,,General Fitted Furniture,,,10,154,,,,,https://www.ratedpeople.com/profile/arkadiusz-debski,ratedpeople
CMS Carpentry,,General Fitted Furniture,,,10,149,,,,,https://www.ratedpeople.com/profile/cms-carpentry,ratedpeople
Your Property Developers,,General Fitted Furniture,,,9,136,,,,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople
The Ruby Team,,General Fitted Furniture,,,10,135,,,,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople
Aureliu-TopArtCraft.,,General Fitted Furniture,,,10,128,07779783333,,,,https://www.ratedpeople.com/profile/aureliu-peche,ratedpeople
S & H Builders,,General Fitted Furniture,,,9,127,,,,,https://www.ratedpeople.com/profile/s-and-h-builders,ratedpeople
ge carpentry services,,General Fitted Furniture,,,10,123,07818325397,,,,https://www.ratedpeople.com/profile/ge-carpentry-services,ratedpeople
Top Notch Joinery,,General Fitted Furniture,,,10,366,07561197281,,,,https://www.ratedpeople.com/profile/adam-unwin-carpentry,ratedpeople
DB Home Improvements,,General Fitted Furniture,,,9,133,,,,,https://www.ratedpeople.com/profile/daniel-bradshaw,ratedpeople
steve seymour carpentry,,General Fitted Furniture,,,10,130,,,,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople
1st Choice Landscaping and Groundwork,,General Fitted Furniture,,,10,118,07811334542,,,,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople
RSM Building Services,,General Fitted Furniture,,,9,99,,,,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople
Underwood home improvements an maintenance,,General Fitted Furniture,,,10,90,,,,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople
Chris' Home Services,,General Fitted Furniture,,,10,82,,,,,https://www.ratedpeople.com/profile/chris-home-services,ratedpeople
Property Renovation&Decorating Services,,General Fitted Furniture,,,10,80,07448421376,,,,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople
Father's House Carpentry/Painting & Decorating Services,,General Fitted Furniture,,,10,76,07504088436,,,,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople
JH Mapp Fencing and Landscaping,,General Fitted Furniture,,,10,75,,,,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople
Wayne Parker,,General Fitted Furniture,,,10,69,,,,,https://www.ratedpeople.com/profile/wayne-parker,ratedpeople
TEEMIS,,General Fitted Furniture,,,10,69,,,,,https://www.ratedpeople.com/profile/teemis,ratedpeople
B Shakespeare,,General Fitted Furniture,,,9,68,,,,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople
Oliver Kent,,General Fitted Furniture,,,10,65,07557271029,,,,https://www.ratedpeople.com/profile/oliver-kent,ratedpeople
SERGIU NASALEAN,,General Fitted Furniture,,,10,64,,,,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople
DW HOME IMPROVEMENTS,,General Fitted Furniture,,,10,60,07891965802,,,,https://www.ratedpeople.com/profile/dw-carpentry-newport,ratedpeople
Cymraeg Construction,,General Fitted Furniture,,,9,57,07498190215,,,,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople
HG Carpentry & Joinery,,General Fitted Furniture,,,10,56,07890311848,,,,https://www.ratedpeople.com/profile/hg-carpentry-and-joinery,ratedpeople
Davies’s Plastering,,General Fitted Furniture,,,9,43,,,,,https://www.ratedpeople.com/profile/daviesplastering,ratedpeople
Krzysztof Kruk,,General Fitted Furniture,,,10,42,07739096681,,,,https://www.ratedpeople.com/profile/krzysztof-kruk-frome,ratedpeople
Cn Construction&Gardening Ltd,,General Fitted Furniture,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
J B CARPENTRY,,General Fitted Furniture,Chislehurst,,5,495,07904988509,ratings; memberSince,Carpenter / Joiner; Blacksmith / Metal worker; Builder; Floor fitters; Gardener / Landscape gardeners; Handyperson; Locksmith; Loft Conversion Specialist; Plumber; Roofer; Security systems / Alarms; Traditional Craftsperson; Window fitter / Conservatory installer,Chislehurst,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople
wood doctor,,General Fitted Furniture,Portsmouth,,5,397,07826527179,ratings; memberSince,Carpenter / Joiner; Blacksmith / Metal worker; Builder; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Traditional Craftsperson; Window fitter / Conservatory installer,Portsmouth,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople
Electro Flame LTD,,General Fitted Furniture,Croydon,,5,323,07864393584,ratings; memberSince,Electrician; Bathroom fitter; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Floor fitters; Handyperson; Loft Conversion Specialist; Painter and decorator; Plumber; Security systems / Alarms,Croydon,https://www.ratedpeople.com/profile/electro-flame,ratedpeople
Rushymead General Maintenance,,General Fitted Furniture,Amersham,,5,323,,ratings; memberSince,Carpenter / Joiner; Builder; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Painter and decorator; Plasterer / Renderer; Security systems / Alarms; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Amersham,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople
ES Electrical & Building Services,,General Fitted Furniture,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
CFC Ltd.,,General Fitted Furniture,Bushey,,5,250,,ratings; memberSince,Carpenter / Joiner; Blacksmith / Metal worker; Bricklayer; Builder; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Roofer; Security systems / Alarms; Stoneworker / Stonemason; Traditional Craftsperson; Window fitter / Conservatory installer,Bushey,https://www.ratedpeople.com/profile/cfc,ratedpeople
RJ Mullan,,General Fitted Furniture,London,,5,199,07939168686,ratings; memberSince,Electrician; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/rjmullan,ratedpeople
A & L Ever Ready Cleaning & Building Maintenance LTD,,General Fitted Furniture,Rainham,,5,198,07984262910,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Rainham,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople
MM Smooth Constructions,,General Fitted Furniture,,,9,194,07533036734,,,,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople
S R DEANE BUILDING SERVICES,,General Fitted Furniture,Bishop's Stortford,,5,193,,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Bishop's Stortford,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople
