company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Pink Hippo Tree Surgery,,House Clearance,Bracknell,,5,317,07854393617,ratings; memberSince,Tree Surgeon; Gardener / Landscape gardeners; Removal Services; Specialist Tradesperson; Stoneworker / Stonemason,Bracknell,https://www.ratedpeople.com/profile/pinkhippotreesurgery,ratedpeople
ES Electrical & Building Services,,House Clearance,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
Chameleon Refurbs,,House Clearance,Cambridge,,5,245,07572886121,ratings,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Handyperson; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Cambridge,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople
Crystal Home Improvement & Gardening Services,,House Clearance,London,,5,207,07894249212,ratings; memberSince,Gardener / Landscape gardeners; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Handyperson; Painter and decorator; Plumber; Removal Services; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tree Surgeon,London,https://www.ratedpeople.com/profile/o-and-t-builders,ratedpeople
RJ Mullan,,House Clearance,London,,5,199,07939168686,ratings; memberSince,Electrician; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/rjmullan,ratedpeople
A & L Ever Ready Cleaning & Building Maintenance LTD,,House Clearance,Rainham,,5,198,07984262910,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Rainham,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople
S&C Cleaning Services,,House Clearance,Harrow,,4.5,195,07311867427,ratings; memberSince,Removal Services; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Gardener / Landscape gardeners; Kitchen Specialist; Specialist Tradesperson; Stoneworker / Stonemason; Traditional Craftsperson; Window fitter / Conservatory installer,Harrow,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople
MM Smooth Constructions,,House Clearance,,,9,194,07533036734,,,,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople
Swiftz Removals,,House Clearance,London,,5,140,,ratings; memberSince,Removal Services; Specialist Tradesperson,London,https://www.ratedpeople.com/profile/swiftzremovals,ratedpeople
Cristian Improvements,,House Clearance,Watford,,5,121,07721734005,ratings; memberSince,Builder; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Handyperson; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Removal Services; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson,Watford,https://www.ratedpeople.com/profile/cris-handyman,ratedpeople
