company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Electrical Maintenance Service,,Internal Lighting,Northolt,,4.5,1024,07852568954,ratings; memberSince,Electrician,Northolt,https://www.ratedpeople.com/profile/electricalmaintenanceservice,ratedpeople
Folarinmaintains,,Internal Lighting,United Kingdom,,5,870,07877099631,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,United Kingdom,https://www.ratedpeople.com/profile/folarinmaintains,ratedpeople
Cn Construction&Gardening Ltd,,Internal Lighting,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
WH Services,,Internal Lighting,Horsham,,5,351,,ratings; memberSince,Handyperson; Builder; Carpenter / Joiner; Electrician; Pest Control; Plumber; Renewable Energy Specialist; Window fitter / Conservatory installer,Horsham,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople
Electro Flame LTD,,Internal Lighting,Croydon,,5,323,07864393584,ratings; memberSince,Electrician; Bathroom fitter; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Floor fitters; Handyperson; Loft Conversion Specialist; Painter and decorator; Plumber; Security systems / Alarms,Croydon,https://www.ratedpeople.com/profile/electro-flame,ratedpeople
Instalex,,Internal Lighting,Maidstone,,5,293,07919311808,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Floor fitters; Handyperson; Renewable Energy Specialist; Security systems / Alarms,Maidstone,https://www.ratedpeople.com/profile/instalex-south-east,ratedpeople
ElectricFix Science Ltd,,Internal Lighting,London,,5,263,07833231034,ratings; memberSince; gassafe,Electrician; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Painter and decorator; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson; Traditional Craftsperson,London,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople
ES Electrical & Building Services,,Internal Lighting,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
AM Electrical,,Internal Lighting,London,,5,255,07714188241,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Floor fitters; Handyperson; Renewable Energy Specialist; Security systems / Alarms,London,https://www.ratedpeople.com/profile/am-electrical-brent,ratedpeople
Core Electrical South LTD,,Internal Lighting,Crawley,,5,218,,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Security systems / Alarms,Crawley,https://www.ratedpeople.com/profile/core-electrical-south,ratedpeople
Modern Bathrooms LT,,Internal Lighting,Gravesend,,5,209,,ratings; memberSince,Bathroom fitter; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Tiler,Gravesend,https://www.ratedpeople.com/profile/modern-living,ratedpeople
RJ Mullan,,Internal Lighting,London,,5,199,07939168686,ratings; memberSince,Electrician; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/rjmullan,ratedpeople
A & L Ever Ready Cleaning & Building Maintenance LTD,,Internal Lighting,Rainham,,5,198,07984262910,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Rainham,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople
S R DEANE BUILDING SERVICES,,Internal Lighting,Bishop's Stortford,,5,193,,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Bishop's Stortford,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople
Jack Henry,,Internal Lighting,Glasgow,,4.5,192,,ratings,Electrician; CCTV / Satellites / Alarms; Floor fitters; Gas / Heating engineer; Handyperson; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,Glasgow,https://www.ratedpeople.com/profile/jack-henry,ratedpeople
HomeSafe Electrical,,Internal Lighting,Birmingham,,5,188,07838273398,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,Birmingham,https://www.ratedpeople.com/profile/homesafe-electrical,ratedpeople
Aaron Construction,,Internal Lighting,Gardens,,5,172,,ratings; memberSince,Roofer; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Gardens,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople
CES Electrical,,Internal Lighting,Fareham,,5,165,07551419190,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Handyperson; Security systems / Alarms,Fareham,https://www.ratedpeople.com/profile/christian-walker,ratedpeople
Daniel Panfil,,Internal Lighting,Chadwell St. Mary,,5,158,07471946799,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,Chadwell St. Mary,https://www.ratedpeople.com/profile/daniel-panfil,ratedpeople
AGC Electrical,,Internal Lighting,Blackpool,,5,146,,ratings; memberSince,Electrician; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Handyperson; Loft Conversion Specialist; Plumber; Security systems / Alarms; Specialist Tradesperson; Window fitter / Conservatory installer,Blackpool,https://www.ratedpeople.com/profile/agc-electrical,ratedpeople
Clive Adams,,Internal Lighting,Bristol,,5,387,,ratings; memberSince,Plumber; Carpenter / Joiner; Electrician; Gas / Heating engineer; Handyperson; Kitchen Specialist; Window fitter / Conservatory installer,Bristol,https://www.ratedpeople.com/profile/clive-adams,ratedpeople
AA Electrical,,Internal Lighting,Bridgend,,5,190,07427331243,ratings; memberSince,Electrician; Carpenter / Joiner; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Security systems / Alarms,Bridgend,https://www.ratedpeople.com/profile/aa-electrical-bridgend,ratedpeople
Spensley Electrical Services,,Internal Lighting,Bristol,,5,180,,ratings; memberSince,Electrician; Carpenter / Joiner; Floor fitters; Handyperson; Plumber; Specialist Tradesperson,Bristol,https://www.ratedpeople.com/profile/speneley-electrical-services,ratedpeople
Fuse Electrical Services,,Internal Lighting,Brecon,,5,159,07966371707,ratings; memberSince; partp,Electrician; CCTV / Satellites / Alarms; Floor fitters; Gas / Heating engineer; Handyperson; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,Brecon,https://www.ratedpeople.com/profile/fuse-electrical-services-brecon,ratedpeople
Underwood home improvements an maintenance,,Internal Lighting,Bristol,,5,90,,ratings; memberSince,Bathroom fitter; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Bristol,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople
Neil Corcoran Electrical Contractor,,Internal Lighting,Ferndale,,5,90,,ratings,Electrician; Bathroom fitter; Builder; CCTV / Satellites / Alarms; Floor fitters; Gas / Heating engineer; Handyperson; Renewable Energy Specialist; Security systems / Alarms,Ferndale,https://www.ratedpeople.com/profile/neil-corcoran-electrical-contractor,ratedpeople
RD Electrical (SW),,Internal Lighting,Bristol,,5,89,,ratings; memberSince,Electrician,Bristol,https://www.ratedpeople.com/profile/riccardo-dimeo,ratedpeople
Roof & Electrical Technicians,,Internal Lighting,Bridgend,,4.5,84,,ratings; memberSince,Roofer; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Gas / Heating engineer; Handyperson; Loft Conversion Specialist; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson; Traditional Craftsperson; Window fitter / Conservatory installer,Bridgend,https://www.ratedpeople.com/profile/advanced-management-services,ratedpeople
