company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
D&S Plumbing and Heating Services,,Jet Power Washing,Uxbridge,,5,819,07737716360,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Window fitter / Conservatory installer,Uxbridge,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople
Cn Construction&Gardening Ltd,,Jet Power Washing,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
A & K Contractor Services,,Jet Power Washing,,,9,591,07939990252,,,,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople
J B CARPENTRY,,Jet Power Washing,Chislehurst,,5,495,07904988509,ratings; memberSince,Carpenter / Joiner; Blacksmith / Metal worker; Builder; Floor fitters; Gardener / Landscape gardeners; Handyperson; Locksmith; Loft Conversion Specialist; Plumber; Roofer; Security systems / Alarms; Traditional Craftsperson; Window fitter / Conservatory installer,Chislehurst,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople
WH Services,,Jet Power Washing,Horsham,,5,351,,ratings; memberSince,Handyperson; Builder; Carpenter / Joiner; Electrician; Pest Control; Plumber; Renewable Energy Specialist; Window fitter / Conservatory installer,Horsham,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople
Rushymead General Maintenance,,Jet Power Washing,Amersham,,5,323,,ratings; memberSince,Carpenter / Joiner; Builder; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Painter and decorator; Plasterer / Renderer; Security systems / Alarms; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Amersham,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople
RM Drainage & Plumbing,,Jet Power Washing,Rainham,,5,275,,ratings; memberSince,Drainage Specialist; Bathroom fitter; Carpenter / Joiner; Electrician; Handyperson; Plumber; Roofer,Rainham,https://www.ratedpeople.com/profile/rmdrainageandplumbing,ratedpeople
ES Electrical & Building Services,,Jet Power Washing,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
Chameleon Refurbs,,Jet Power Washing,Cambridge,,5,245,07572886121,ratings,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Handyperson; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Cambridge,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople
SUNNY CLEAN,,Jet Power Washing,Romford,,4.5,222,,ratings; memberSince,Cleaner; Builder; Handyperson,Romford,https://www.ratedpeople.com/profile/sunnyclean,ratedpeople
