company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Cn Construction&Gardening Ltd,,Sound Audio Visual Installation,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
ElectricFix Science Ltd,,Sound Audio Visual Installation,London,,5,263,07833231034,ratings; memberSince; gassafe,Electrician; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Painter and decorator; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson; Traditional Craftsperson,London,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople
ES Electrical & Building Services,,Sound Audio Visual Installation,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
Crystal Home Improvement & Gardening Services,,Sound Audio Visual Installation,London,,5,207,07894249212,ratings; memberSince,Gardener / Landscape gardeners; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Handyperson; Painter and decorator; Plumber; Removal Services; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tree Surgeon,London,https://www.ratedpeople.com/profile/o-and-t-builders,ratedpeople
A & L Ever Ready Cleaning & Building Maintenance LTD,,Sound Audio Visual Installation,Rainham,,5,198,07984262910,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Rainham,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople
S&C Cleaning Services,,Sound Audio Visual Installation,Harrow,,4.5,195,07311867427,ratings; memberSince,Removal Services; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Gardener / Landscape gardeners; Kitchen Specialist; Specialist Tradesperson; Stoneworker / Stonemason; Traditional Craftsperson; Window fitter / Conservatory installer,Harrow,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople
MM Smooth Constructions,,Sound Audio Visual Installation,,,9,194,07533036734,,,,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople
S R DEANE BUILDING SERVICES,,Sound Audio Visual Installation,Bishop's Stortford,,5,193,,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Bishop's Stortford,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople
Jack Henry,,Sound Audio Visual Installation,Glasgow,,4.5,192,,ratings,Electrician; CCTV / Satellites / Alarms; Floor fitters; Gas / Heating engineer; Handyperson; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,Glasgow,https://www.ratedpeople.com/profile/jack-henry,ratedpeople
Allan Charles,,Sound Audio Visual Installation,Ascot,,5,190,07947805529,ratings; memberSince,CCTV / Satellites / Alarms; Electrician; Locksmith; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,Ascot,https://www.ratedpeople.com/profile/arcconsultinguk,ratedpeople
