company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Plumb GP,,Sprinkler System,2 Union Road,,4.5,1484,07788597250,ratings; memberSince,Plumber; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Gas / Heating engineer; Roofer,2 Union Road,https://www.ratedpeople.com/profile/plumb-gp,ratedpeople
D&S Plumbing and Heating Services,,Sprinkler System,Uxbridge,,5,819,07737716360,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Electrician; Floor fitters; Handyperson; Plumber; Renewable Energy Specialist; Roofer; Specialist Tradesperson; Window fitter / Conservatory installer,Uxbridge,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople
Cn Construction&Gardening Ltd,,Sprinkler System,London,,5,781,07869146538,ratings; memberSince,Gardener / Landscape gardeners; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople
Bc Plumbing Services,,Sprinkler System,Oxted,,5,627,07821194571,ratings; memberSince,Plumber; Bathroom fitter; Drainage Specialist; Floor fitters; Gas / Heating engineer; Tiler,Oxted,https://www.ratedpeople.com/profile/bc-plumbing-services,ratedpeople
A & K Contractor Services,,Sprinkler System,,,9,591,07939990252,,,,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople
K Marsh Plumbing & Heating LTD,,Sprinkler System,Mitcham,,4.5,518,07776027235,ratings; memberSince; gassafe,Gas / Heating engineer; Bathroom fitter; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Plumber; Renewable Energy Specialist; Specialist Tradesperson,Mitcham,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople
Conor Lynch Plumbing & Heating,,Sprinkler System,Hornchurch,,5,417,07767523580,ratings; memberSince,Plumber; Bathroom fitter; Carpenter / Joiner; Drainage Specialist; Electrician; Gas / Heating engineer; Roofer,Hornchurch,https://www.ratedpeople.com/profile/conor-lynch-plumbing-and-heating,ratedpeople
J.J MURPHY plumbing & heating,,Sprinkler System,berkhampsted,,5,335,07496568368,ratings; memberSince; gassafe,Plumber; Bathroom fitter; Gas / Heating engineer,berkhampsted,https://www.ratedpeople.com/profile/jj-murphy-plumbing-and-heating,ratedpeople
NEE BUILDERS,,Sprinkler System,Billericay,,5,288,07958997132,ratings; memberSince,Plumber; Bathroom fitter; Drainage Specialist; Gas / Heating engineer; Roofer,Billericay,https://www.ratedpeople.com/profile/nee-builders,ratedpeople
ES Electrical & Building Services,,Sprinkler System,London,,5,261,07487236174,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople
