company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
E&G Audio Visual Solutions,,Aerial Installer,London and Surrey,https://www.trustagarage.com/,4.98,218,,07360 268734,"vetted; Verified; verified; Insurance
Verified",,London and Surrey,https://www.trustatrader.com/traders/e-g-audio-visual-solutions-aerial-satellite-installation-sw18,trustatrader
Sirius AV,,Aerial Installer,"Uxbridge, Harrow, Wembley and the surrounding London areas",https://www.siriusav.co.uk/,4.93,55,,07307 202812,"vetted; Verified; verified; Insurance
Verified",,"Uxbridge, Harrow, Wembley and the surrounding London areas",https://www.trustatrader.com/traders/sirius-av-aerial-satellite-installation-ub8-and-ub10,trustatrader
Media Services 1 Ltd,,Aerial Installer,"Enfield, Barnet,Islington, Finsbury Park, St John's Wood, Kilburn, Muswell Hill, Hampstead, Bays",https://mediaservices1.co.uk/,4.93,188,,07360 268134,vetted; Verified; verified,,"Enfield, Barnet,Islington, Finsbury Park, St John's Wood, Kilburn, Muswell Hill, Hampstead, Bays",https://www.trustatrader.com/traders/media-services-1-ltd-aerial-satellite-installation-haringey,trustatrader
Caversham Radio,,Aerial Installer,North London,https://www.cavershamradiostores.co.uk/,4.94,56,,07307 206703,"vetted; Verified; verified; Insurance
Verified",,North London,https://www.trustatrader.com/traders/caversham-radio-aerial-satellite-installation-n4-and-n15,trustatrader
Wrights Solutions,,Aerial Installer,"Hertfordshire, Essex, London and surrounding areas",http://www.wrightssolutions.co.uk/,4.98,439,26,07360 267739,vetted; verified; Verified,,"Hertfordshire, Essex, London and surrounding areas",https://www.trustatrader.com/traders/wrights-solutions-aerial-satellite-installation-watford,trustatrader
Spot on Services,,Aerial Installer,"London, Surrey and surrounding areas",https://www.spotonservices.uk/,4.99,244,,07360 496482,"vetted; Verified; verified; Insurance
Verified",,"London, Surrey and surrounding areas",https://www.trustatrader.com/traders/spot-on-services-aerial-satellite-installation-sm1-sm2-sm3,trustatrader
Top Signal Service,,Aerial Installer,"Lewisham, Dulwich, Peckham, Forrest Hill, Catford, Greenwich, Brixton, Blackheath, Sydenham, Dep",http://www.topsignalservice.co.uk/,4.99,57,,07360 277148,"vetted; Verified; verified; Insurance
Verified",,"Lewisham, Dulwich, Peckham, Forrest Hill, Catford, Greenwich, Brixton, Blackheath, Sydenham, Dep",https://www.trustatrader.com/traders/top-signal-service-aerial-satellite-installation-se8-se10-and-se13,trustatrader
ISS Aerial & Satellites,,Aerial Installer,"St Albans, Watford, Hemel Hempstead, Hertford, Enfield, Barnet, Berkhamstead, Potters Bar and No",http://www.isselectrical.co.uk/,4.9,3130,,07307 209756,vetted; Verified; verified,,"St Albans, Watford, Hemel Hempstead, Hertford, Enfield, Barnet, Berkhamstead, Potters Bar and No",https://www.trustatrader.com/traders/iss-aerial-satellites-aerial-satellite-installation-st-albans,trustatrader
Digital Satellite & Aerial Services Ltd,,Aerial Installer,"all of London, Kent, Sussex and Essex",http://digitalsatelliteservice.co.uk/,4.87,192,,07307 214185,vetted; Verified; verified,,"all of London, Kent, Sussex and Essex",https://www.trustatrader.com/traders/digital-satellite-aerial-services-ltd-aerial-satellite-installation-dartford,trustatrader
Mediacoms Limited,,Aerial Installer,"London, Essex and Herts",http://www.mediacoms.co.uk/,4.89,150,,07307 204573,vetted; Verified; verified,,"London, Essex and Herts",https://www.trustatrader.com/traders/mediacoms-limited-aerial-satellite-installation-east-hertfordshire,trustatrader
"Advantage Aerials, Biggleswade",,Aerial Installer,Herts,http://www.advantageaerials.co.uk/,4.97,222,,07360 496125,vetted; Verified; verified,,Herts,https://www.trustatrader.com/traders/advantage-aerials-aerial-and-satellite-installation-mid-bedfordshire-south-bedfordshire,trustatrader
Aerial Systems Direct,,Aerial Installer,"Kent, Sussex, London & Essex",https://www.aerials-kent.co.uk/,4.97,5,,07307 202714,"vetted; Verified; verified; Insurance
Verified",,"Kent, Sussex, London & Essex",https://www.trustatrader.com/traders/asdl-uk-ltd-t-a-aerial-systems-direct-aerial-satellite-installation-maidstone-south,trustatrader
DMC Installations  Ltd,,Aerial Installer,Dunmow and 30 Mile Radius,http://www.dmcinstallations.co.uk/,4.92,167,,07307 235030,vetted; Verified; verified,,Dunmow and 30 Mile Radius,https://www.trustatrader.com/traders/dmc-installations-ltd-aerial-and-satellite-installation-braintree,trustatrader
