company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
Mayday Electrical,,Alarm Specialist,"Central London, North London, Hertfordshire and surrounding areas",https://maydayelectrical.co.uk/,4.95,79,,07307 260351,vetted; Verified; verified,,"Central London, North London, Hertfordshire and surrounding areas",https://www.trustatrader.com/traders/mayday-electrical-alarms-security-w8-w11-and-w14,trustatrader
FP Fire Ltd,,Alarm Specialist,London and surrounding areas,https://fpfire.co.uk/,5.0,11,,07360 498686,vetted; Verified; verified,,London and surrounding areas,https://www.trustatrader.com/traders/fp-fire-ltd-alarms-security-south-kensington-and-chelsea,trustatrader
Mango Electrical,,Alarm Specialist,all surrounding areas,http://www.mangoelectrical.com/,4.95,142,,07307 210862,"vetted; Verified; verified; Insurance
Verified",,all surrounding areas,https://www.trustatrader.com/traders/mango-electrical-alarms-security-nw3-and-nw8,trustatrader
GenieCloud Ltd,,Alarm Specialist,"London, Surrey and surrounding areas",http://geniecloud.co.uk/,4.95,533,,07307 211203,vetted; Verified; verified,,"London, Surrey and surrounding areas",https://www.trustatrader.com/traders/geniecloud-ltd-alarms-security-merton,trustatrader
Advance Security Alarms Ltd,,Alarm Specialist,"Farnborough, Orpington, Bromley, Bexleyheath, Eltham, Welling, Dartford, Blackheath, Sidcup, Med",http://www.advancesecurityalarms.co.uk/,4.91,627,30,07360 275918,vetted; Verified; verified,,"Farnborough, Orpington, Bromley, Bexleyheath, Eltham, Welling, Dartford, Blackheath, Sidcup, Med",https://www.trustatrader.com/traders/advance-security-alarms-ltd-alarms-and-security-bexley,trustatrader
Sky Security Solutions Ltd,,Alarm Specialist,"Enfield, North London and surrounding areas",https://skysecurity.co.uk/,4.97,138,,0208 3420 000,vetted; Verified; verified,,"Enfield, North London and surrounding areas",https://www.trustatrader.com/traders/sky-security-solutions-ltd-alarms-security-enfield,trustatrader
Spets Security Ltd,,Alarm Specialist,London,https://www.spetstech.co.uk/,4.98,9,,07414 120781,"vetted; Verified; verified; Insurance
Verified",,London,https://www.trustatrader.com/traders/spets-security-ltd-alarms-security-epsom-and-ewell-south-and-leatherhead,trustatrader
Infinite Group Solutions Ltd,,Alarm Specialist,"Surrey, London & Kent",http://www.igs.london/,4.98,17,,07414 114912,vetted; Verified; verified,,"Surrey, London & Kent",https://www.trustatrader.com/traders/infinite-group-solutions-ltd-alarms-security-cr2-cr6-cr8,trustatrader
HCFS Systems,,Alarm Specialist,"Surrey, Middlesex, Kent, Hampshire, Sussex, Greater London and Berkshire",https://hcfssystems.com/,4.92,55,,07308 503994,"vetted; Verified; verified; Insurance
Verified",,"Surrey, Middlesex, Kent, Hampshire, Sussex, Greater London and Berkshire",https://www.trustatrader.com/traders/hcfs-systems-alarms-security-epsom-ewell,trustatrader
Locktec Security Group,,Alarm Specialist,Ilford and the surrounding areas,http://www.locktecsecurity.co.uk/,4.99,400,37,07360 271874,"vetted; Verified; verified; Insurance
Verified",,Ilford and the surrounding areas,https://www.trustatrader.com/traders/locktec-security-group-alarms-security-ig6-ig7-and-ig10,trustatrader
"Infinite Group Solutions Ltd, Sanderstead",,Alarm Specialist,"Surrey, London & Kent",http://www.igs.london/,4.98,17,,07414 114912,vetted; Verified; verified,,"Surrey, London & Kent",https://www.trustatrader.com/traders/infinite-group-solutions-ltd-automatic-gatedoor-entry-systems-cr2-cr6-cr8,trustatrader
Halo Home Security Ltd,,Alarm Specialist,Kent and Essex,http://halo%20home%20security%20ltd/,4.96,399,,07307 210749,vetted; Verified; verified,,Kent and Essex,https://www.trustatrader.com/traders/halo-home-security-ltd-alarms-security-bexley,trustatrader
Absolute Alarms & Security Systems Ltd,,Alarm Specialist,"Essex, London, Kent, Hertfordshire, Surrey and Suffolk",http://www.absolutealarms.co.uk/,4.87,1576,25,07307 203841,vetted; Verified; verified,,"Essex, London, Kent, Hertfordshire, Surrey and Suffolk",https://www.trustatrader.com/traders/absolute-alarms-security-systems-ltd-alarms-and-security-east-herts-broxbourne,trustatrader
Wrights Solutions,,Alarm Specialist,"Hertfordshire, Essex, London and surrounding areas",http://www.wrightssolutions.co.uk/,4.98,439,26,07360 267739,vetted; verified; Verified,,"Hertfordshire, Essex, London and surrounding areas",https://www.trustatrader.com/traders/wrights-solutions-alarms-security-hatfield-and-hertford,trustatrader
Protection One Security Systems UK Ltd,,Alarm Specialist,"Slough , Windsor, Hounslow, Greenford, High Wycombe, 50 mile radius",https://www.trustagarage.com/,4.98,19,,07307 238372,vetted; Verified; verified,,"Slough , Windsor, Hounslow, Greenford, High Wycombe, 50 mile radius",https://www.trustatrader.com/traders/protection-one-security-systems-uk-ltd-alarms-security-slough-south-and-windsor,trustatrader
Defence Security,,Alarm Specialist,Essex and the surrounding areas,https://www.defencesecurityessex.uk/,4.96,12,,07308 506302,"vetted; Verified; verified; Insurance
Verified",,Essex and the surrounding areas,https://www.trustatrader.com/traders/defence-security-alarms-security-billericay-central-and-basildon-central,trustatrader
1-Secure,,Alarm Specialist,High Wycombe and a 30 mile radius,http://www.1-secure.co.uk/,4.88,13,,07360 274380,"vetted; Verified; verified; Insurance
Verified",,High Wycombe and a 30 mile radius,https://www.trustatrader.com/traders/1-secure-alarms-security-wycombe,trustatrader
Sydney Solutions Ltd,,Alarm Specialist,Hertfordshire & London,https://www.trustagarage.com/,4.99,42,,07307 213310,vetted; Verified; verified,,Hertfordshire & London,https://www.trustatrader.com/traders/sydney-solutions-ltd-alarms-security-stevenage,trustatrader
WP Fire Safety & Security,,Alarm Specialist,"London, the South East & the South West",https://wpfiresafety.uk/,5.0,6,,07360 497745,vetted; Verified; verified,,"London, the South East & the South West",https://www.trustatrader.com/traders/wp-fire-safety-limited-t-as-wp-fire-safety-security-alarms-security-bracknell,trustatrader
Mediacoms Limited,,Alarm Specialist,"London, Essex and Herts",http://www.mediacoms.co.uk/,4.89,150,,07307 204573,vetted; Verified; verified,,"London, Essex and Herts",https://www.trustatrader.com/traders/mediacoms-limited-alarms-security-east-hertfordshire,trustatrader
JS Group,,Alarm Specialist,"Kent, Essex, Sussex and Surrey",https://www.jssecuritysolutions.co.uk/,4.99,112,,07307 205463,vetted; Verified; verified,,"Kent, Essex, Sussex and Surrey",https://www.trustatrader.com/traders/js-group-alarms-security-maidstone-south,trustatrader
BASTEK Services Ltd,,Alarm Specialist,Bedfordshire and surrounding counties,https://bastek.co.uk/,4.99,13,,07307 290080,vetted; Verified; verified,,Bedfordshire and surrounding counties,https://www.trustatrader.com/traders/bastek-services-ltd-alarms-security-luton-dunstable-and-harpenden-1,trustatrader
DWNS Security Ltd,,Alarm Specialist,"Hampshire, Surrey, Berkshire, Dorset, Wiltshire",https://dwnssecurity.co.uk/,5.0,5,,07307 295455,"vetted; Verified; verified; Insurance
Verified",,"Hampshire, Surrey, Berkshire, Dorset, Wiltshire",https://www.trustatrader.com/traders/dwns-security-ltd-alarms-security-aldershot-and-farnham,trustatrader
