company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
K O'Donoghue & Sons Limited,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/k-odonoghue-sons-limited-builders-w3-and-tw8,trustatrader
Miko Construction Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/miko-construction-ltd-builders-w6-and-sw6,trustatrader
LGC Builders,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/lgc-builders-br3-se20-and-se26,trustatrader
T&G Prestige Refurbishment Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/t-g-prestige-refurbishment-builders-lambeth,trustatrader
Silver Gardens,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/silver-gardens-builders-sw16,trustatrader
AL-KO Construction Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/al-ko-renovations-ltd-builders-se1-and-se11,trustatrader
EBT Home Improvements Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/ebt-home-improvements-ltd-builders-e9-and-e10,trustatrader
Bright Builders Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/bright-builders-ltd-enfield,trustatrader
Premier Renovation Group Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/premier-renovation-group-ltd-builders-w6-and-sw6,trustatrader
Kaca Construction Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/kaca-construction-ltd-builders-ha0-and-w5,trustatrader
"Reix London Ltd, Barnet",,Builder,,,,,,,,,,https://www.trustatrader.com/traders/reix-london-ltd-builders-en4-en5-and-n20,trustatrader
"Create Solutions Projects Ltd, Hatfield",,Builder,,,,,,,,,,https://www.trustatrader.com/traders/create-solutions-projects-ltd-builders-hatfield-and-hertford,trustatrader
"JDR Building Services, Hockley",,Builder,,,,,,,,,,https://www.trustatrader.com/traders/jdr-building-services-builders-maldon-south,trustatrader
"Salmon Building Ltd, London",,Builder,,,,,,,,,,https://www.trustatrader.com/traders/salmon-building-ltd-builders-e12-and-e7,trustatrader
TDF Construct Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/tdf-construct-ltd-builders-ha2-and-ha4,trustatrader
LINX Design And Build,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/linx-design-and-build-builders-south-kensington-and-chelsea,trustatrader
MAM Building Services Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/mam-building-services-ltd-builders-tw7-tw9-and-ub2,trustatrader
Builderama Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/builderama-ltd-builders-n17-and-n22,trustatrader
MABI Builders Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/mabi-builders-ltd-barnet,trustatrader
Riga Interiors Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/riga-interiors-ltd-builders-city-of-westminsterkensington-chelsea,trustatrader
Forte Renovations Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/forte-renovations-ltd-builders-sw11,trustatrader
NA Property Renovations Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/na-property-renovations-ltd-builders-br3-se20-and-se26,trustatrader
Ruspi Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/ruspi-ltd-builders-br3-se20-and-se26,trustatrader
Prestige Builder,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/prestige-builder-builders-e14,trustatrader
SM Fulham Builders Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/sm-fulham-builders-ltd-wandsworth,trustatrader
Innovate Home Solutions Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/innovate-home-solutions-ltd-trading-as-refresh-renovations-west-central-london-builders-south-kensington-and-chelsea,trustatrader
Hurlingham Developments,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/hurlingham-developments-builders-w6-and-sw6,trustatrader
Best Choice Build Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/bestchoicebuild-builders-ealing,trustatrader
Pinnacle Build Projects Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/pinnacle-build-projects-ltd-builders-se15-and-se22,trustatrader
Joe’s Building & Plastering Services,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/joes-building-plastering-services-builders-e11-and-e18,trustatrader
M&P Dream House Construction Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/m-p-dream-house-construction-ltd-builders-brentwood-epping-forest,trustatrader
Kas General Builders,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/kas-general-builders-n21-and-n9,trustatrader
Holton Building Services Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/holton-building-services-ltd-builders-n1,trustatrader
Prestige Builders Group Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/prestige-builders-group-ltd-n13-n14-and-n18,trustatrader
Chelebi Builders,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/chelebi-builders-barnet-,trustatrader
Assured Properties London Ltd,,Builder,,,,,,,,,,https://www.trustatrader.com/traders/assured-properties-london-ltd-builders-en4-en5-and-n20,trustatrader
