company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
MDM Woodwork Ltd,,Carpenter Joiner,all surrounding areas,https://matthewsstore1.godaddysites.com/?fbclid=PAdGRleANwA8tleHRuA2FlbQIxMQABp0zwEFrfWa-gtDSg0-pH4jyI63iusuE6nokJTNvAOPULD6CYuBCJac7ZNEGW_aem_gSHMBM8rzd2YwneDqayvVQ,4.99,18,,07476 986894,"vetted; Verified; verified; Insurance
Verified",,all surrounding areas,https://www.trustatrader.com/traders/mdm-woodwork-ltd-carpenters-joiners-walthamstow,trustatrader
GR Carpentry Ltd,,Carpenter Joiner,London and the South East,https://www.grcarpentry.co.uk/,4.64,20,,07360 266320,"vetted; Verified; verified; Insurance
Verified",,London and the South East,https://www.trustatrader.com/traders/gr-carpentry-ltd-carpenters-joiners-dartford,trustatrader
Joints Carpentry & Joinery,,Carpenter Joiner,South East London and surrounding 30 mile radius,http://www.jointscarpentryandjoinery.co.uk/,4.97,43,18,07307 240671,"vetted; Verified; verified; Insurance
Verified",,South East London and surrounding 30 mile radius,https://www.trustatrader.com/traders/joints-carpentry-carpenters-and-joiners-lewisham,trustatrader
Rob the Chippy,,Carpenter Joiner,Croydon,https://www.trustagarage.com/,4.88,7,,07307 226374,vetted; Verified; verified,,Croydon,https://www.trustatrader.com/traders/rob-the-chippy-carpenters-joiners-cr7-and-se25,trustatrader
Michael Clark,,Carpenter Joiner,"SW20, South London, Surrey and Kent",http://www.michaelclarkcarpenterandjoiner.co.uk/,4.98,22,43,07360 263196,vetted; Verified; verified,,"SW20, South London, Surrey and Kent",https://www.trustatrader.com/traders/michael-clark-carpenters-joiners-merton,trustatrader
Capital Home Services UK Ltd,,Carpenter Joiner,London All Areas,https://www.trustagarage.com/,4.98,110,,07308 503451,vetted; Verified; verified,,London All Areas,https://www.trustatrader.com/traders/capital-home-services-uk-ltd-carpenters-joiners-n7-and-n19,trustatrader
Diggins of Dulwich,,Carpenter Joiner,Dulwich and surrounding areas,https://www.trustagarage.com/,4.99,70,,07517 480 685,vetted; Verified; verified,,Dulwich and surrounding areas,https://www.trustatrader.com/traders/diggins-of-dulwich-carpenters-joiners-southwark,trustatrader
A.J. Renovation & Interiors,,Carpenter Joiner,London,https://www.trustagarage.com/,4.99,24,,07360 274185,"vetted; Verified; verified; Insurance
Verified",,London,https://www.trustatrader.com/traders/a-j-renovation-interiors-carpenters-joiners-se15-and-se22,trustatrader
Meehan Construction Limited,,Carpenter Joiner,London,https://www.trustagarage.com/,4.97,10,,07360 270551,vetted; Verified; verified,,London,https://www.trustatrader.com/traders/meehan-construction-limited-carpenters-joiners-n21-and-n9,trustatrader
North West London Builders Ltd,,Carpenter Joiner,"Acton, Ealing, Hammersmith, Kilburn, Paddington, Brent, Westminster, Hampstead, West Hampstead,",https://www.northwestlondonbuildersltd.co.uk/,4.86,101,,07307 250322,vetted; Verified; verified,,"Acton, Ealing, Hammersmith, Kilburn, Paddington, Brent, Westminster, Hampstead, West Hampstead,",https://www.trustatrader.com/traders/north-west-london-builders-ltd-carpenters-joiners-nw6,trustatrader
"JGS Carpentry & Building Services, Hoddesdon",,Carpenter Joiner,Hertfordshire,https://www.trustagarage.com/,5.0,9,,07882 969290,"vetted; Verified; verified; Insurance
Verified",,Hertfordshire,https://www.trustatrader.com/traders/jgs-carpentry-building-services-carpenters-joiners-hoddeson-and-waltham-cross,trustatrader
"M&L Property Services, Tadworth",,Carpenter Joiner,"Surrey, West Sussex and London areas",https://www.trustagarage.com/,4.98,35,,07852 461 361,vetted; Verified; verified,,"Surrey, West Sussex and London areas",https://www.trustatrader.com/traders/m-l-property-services-carpenters-joiners-cr3-cr5-kt20,trustatrader
"North West London Builders Ltd, London",,Carpenter Joiner,"Acton, Ealing, Hammersmith, Kilburn, Paddington, Brent, Westminster, Hampstead, West Hampstead,",https://www.northwestlondonbuildersltd.co.uk/,4.86,101,,07307 250322,vetted; Verified; verified,,"Acton, Ealing, Hammersmith, Kilburn, Paddington, Brent, Westminster, Hampstead, West Hampstead,",https://www.trustatrader.com/traders/north-west-london-builders-ltd-roofers-roofing-nw6,trustatrader
"Foster & Son Carpentry, Building & Property Maintenance",,Carpenter Joiner,"Ramsgate, Broadstairs, Margate, London and all of Kent",https://www.trustagarage.com/,4.88,32,,07308 504354,"vetted; Verified; verified; Insurance
Verified",,"Ramsgate, Broadstairs, Margate, London and all of Kent",https://www.trustatrader.com/traders/foster-son-carpentry-building-property-maintenance-carpenters-joiners-lewisham,trustatrader
Twickenham Furniture Ltd,,Carpenter Joiner,"London, Reading, Slough, Woking, Guildford, Crawley, incorporating a 30 mile radius",https://www.twickenhamfurniture.co.uk/,4.97,6,,07307 282358,"vetted; Verified; verified; Insurance
Verified",,"London, Reading, Slough, Woking, Guildford, Crawley, incorporating a 30 mile radius",https://www.trustatrader.com/traders/twickenham-furniture-ltd-carpenters-joiners-tw7-tw9-and-ub2,trustatrader
London Library Wall,,Carpenter Joiner,"East, North and Central London",http://www.londonlibrarywall.co.uk/,4.93,116,30,07307 207638,vetted; Verified; verified,,"East, North and Central London",https://www.trustatrader.com/traders/london-library-wall-carpenters-joiners-waltham-forest,trustatrader
ABM Joinery,,Carpenter Joiner,all London North and North West areas,https://www.abmjoinery.uk/,4.73,49,30,07360 279267,vetted; Verified; verified,,all London North and North West areas,https://www.trustatrader.com/traders/abm-joinery-carpenters-joiners-nw10,trustatrader
