company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
The Right Clean,,Cleaner,"London, Hertfordshire and surrounding areas",http://www.therightclean.co.uk/,4.98,317,,07774 438 007,vetted; Verified; verified,,"London, Hertfordshire and surrounding areas",https://www.trustatrader.com/traders/the-right-clean-cleaning-domestic-commercial-enfield,trustatrader
Premium Clean Ltd,,Cleaner,all of London,https://premiumclean.co.uk/,4.91,233,,07307 278589,vetted; Verified; verified,,all of London,https://www.trustatrader.com/traders/premium-clean-ltd-cleaning-domestic-commercial-n22,trustatrader
Ben & Dan Domestic Cleaning Ltd,,Cleaner,"W, NW, SW, and North of London (Incorporating Fulham, Chelsea, Kensington, Knightsbridge, Hampst",http://www.benanddancleaning.com/,4.99,32,,07360 279112,"vetted; Verified; verified; Insurance
Verified",,"W, NW, SW, and North of London (Incorporating Fulham, Chelsea, Kensington, Knightsbridge, Hampst",https://www.trustatrader.com/traders/ben-dan-domestic-cleaning-ltd-cleaning-domestic-commercial-camden,trustatrader
Top Notch Cleaners,,Cleaner,London,http://www.londontopcleaners.co.uk/,5.0,16,,07307 208599,vetted; Verified; verified,,London,https://www.trustatrader.com/traders/top-notch-cleaners-cleaning-domestic-commercial-finsbury-bloomsbury-and-city-of-london,trustatrader
JNL Consultants Ltd,,Cleaner,London,https://www.jnlconsultants.co.uk/,5.0,10,,07307 285053,vetted; Verified; verified,,London,https://www.trustatrader.com/traders/jnl-consultants-ltd-cleaning-domestic-commercial-finsbury-bloomsbury-and-city-of-london,trustatrader
Maid2Clean Beckenham Ltd,,Cleaner,"BR1, BR2, BR3, BR4, SE6, SE12",https://www.maid2clean.co.uk/,4.97,6,33,07307 236173,"vetted; Verified; verified; Insurance
Verified",,"BR1, BR2, BR3, BR4, SE6, SE12",https://www.trustatrader.com/traders/maid2clean-beckenham-ltd-cleaning-domestic-commercial-br2-br4-and-tn16,trustatrader
JL Cleaning Solutions Ltd,,Cleaner,"most areas in Surrey, Kent & Sussex",https://www.trustagarage.com/,4.99,13,,07307 212601,vetted; Verified; verified,,"most areas in Surrey, Kent & Sussex",https://www.trustatrader.com/traders/jl-cleaning-solutions-ltd-cleaning-domestic-commercial-cr2-cr6-cr8,trustatrader
TT Cleaning Services Ltd,,Cleaner,all areas within the M25,https://www.trust-cleaningservices.co.uk/,4.98,7,,07307 250523,vetted; Verified; verified,,all areas within the M25,https://www.trustatrader.com/traders/tt-cleaning-services-ltd-cleaning-domestic-commercial-ascot-egham-and-heathrow,trustatrader
Aqua Cleaners Ltd,,Cleaner,"Hertfordshire, Bedfordshire and London",http://www.aquacleaners.co.uk/,4.97,58,,07360 276494,"vetted; Verified; verified; Insurance
Verified",,"Hertfordshire, Bedfordshire and London",https://www.trustatrader.com/traders/aqua-cleaners-ltd-cleaning-domestic-commercial-welwynhatfield,trustatrader
Pristine Kleen,,Cleaner,Essex,https://www.pristine-kleeen.co.uk/,4.92,13,25,07307 201437,"vetted; Verified; verified; Insurance
Verified",,Essex,https://www.trustatrader.com/traders/pristine-kleen-cleaning-domestic-commercial-billericay-central-and-basildon-central,trustatrader
"The Right Carpet Clean Ltd, London",,Cleaner,"London, Hertfordshire and surrounding areas",http://www.therightclean.co.uk/,4.98,317,,07774 438 007,vetted; Verified; verified,,"London, Hertfordshire and surrounding areas",https://www.trustatrader.com/traders/the-right-clean-carpet-upholstery-cleaning-enfield,trustatrader
"The Right Clean, Borehamwood",,Cleaner,"London, Hertfordshire and surrounding areas",http://www.therightclean.co.uk/,4.98,317,,07774 438 007,vetted; Verified; verified,,"London, Hertfordshire and surrounding areas",https://www.trustatrader.com/traders/the-right-clean-driveway-patio-cleaning-hertsmere,trustatrader
Kat's Cleanups,,Cleaner,High Wycombe,https://www.trustagarage.com/,4.86,6,,07360 494896,"vetted; Verified; verified; Insurance
Verified",,High Wycombe,https://www.trustatrader.com/traders/kats-cleanups-cleaning-domestic-commercial-princes-risborough-and-amersham-south,trustatrader
Your Lovely Space,,Cleaner,all surrounding areas,https://yourlovelyspace.co.uk/,5.0,8,,07307 231092,vetted; Verified; verified,,all surrounding areas,https://www.trustatrader.com/traders/your-lovely-space-cleaning-domestic-commercial-reading-central,trustatrader
