company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
NWL Building & Roofing Ltd,,Damp Proofing,"Chelsea, Kensington, Hampstead, Kilburn",https://nwlrenovationsltd.co.uk/,4.98,53,,07360 495121,vetted; Verified; verified,,"Chelsea, Kensington, Hampstead, Kilburn",https://www.trustatrader.com/traders/nwl-building-roofing-ltd-damp-proofing-nw6,trustatrader
Robinson’s Services,,Damp Proofing,West London & South West London,https://www.robinsonsdampservices.co.uk/,4.96,117,,07448 674 535,vetted; Verified; verified,,West London & South West London,https://www.trustatrader.com/traders/robinsons-services-damp-proofing-waltham-forest,trustatrader
Indigo Property Services Ltd,,Damp Proofing,"South East London, Kent, Bromley Borough, Beckenham, Dartford, Caford, Tooting, Balham, Orpingto",https://indigopropertyservices.co.uk/,4.93,14,,07307 230500,"vetted; Verified; verified; Insurance
Verified",,"South East London, Kent, Bromley Borough, Beckenham, Dartford, Caford, Tooting, Balham, Orpingto",https://www.trustatrader.com/traders/indigo-property-services-ltd-damp-proofing-br3-se20-and-se26,trustatrader
South East Damp Specialist Ltd,,Damp Proofing,"London, Kent, South East England",https://www.southeastdampspecialist.co.uk/,4.98,41,,07307 204143,"vetted; Verified; verified; Insurance
Verified",,"London, Kent, South East England",https://www.trustatrader.com/traders/south-east-damp-specialist-ltd-damp-proofing-da16-and-se9,trustatrader
Hertford Drylining Ltd,,Damp Proofing,"London, Hertfordshire, Essex & Cambridgeshire",https://www.hertforddrylining.com/,4.77,5,,07886 081753,vetted; Verified; verified,,"London, Hertfordshire, Essex & Cambridgeshire",https://www.trustatrader.com/traders/hertford-drylining-ltd-damp-proofing-nw3-and-nw8,trustatrader
Up Top Down Below,,Damp Proofing,"North, North West, West, South West, South East & East London",https://www.trustagarage.com/,4.83,62,,07307 239914,vetted; Verified; verified,,"North, North West, West, South West, South East & East London",https://www.trustatrader.com/traders/up-top-down-below-damp-proofing-greenwich,trustatrader
JH Plastering & Damp Services,,Damp Proofing,South East and surrounding areas,https://plastering-damp.co.uk/,4.96,15,,07307 282426,vetted; Verified; verified,,South East and surrounding areas,https://www.trustatrader.com/traders/jh-plastering-damp-services-damp-proofing-se15-and-se22,trustatrader
Roofcare London - Damp Proofing Division,,Damp Proofing,your next agreed job with this trader for free by registering for the TrustATrader Guarantee,https://roofcarelondon.co.uk/,4.76,158,,07307 212590,vetted; Verified; verified,,your next agreed job with this trader for free by registering for the TrustATrader Guarantee,https://www.trustatrader.com/traders/priority-paving-blockpaving-driveways-se8-se10-and-se13,trustatrader
Trident Damp Ltd,,Damp Proofing,all areas within 50 miles,https://tridentdamp.co.uk/,5.0,12,,07307 230773,"vetted; Verified; verified; Insurance
Verified",,all areas within 50 miles,https://www.trustatrader.com/traders/trident-damp-ltd-damp-proofing-se8-se10-and-se13,trustatrader
Hawk Property Surveys,,Damp Proofing,your next agreed job with this trader for free by registering for the TrustATrader Guarantee,https://www.hawkpropertysurveys.co.uk/,4.99,24,,07360 498057,vetted; Verified; verified,,your next agreed job with this trader for free by registering for the TrustATrader Guarantee,https://www.trustatrader.com/traders/hawk-property-surveys-damp-proofing-richmond-and-teddington,trustatrader
