company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
Greens Gardening & Landscape Property Maintenance,,Fencer,London and surrounding areas,https://www.greensgarden.co.uk/,4.88,240,,07307 209113,vetted; Verified; verified,,London and surrounding areas,https://www.trustatrader.com/traders/greens-gardening-landscape-property-maintenance-garden-maintenance-dulwich-and-crystal-palace,trustatrader
Main Garden Care Ltd,,Fencer,"Barnet, Brent, Camden, Ealing, Enfield, Haringey, Harrow, Islington and all surrounding areas wi",http://www.maingardencare.co.uk/,4.92,67,,07360 277101,vetted; Verified; verified,,"Barnet, Brent, Camden, Ealing, Enfield, Haringey, Harrow, Islington and all surrounding areas wi",https://www.trustatrader.com/traders/main-garden-care-ltd-fencing-barnet,trustatrader
All Tree & Garden Care Ltd,,Fencer,South West London and all surrounding areas,http://www.alltreeandgardencare.co.uk/,4.96,80,,07360 276547,vetted; Verified; verified,,South West London and all surrounding areas,https://www.trustatrader.com/traders/all-tree-garden-care-ltd-fencing-wandsworth,trustatrader
Prospect Paving & Landscaping,,Fencer,London and surrounding areas,http://www.prospectpavingandlandscaping.co.uk/,4.85,9,,07476 983214,vetted; Verified; verified,,London and surrounding areas,https://www.trustatrader.com/traders/prospect-paving-landscaping-fencing-nw10,trustatrader
SW Fencing Ltd,,Fencer,London inside the M25,https://southwest-fencing.com/4,4.89,8,,07307 277102,vetted; Verified; verified,,London inside the M25,https://www.trustatrader.com/traders/sw-fencing-ltd-br3-se20-and-se26,trustatrader
Kane Fencing & Landscapes,,Fencer,Mitcham and surrounding areas,https://www.trustagarage.com/,4.96,16,,07307 264867,"vetted; Verified; verified; Insurance
Verified",,Mitcham and surrounding areas,https://www.trustatrader.com/traders/kane-fencing-landscapes-cr4-and-sm6,trustatrader
C&M Services Fencing and Landscaping,,Fencer,Wembley,https://www.trustagarage.com/,4.91,105,,07360 494008,vetted; Verified; verified,,Wembley,https://www.trustatrader.com/traders/c-m-services-fencing-and-landscaping-aylesbury-and-thame,trustatrader
AA Fencers Complete,,Fencer,"Mitcham, Morden, Wimbledon, Croydon, Sutton, Carshalton, Earlsfield, Clapham, Balham, Wandsworth",https://www.trustagarage.com/,4.99,15,,,"vetted; verified; Insurance
Verified",,"Mitcham, Morden, Wimbledon, Croydon, Sutton, Carshalton, Earlsfield, Clapham, Balham, Wandsworth",https://www.trustatrader.com/traders/aa-fencers-complete-fencing-sw19-and-sw20,trustatrader
Atkins Fencing,,Fencer,Bromley and all surrounding areas,http://www.atkinsfencing.co.uk/,4.84,130,,07307 211806,"vetted; Verified; verified; Insurance
Verified",,Bromley and all surrounding areas,https://www.trustatrader.com/traders/atkins-fencing-bromley,trustatrader
Ben's Fencing and Landscaping,,Fencer,"Croydon, Purley, Coulsdon, Bromley and surrounding areas",https://www.trustagarage.com/,4.98,8,,07723 564387,vetted; Verified; verified,,"Croydon, Purley, Coulsdon, Bromley and surrounding areas",https://www.trustatrader.com/traders/benthebuilder-fencing-cr0-,trustatrader
