company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
MPC Tiling & Maintenance Ltd,,Tiler,London,http://www.mpctiling.co.uk/,4.96,43,,07360 270368,vetted; Verified; verified,,London,https://www.trustatrader.com/traders/mpc-tiling-maintenance-ltd-tilers-enfield,trustatrader
Collective Projects London Ltd,,Tiler,"E14, Docklands, Canary Wharf, Isle of Dogs and surrounding areas",https://www.collectiveprojects.london/,4.94,70,,07307 264139,vetted; Verified; verified,,"E14, Docklands, Canary Wharf, Isle of Dogs and surrounding areas",https://www.trustatrader.com/traders/collective-projects-london-ltd-tilers-e14,trustatrader
Ilo Tiler & Bathrooms,,Tiler,NW9 and a 50-mile radius,https://www.trustagarage.com/,4.99,19,,07508 399 342,"vetted; Verified; verified; Insurance
Verified",,NW9 and a 50-mile radius,https://www.trustatrader.com/traders/ilo-tiler-bathrooms-tilers-nw7-and-nw9,trustatrader
Arb Tiling,,Tiler,London,https://www.trustagarage.com/,4.99,15,,07307 266762,vetted; Verified; verified,,London,https://www.trustatrader.com/traders/arb-tiling-tilers-n3-nw4-and-nw11,trustatrader
Toner & Sons Tiling Company,,Tiler,"East London, Essex and Hertfordshire",https://tonerstilingco.com/,5.0,15,,07307 221485,vetted; Verified; verified,,"East London, Essex and Hertfordshire",https://www.trustatrader.com/traders/toner-sons-tiling-company-tilers-e4-and-ig9,trustatrader
Handy's Property Services,,Tiler,"Kent, South East and West London",http://www.handys-property-services.co.uk/,4.93,333,,07307 246374,"vetted; Verified; verified; Insurance
Verified",,"Kent, South East and West London",https://www.trustatrader.com/traders/handys-plastering-services-tilers-dulwich-and-crystal-palace,trustatrader
Roman Sumbajev,,Tiler,all of London and Kent,https://www.trustagarage.com/,4.94,22,,07360 279941,"vetted; Verified; verified; Insurance
Verified",,all of London and Kent,https://www.trustatrader.com/traders/roman-sumbajev-tilers-se18-and-se28,trustatrader
MrFix Projects & Construction Ltd,,Tiler,"Kilburn, Wilesden, Wembley, Harlesden and Ealing",https://youtu.be/WPLYgKKZqYo,4.88,73,,07414 219430,"vetted; Verified; verified; Insurance
Verified",,"Kilburn, Wilesden, Wembley, Harlesden and Ealing",https://www.trustatrader.com/traders/mrfix-projects-construction-ltd-tilers-nw10,trustatrader
Hudson Builders & Bathrooms,,Tiler,North London,http://www.hudsonrefurbishments.co.uk/,4.9,54,28,07360 495227,vetted; Verified; verified,,North London,https://www.trustatrader.com/traders/hudson-builders-bathrooms-tilers-islington,trustatrader
Tiling and Styling,,Tiler,"Bromley, Kent, London, Sevenoaks, Tunbridge Wells and up to a 50 mile radius",https://www.trustagarage.com/,4.99,96,,07307 211852,vetted; Verified; verified,,"Bromley, Kent, London, Sevenoaks, Tunbridge Wells and up to a 50 mile radius",https://www.trustatrader.com/traders/tiling-and-styling-tilers-br1,trustatrader
"Handy's Property Services, London",,Tiler,"Kent, South East and West London",https://www.handys-property-services.co.uk/,4.93,333,,07307 246374,"vetted; Verified; verified; Insurance
Verified",,"Kent, South East and West London",https://www.trustatrader.com/traders/handys-property-services-handyman-dulwich-and-crystal-palace,trustatrader
"Grey Stone Tiles Design Ltd, Reading",,Tiler,all areas with a 20 miles radius of RG10,https://www.greystonetilesdesign.co.uk/,4.91,123,,07307 203847,vetted; Verified; verified,,all areas with a 20 miles radius of RG10,https://www.trustatrader.com/traders/grey-stone-tiles-design-ltd-bathroom-fitters-marlow-and-henley-on-thames,trustatrader
Cutting Edge Tiling,,Tiler,Sidcup and all surrounding areas,https://www.trustagarage.com/,4.98,7,,07360 544803,"vetted; Verified; verified; Insurance
Verified",,Sidcup and all surrounding areas,https://www.trustatrader.com/traders/cutting-edge-tiling-tilers-sidcup-and-foots-cray,trustatrader
Tamer Hanen Limited,,Tiler,West London and all surrounding areas,https://www.trustagarage.com/,4.71,36,,07360 497057,"vetted; Verified; verified; Insurance
Verified",,West London and all surrounding areas,https://www.trustatrader.com/traders/tamer-hanen-limited-tilers-tw2-tw4-tw13,trustatrader
Herts Pro Tiling,,Tiler,Hertfordshire and all the surrounding areas,https://www.trustagarage.com/,4.98,317,,07360 498601,vetted; Verified; verified,,Hertfordshire and all the surrounding areas,https://www.trustatrader.com/traders/herts-pro-tiling-tilers-hatfield-and-hertford,trustatrader
Tubs and Tiles,,Tiler,"Dartford, Essex and incorporating a 50-mile radius",https://www.trustagarage.com/,4.99,19,,07307 210406,"vetted; Verified; verified; Insurance
Verified",,"Dartford, Essex and incorporating a 50-mile radius",https://www.trustatrader.com/traders/tubs-and-tiles-tilers-dartford,trustatrader
Elite Tiling,,Tiler,"Hertfordshire, Essex & North London",https://www.trustagarage.com/,4.97,116,,07360 496724,vetted; Verified; verified,,"Hertfordshire, Essex & North London",https://www.trustatrader.com/traders/elite-tiling-brentwood-epping-forest,trustatrader
Eaton Tile & Stone,,Tiler,Brentwood and surrounding areas,https://www.trustagarage.com/,5.0,5,,07428 961791,"vetted; Verified; verified; Insurance
Verified",,Brentwood and surrounding areas,https://www.trustatrader.com/traders/eaton-tile-stone-tilers-brentwood-and-ingatestone,trustatrader
The Tile Guys,,Tiler,"Kent, Sussex & Surrey",https://thetileguys.co.uk/,5.0,8,,07429 360048,vetted; Verified; verified,,"Kent, Sussex & Surrey",https://www.trustatrader.com/traders/the-tile-guys-tilers-sevenoaks,trustatrader
NJM Tiling,,Tiler,Kent,https://www.trustagarage.com/,4.94,317,,07360 495332,"vetted; Verified; verified; Insurance
Verified",,Kent,https://www.trustatrader.com/traders/njm-tiling-tilers-dartford-gravesham,trustatrader
AWM Tiling,,Tiler,Surrey & surrounding area,https://www.trustagarage.com/,4.99,12,,07307 232837,vetted; Verified; verified,,Surrey & surrounding area,https://www.trustatrader.com/traders/awm-tiling-tilers-guildford,trustatrader
TL Tiling,,Tiler,"Crawley, Horsham, Pease Pottage, Colgate, Horley, Redhill, East Grinstead, Billingshurst",https://www.trustagarage.com/,4.92,8,,07360 274832,"vetted; Verified; verified; Insurance
Verified",,"Crawley, Horsham, Pease Pottage, Colgate, Horley, Redhill, East Grinstead, Billingshurst",https://www.trustatrader.com/traders/tl-tiling-tilers-crawley-west-and-horley,trustatrader
S&M Taylor,,Tiler,all areas of Kent,http://www.sandmtaylor.co.uk/,4.94,91,,07307 210064,"vetted; Verified; verified; insurance
Verified",,all areas of Kent,https://www.trustatrader.com/traders/sm-taylor-tilers-medway,trustatrader
Original Style Tiling Ltd,,Tiler,"Kent, London, Essex and Surrey",https://www.trustagarage.com/,4.98,16,,07378 883550,"vetted; Verified; verified; Insurance
Verified",,"Kent, London, Essex and Surrey",https://www.trustatrader.com/traders/original-style-tiling-ltd-tilers-west-malling-and-gravesham,trustatrader
AGH CERAMICS,,Tiler,Herts,http://www.aghceramics.co.uk/,4.98,293,,07308 502357,vetted; Verified; verified,,Herts,https://www.trustatrader.com/traders/agh-ceramics-tilers-north-herts-stevenage,trustatrader
