company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Issa Services,,Chimney Specialist,,,4.9,33,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/issa-services,myjobquote
L.G building,,Chimney Specialist,,,5,2,,ID Checked; Public Liability Insurance,,,2026,https://www.myjobquote.co.uk/t/lg-building-1,myjobquote
Silver Prism Construction Ltd,,Chimney Specialist,,,5,4,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/silver-prism-construction-ltd,myjobquote
JK Building Services,,Chimney Specialist,,,5,4,,ID Checked; Public Liability Insurance,,,2000,https://www.myjobquote.co.uk/t/jk-building-services-2,myjobquote
Building construction and innovation ltd,,Chimney Specialist,,,5,1,07418368597,ID Checked,,,2018,https://www.myjobquote.co.uk/t/building-construction-and-innovation-ltd,myjobquote
Brentwood bathrooms ltd,,Chimney Specialist,,,5,2,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/brentwood-bathrooms-ltd,myjobquote
Komfort builders,,Chimney Specialist,,,4,1,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/komfort-builders,myjobquote
NLD.London,,Chimney Specialist,,,5,3,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/nldlondon,myjobquote
Allan & Sons Renovations Limited,,Chimney Specialist,,,5,2,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/allan-sons-renovations-limited,myjobquote
DFLCONSTRUCTIONSERVICES,,Chimney Specialist,,,5,1,,ID Checked,,,1990,https://www.myjobquote.co.uk/t/dflconstructionservices,myjobquote
Tuti Builders,,Chimney Specialist,,,5,6,07418340400,ID Checked,,,2018,https://www.myjobquote.co.uk/t/tuti-builders,myjobquote
Bob Building,,Chimney Specialist,,,5,4,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/bob-building-1,myjobquote
AJD prooperty investment LTD,,Chimney Specialist,,,5,3,,ID Checked,,,Oct 2025,https://www.myjobquote.co.uk/t/ajd-prooperty-investment-ltd,myjobquote
