company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Nicholas & Co Ltd,,Surveyor,,,,,,https://www.bark.com/en/gb/company/nicholas--co-ltd/LRlA8/,bark,1,
estiMedes Ltd,,Surveyor,,,,,,https://www.bark.com/en/gb/company/estimedes-ltd/00ggb/,bark,1,
Stabuild Limited,,Surveyor,,,,,,https://www.bark.com/en/gb/company/stabuild-limited/gXV7X/,bark,1,
Gibsons,,Surveyor,,,,,,https://www.bark.com/en/gb/company/gibsons/0mXKZ/,bark,1,
Call Out Property Solutions,,Surveyor,,,5,,,https://www.bark.com/en/gb/company/call-out-property-solutions/RBqw/,bark,1,
West One Chartered Building Surveyors,,Surveyor,,,,,,https://www.bark.com/en/gb/company/west-one-chartered-building-surveyors/QmBz8/,bark,1,
Alexis Colebrook Surveyors Ltd,,Surveyor,,,,,,https://www.bark.com/en/gb/company/alexis-colebrook-surveyors-ltd/DZz0P/,bark,1,
Price Taylor LLP - Chartered Surveyors,,Surveyor,,,,,,https://www.bark.com/en/gb/company/price-taylor-llp---chartered-surveyors/e6LP0/,bark,1,
LONDON CAPITAL SERVICES,,Surveyor,,,5,,,https://www.bark.com/en/gb/company/london-capital-services/v8Vwz/,bark,1,
Cavendish Surveying,,Surveyor,,,,,,https://www.bark.com/en/gb/company/cavendish-surveying/D6BQb/,bark,1,
Roses Professional Building Services Ltd,,Surveyor,,,,,,https://www.bark.com/en/gb/company/roses-professional-building-services-ltd/Aym4y/,bark,1,
Adamo Estates,,Surveyor,,,,,,https://www.bark.com/en/gb/company/adamo-estates/pw7ba/,bark,1,
