company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
City Sweeps London,,Chimney Sweep,,,5,2,,https://www.bark.com/en/gb/company/city-sweeps-london/DNL3/,bark,1,
SweepSmart,,Chimney Sweep,,,5,2,,https://www.bark.com/en/gb/company/sweepsmart/8kwZ/,bark,1,
The Professional Chimney Sweep,,Chimney Sweep,,,5,2,,https://www.bark.com/en/gb/company/the-professional-chimney-sweep/Aljj8/,bark,1,
RW Roofing and Chimney specialists,,Chimney Sweep,,,,,,https://www.bark.com/en/gb/company/rw-roofing-and-chimney-specialists/qzyqq/,bark,1,
Clean sweep chimney services,,Chimney Sweep,,,5,2,,https://www.bark.com/en/gb/company/clean-sweep-chimney-services/zpmE/,bark,1,
DOLE general builders and chimneys,,Chimney Sweep,,,,,,https://www.bark.com/en/gb/company/dole-general-builders-and-chimneys/1OV3g/,bark,1,
Barringtons Coal Merchants,,Chimney Sweep,,,,,,https://www.bark.com/en/gb/company/barringtons-coal-merchants/e3ROL/,bark,1,
Flue Solutions,,Chimney Sweep,,,4,2,,https://www.bark.com/en/gb/company/flue-solutions-/L9RKz/,bark,1,
Matthew Clarke Chimney Sweep London,,Chimney Sweep,,,5,2,,https://www.bark.com/en/gb/company/matthew-clarke-chimney-sweep-london/Ow3vK/,bark,1,
Stone's Woodburners Ltd,,Chimney Sweep,,,5,2,,https://www.bark.com/en/gb/company/stones-woodburners-ltd/86BZk/,bark,1,
Bloorchimneysweepers,,Chimney Sweep,,,5,2,,https://www.bark.com/en/gb/company/bloorchimneysweepers-/4XLvG/,bark,1,
Bliss Chimney Sweeps,,Chimney Sweep,,,,,,https://www.bark.com/en/gb/company/bliss-chimney-sweeps/6ajnK/,bark,1,
Apluschimneysweeps,,Chimney Sweep,,,,,,https://www.bark.com/en/gb/company/apluschimneysweeps/ljKQD/,bark,1,
Tippett Services,,Chimney Sweep,,,5,2,,https://www.bark.com/en/gb/company/tippett-services/GR2Rn/,bark,1,
Clearways Chimney & Fire Services Ltd,,Chimney Sweep,,https://www.clearwaychimneyservices.co.uk,5,2,,https://www.bark.com/en/gb/company/clearways-chimney--fire-services-ltd/mz6p6/,bark,1,
