company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Greens Gardening & Landscape Property Maintenance,,Fencer,London and surrounding areas,https://www.greensgarden.co.uk/,4.88,240,07307 209113,https://www.trustatrader.com/traders/greens-gardening-landscape-property-maintenance-garden-maintenance-dulwich-and-crystal-palace | https://www.trustatrader.com/traders/greens-gardening-landscape-property-maintenance-fencing-dulwich-and-crystal-palace,trustatrader,1,
Main Garden Care Ltd,,Fencer,"Barnet, Brent, Camden, Ealing, Enfield, Haringey, Harrow, Islington and all surrounding areas wi",http://www.maingardencare.co.uk/,4.92,67,07360 277101,https://www.trustatrader.com/traders/main-garden-care-ltd-fencing-barnet,trustatrader,1,
All Tree & Garden Care Ltd,,Fencer,South West London and all surrounding areas,http://www.alltreeandgardencare.co.uk/,4.96,80,07360 276547,https://www.trustatrader.com/traders/all-tree-garden-care-ltd-fencing-wandsworth | https://www.trustatrader.com/traders/all-tree-garden-care-ltd-landscape-gardeners-wandsworth,trustatrader,1,
Prospect Paving & Landscaping,,Fencer,London and surrounding areas,http://www.prospectpavingandlandscaping.co.uk/,4.85,9,07476 983214,https://www.trustatrader.com/traders/prospect-paving-landscaping-fencing-nw10,trustatrader,1,
SW Fencing Ltd,,Fencer,London inside the M25,https://southwest-fencing.com/4,4.89,8,07307 277102,https://www.trustatrader.com/traders/sw-fencing-ltd-br3-se20-and-se26,trustatrader,1,
Kane Fencing & Landscapes,,Fencer,Mitcham and surrounding areas,https://www.trustagarage.com/,4.96,16,07307 264867,https://www.trustatrader.com/traders/c-m-services-fencing-and-landscaping-aylesbury-and-thame | https://www.trustatrader.com/traders/benthebuilder-fencing-cr0- | https://www.trustatrader.com/traders/neat-tidy-landscapes-limited-fencing-sm1-sm2-sm3 | https://www.trustatrader.com/traders/md-garden-specialists-ltd-fencing-sidcup-and-foots-cray | https://www.trustatrader.com/traders/mid-kent-landscapes-fencing-bromley | https://www.trustatrader.com/traders/ajw-property-maintenance-fencing-ashford | https://www.trustatrader.com/traders/cb-bespoke-decking-fencing-carpentry-bromley | https://www.trustatrader.com/traders/john-king-landscaping-fencing-three-rivers-dacorum | https://www.trustatrader.com/traders/new-day-fencing-havering | https://www.trustatrader.com/traders/acworth-fencing-welwyn-hatfield-hertsmere | https://www.trustatrader.com/traders/l-a-fencing-and-gardening-services-maidenhead-windsor | https://www.trustatrader.com/traders/windsor-fencing-and-landscaping-sl0-sl3-and-sl9 | https://www.trustatrader.com/traders/1st-class-fencing-and-landscapes-sevenoaks | https://www.trustatrader.com/traders/dt-fencing-and-decking-west-malling-and-gravesham | https://www.trustatrader.com/traders/bd-fencing-garden-services-mole-valley-and-horsham-north | https://www.trustatrader.com/traders/ef-contractors-ltd-fencing-billericay-central-and-basildon-central | https://www.trustatrader.com/traders/stevenage-fencing-services-stevenage | https://www.trustatrader.com/traders/mw-fencing-maidstone | https://www.trustatrader.com/traders/brookelands-garden-services-fencing-castel-point-rochford | https://www.trustatrader.com/traders/fencing-in-chelmsford-ltd-chelmsford-north | https://www.trustatrader.com/traders/ab-fencing-landscaping-wealden | https://www.trustatrader.com/traders/ds-fencing-gardens-aylesbury-and-thame | https://www.trustatrader.com/traders/s-h-tree-and-garden-services-fencing-biggleswade-and-sandy | https://www.trustatrader.com/traders/steve-lawrence-sons-fencing-oxford-east | https://www.trustatrader.com/traders/surrey-fencing-specialists-elmbridge | https://www.trustatrader.com/traders/c-m-services-fencing-bromley | https://www.trustatrader.com/traders/lightfoot-fencing-leeds-east | https://www.trustatrader.com/traders/bridgepoint-developments-ltd-fencing-droylsden | https://www.trustatrader.com/traders/king-fencing-manchester---brooklands-baguley-northenden-bosbury-manchester-crossacres-woodhouse-park | https://www.trustatrader.com/traders/hunts-fencing-banbury-and-southam | https://www.trustatrader.com/traders/dbt-landscapes-fencing-newport-outskirts | https://www.trustatrader.com/traders/md-fencing-and-landscapes-gloucester | https://www.trustatrader.com/traders/ahmati-landscaping-garden-service-fencing-gloucester-2 | https://www.trustatrader.com/traders/ahmati-landscaping-garden-service-blockpaving-driveways-gloucester-2 | https://www.trustatrader.com/traders/pg-fencing-gardening-services-northampton-south | https://www.trustatrader.com/traders/lj-fencing-and-landscaping-new-forest-north | https://www.trustatrader.com/traders/andy-p-fencing-bournemouth-1 | https://www.trustatrader.com/traders/l-a-fencing-and-gardening-services-garden-maintenance-maidenhead-windsor | https://www.trustatrader.com/traders/r-m-wheller-garden-services-t-a-r-m-wheller-fencing-crawley-east-and-east-grinstead | https://www.trustatrader.com/traders/wh-fencing-and-home-maintenance-bristol-6 | https://www.trustatrader.com/traders/green-fingers-fencing-mid-bedfordshire-south-bedfordshire | https://www.trustatrader.com/traders/garden-fencing-leicester-ltd-wigston-enderby-and-kibworth | https://www.trustatrader.com/traders/fence-master-nw-ltd-fencing-knowsley | https://www.trustatrader.com/traders/david-kerr-fencing-services-edinburgh-6 | https://www.trustatrader.com/traders/sjf-groundworks-fencing-wrexham-south,trustatrader,1,
Atkins Fencing,,Fencer,Bromley and all surrounding areas,http://www.atkinsfencing.co.uk/,4.84,130,07307 211806,,trustatrader,1,
"UK Fencing, Barnet",,Fencer,"all Herts, Essex, Beds, Bucks and surrounding areas",https://ukfencingcompany.co.uk/,4.93,316,07427 807334,https://www.trustatrader.com/traders/uk-fencing-fencing---commercial-en4-en5-and-n20 | https://www.trustatrader.com/traders/uk-fencing-en4-en5-and-n20 | https://www.trustatrader.com/traders/uk-fencing-epping-and-harlow | https://www.trustatrader.com/traders/uk-fencing-watford-west-and-chesham | https://www.trustatrader.com/traders/uk-fencing-biggleswade-and-sandy | https://www.trustatrader.com/traders/uk-fencing-hitchin-and-letchworth | https://www.trustatrader.com/traders/uk-fencing-st-albans | https://www.trustatrader.com/traders/uk-fencing-stevenage | https://www.trustatrader.com/traders/uk-fencing-bedford-central,trustatrader,1,
"Fence Installers, Biggleswade",,Fencer,"Bedfordshire, Hertfordshire, Cambridgeshire & Milton Keynes",https://www.fenceinstallers.co.uk/,4.99,27,07307 212465,,trustatrader,1,
The Shed,,Fencer,"Harrow, Ealing, Pinner, Northwood, Ruislip, Hillingdon, Uxbridge, Barnet and more",https://www.theshed.london/,5.0,41,07307 240590,https://www.bark.com/en/gb/company/the-shed/2ML0E/,"trustatrader, bark",2,
