company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Mayday Electrical,,Alarm Specialist,"Central London, North London, Hertfordshire and surrounding areas",https://maydayelectrical.co.uk/,4.95,79,07307 260351,https://www.trustatrader.com/traders/mayday-electrical-alarms-security-w8-w11-and-w14 | https://www.trustatrader.com/traders/mayday-electrical-electricians-w8-w11-and-w14 | https://www.bark.com/en/gb/company/madsan-electrical-ltd/RoAEw/,"trustatrader, bark",2,
FP Fire Ltd,,Alarm Specialist,London and surrounding areas,https://fpfire.co.uk/,5.0,11,07360 498686,https://www.trustatrader.com/traders/fp-fire-ltd-alarms-security-south-kensington-and-chelsea,trustatrader,1,
Mango Electrical,,Alarm Specialist,all surrounding areas,http://www.mangoelectrical.com/,4.95,142,07307 210862,,trustatrader,1,
GenieCloud Ltd,,Alarm Specialist,"London, Surrey and surrounding areas",http://geniecloud.co.uk/,4.95,533,07307 211203,https://www.trustatrader.com/traders/geniecloud-ltd-alarms-security-merton,trustatrader,1,
Advance Security Alarms Ltd,,Alarm Specialist,"Farnborough, Orpington, Bromley, Bexleyheath, Eltham, Welling, Dartford, Blackheath, Sidcup, Med",http://www.advancesecurityalarms.co.uk/,4.91,627,07360 275918,https://www.trustatrader.com/traders/advance-security-alarms-ltd-alarms-and-security-bexley,trustatrader,1,
Sky Security Solutions Ltd,,Alarm Specialist,"Enfield, North London and surrounding areas",https://skysecurity.co.uk/,4.97,138,0208 3420 000,https://www.trustatrader.com/traders/sky-security-solutions-ltd-alarms-security-enfield | https://www.bark.com/en/gb/company/esi-security-solutions/Jm6qv/ | https://www.bark.com/en/gb/company/aka-security-solutions/20n9X/ | https://www.bark.com/en/gb/company/pm-security-solutions-ltd/mOQ2a/ | https://www.bark.com/en/gb/company/rsc-security-solutions-ltd/z3j83/,"trustatrader, bark",2,
Spets Security Ltd,,Alarm Specialist,London,https://www.spetstech.co.uk/,4.98,9,07414 120781,https://www.bark.com/en/gb/company/aps-security/DaPZb/,"trustatrader, bark",2,
Infinite Group Solutions Ltd,,Alarm Specialist,"Surrey, London & Kent",http://www.igs.london/,4.98,17,07414 114912,https://www.trustatrader.com/traders/infinite-group-solutions-ltd-alarms-security-cr2-cr6-cr8 | https://www.trustatrader.com/traders/infinite-group-solutions-ltd-automatic-gatedoor-entry-systems-cr2-cr6-cr8,trustatrader,1,
HCFS Systems,,Alarm Specialist,"Surrey, Middlesex, Kent, Hampshire, Sussex, Greater London and Berkshire",https://hcfssystems.com/,4.92,55,07308 503994,https://www.bark.com/en/gb/company/sfas-systems-/08EEn/,"trustatrader, bark",2,
Locktec Security Group,,Alarm Specialist,Ilford and the surrounding areas,http://www.locktecsecurity.co.uk/,4.99,400,07360 271874,,trustatrader,1,
