company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Issa Services,,Builder,,,4.9,33,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/issa-services,myjobquote
L.G building,,Builder,,,5,2,,ID Checked; Public Liability Insurance,,,2026,https://www.myjobquote.co.uk/t/lg-building-1,myjobquote
Dfinal Touch Engineering Ltd,,Builder,,,5,1,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/dfinal-touch-engineering-ltd,myjobquote
Building construction and innovation ltd,,Builder,,,5,1,07418368597,ID Checked,,,2018,https://www.myjobquote.co.uk/t/building-construction-and-innovation-ltd,myjobquote
EK Building Construction,,Builder,,,5,8,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/ek-building-construction,myjobquote
Brentwood bathrooms ltd,,Builder,,,5,2,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/brentwood-bathrooms-ltd,myjobquote
Komfort builders,,Builder,,,4,1,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/komfort-builders,myjobquote
Oresti paving &  construction LTD,,Builder,,,5,5,,ID Checked,,,2002,https://www.myjobquote.co.uk/t/oresti-paving-construction-ltd,myjobquote
NLD.London,,Builder,,,5,3,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/nldlondon,myjobquote
Allan & Sons Renovations Limited,,Builder,,,5,2,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/allan-sons-renovations-limited,myjobquote
DFLCONSTRUCTIONSERVICES,,Builder,,,5,1,,ID Checked,,,1990,https://www.myjobquote.co.uk/t/dflconstructionservices,myjobquote
Tuti Builders,,Builder,,,5,6,07418340400,ID Checked,,,2018,https://www.myjobquote.co.uk/t/tuti-builders,myjobquote
Bob Building,,Builder,,,5,4,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/bob-building-1,myjobquote
EWM Design & Build Ltd,,Builder,,,5,1,,ID Checked,,,Oct 2025,https://www.myjobquote.co.uk/t/ewm-design-build-ltd,myjobquote
Todor Tosev,,Builder,,,5,1,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/todor-tosev,myjobquote
JK Building Services,,Builder,,,5,4,,ID Checked; Public Liability Insurance,,,2000,https://www.myjobquote.co.uk/t/jk-building-services-2,myjobquote
Silver Prism Construction Ltd,,Builder,,,5,4,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/silver-prism-construction-ltd,myjobquote
AJD prooperty investment LTD,,Builder,,,5,3,,ID Checked,,,Jul 2017,https://www.myjobquote.co.uk/t/ajd-prooperty-investment-ltd,myjobquote
Idlcontractors,,Builder,,,5,2,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/idlcontractors,myjobquote
Phoenix property solutions,,Builder,,,5,1,,ID Checked,,,Jan 2025,https://www.myjobquote.co.uk/t/phoenix-property-solutions,myjobquote
ASVIV LTD,,Builder,,,5,1,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/asviv-ltd,myjobquote
JMC Build Ltd,,Builder,,,5,1,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/jmc-build-ltd,myjobquote
Mena contractor ltd,,Builder,,,5,2,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/mena-contractor-ltd,myjobquote
David general construction LTD,,Builder,,,5,1,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/david-general-construction-ltd,myjobquote
