company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Plumb GP,,Gas Cooker Hob Repair,2 Union Road,,4.5,1484,07788597250,https://www.ratedpeople.com/profile/plumb-gp,ratedpeople,1,
D&S Plumbing and Heating Services,,Gas Cooker Hob Repair,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Gas Cooker Hob Repair,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Bc Plumbing Services,,Gas Cooker Hob Repair,Oxted,,5,627,07821194571,https://www.ratedpeople.com/profile/bc-plumbing-services,ratedpeople,1,
A & K Contractor Services,,Gas Cooker Hob Repair,,,9,591,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
K Marsh Plumbing & Heating LTD,,Gas Cooker Hob Repair,Mitcham,,4.5,518,07776027235,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople,1,
J.J MURPHY plumbing & heating,,Gas Cooker Hob Repair,berkhampsted,,5,335,07496568368,https://www.ratedpeople.com/profile/jj-murphy-plumbing-and-heating,ratedpeople,1,
Nick Plumbing,,Gas Cooker Hob Repair,Morden,,5,317,,https://www.ratedpeople.com/profile/nick-plumbing,ratedpeople,1,
S&A Plumbing Services,,Gas Cooker Hob Repair,LONDON,,5,311,07960660506,https://www.ratedpeople.com/profile/s-and-a,ratedpeople,1,
Ziyad Construction,,Gas Cooker Hob Repair,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
MF Plumbing and Heating,,Gas Cooker Hob Repair,Barnet,,5,280,,https://www.ratedpeople.com/profile/mfplumbingandheating,ratedpeople,1,
ElectricFix Science Ltd,,Gas Cooker Hob Repair,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
R&D Construction,,Gas Cooker Hob Repair,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
Modern Bathrooms LT,,Gas Cooker Hob Repair,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Gas Cooker Hob Repair,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
Lewis Willoughby,,Gas Cooker Hob Repair,Dunmow,,5,198,,https://www.ratedpeople.com/profile/lewis-willoughby,ratedpeople,1,
All Time Heating and Plumbing,,Gas Cooker Hob Repair,Uxbridge,,5,193,,https://www.ratedpeople.com/profile/jack-cooper,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Gas Cooker Hob Repair,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
jwrogers plumbing/heating,,Gas Cooker Hob Repair,Reading,,5,182,,https://www.ratedpeople.com/profile/jwrogers-plumbingheating,ratedpeople,1,
Aaron Construction,,Gas Cooker Hob Repair,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Hayes plumbing and Property services,,Gas Cooker Hob Repair,Bridgend,,5,144,,https://www.ratedpeople.com/profile/hayes-plumbing-and-property-services,ratedpeople,1,
Integrity Plumbing Heating and Gas,,Gas Cooker Hob Repair,Swindon,,4.5,128,07944471799,https://www.ratedpeople.com/profile/trc-plumbing-heating-and-gas,ratedpeople,1,
MMP Gas,,Gas Cooker Hob Repair,New Tredegar,,5,106,,https://www.ratedpeople.com/profile/morgan-plant,ratedpeople,1,
Rowland Heating,,Gas Cooker Hob Repair,Wolverhampton,,4.5,96,,https://www.ratedpeople.com/profile/rowland-heating,ratedpeople,1,
Webb Heating services,,Gas Cooker Hob Repair,Pontypool,,4.5,91,,https://www.ratedpeople.com/profile/webb-heating-services,ratedpeople,1,
Underwood home improvements an maintenance,,Gas Cooker Hob Repair,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
HFM Services,,Gas Cooker Hob Repair,Llanelli,,5,72,,https://www.ratedpeople.com/profile/hfmservices,ratedpeople,1,
Wayne Parker,,Gas Cooker Hob Repair,Midsomer Norton,,5,69,,https://www.ratedpeople.com/profile/wayne-parker,ratedpeople,1,
RightFit Redevelopments,,Gas Cooker Hob Repair,Hengoed,,5,68,,https://www.ratedpeople.com/profile/jp-plumbing-solutions,ratedpeople,1,
R and R services,,Gas Cooker Hob Repair,Bristol,,5,58,,https://www.ratedpeople.com/profile/r-and-r-services-bristol,ratedpeople,1,
Cymraeg Construction,,Gas Cooker Hob Repair,Blackwood,,4.5,58,07498190215,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople,1,
R&M Electrical LTD,,Gas Cooker Hob Repair,Cardiff,,5,56,,https://www.ratedpeople.com/profile/relectrical,ratedpeople,1,
Edal Group Ltd,,Gas Cooker Hob Repair,Bristol,,4.5,47,,https://www.ratedpeople.com/profile/edalplumbing,ratedpeople,1,
Plumbing Care Services,,Gas Cooker Hob Repair,Bristol,,5,45,,https://www.ratedpeople.com/profile/plumbing-care-services,ratedpeople,1,
Davies’s Plastering,,Gas Cooker Hob Repair,Newport,,4.5,43,,https://www.ratedpeople.com/profile/daviesplastering,ratedpeople,1,
Right Fix Home developments,,Gas Cooker Hob Repair,Newport,,5,41,07871137930,https://www.ratedpeople.com/profile/d-and-g-carpentry,ratedpeople,1,
Weagan LTD,,Gas Cooker Hob Repair,Pontypool,,5,35,,https://www.ratedpeople.com/profile/weagan,ratedpeople,1,
365 Quality Services Limited,,Gas Cooker Hob Repair,Cheltenham,,5,32,,https://www.ratedpeople.com/profile/365-quality-services-limited,ratedpeople,1,
GSR Construction,,Gas Cooker Hob Repair,Bridgend,,5,32,07521665093,https://www.ratedpeople.com/profile/gareth-ampm,ratedpeople,1,
South Wales Heating LTD,,Gas Cooker Hob Repair,Merthyr,,4.5,32,,https://www.ratedpeople.com/profile/c-buckley-plumbing-and-heating,ratedpeople,1,
M POLLARD PLUMBING AND HEATING,,Gas Cooker Hob Repair,Close,,5,836,,https://www.ratedpeople.com/profile/m-pollard-plumbing-and-heating,ratedpeople,1,
Dyno Plumbing (Durham),,Gas Cooker Hob Repair,Estate,,4,536,,https://www.ratedpeople.com/profile/dyno-plumbing-durham,ratedpeople,1,
TC Property Renovations,,Gas Cooker Hob Repair,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Gas Cooker Hob Repair,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
Gosforth Maintenance,,Gas Cooker Hob Repair,Canonbie,,5,128,,https://www.ratedpeople.com/profile/gosforth-maintenance-northumberland,ratedpeople,1,
M.P.E.,,Gas Cooker Hob Repair,Whitley Bay,,5,94,,https://www.ratedpeople.com/profile/mpe-burnley,ratedpeople,1,
DMH Contracts,,Gas Cooker Hob Repair,,,10,77,07831214581,https://www.ratedpeople.com/profile/think-heating,ratedpeople,1,
Weardale Construction,,Gas Cooker Hob Repair,Tyne&wear,,4.5,74,07968966369,https://www.ratedpeople.com/profile/weardale-construction,ratedpeople,1,
Rafal Siemiaszko,,Gas Cooker Hob Repair,Newcastle Upon Tyne,,5,67,,https://www.ratedpeople.com/profile/rafal-siemiaszko,ratedpeople,1,
LOOK AS PLUMBER,,Gas Cooker Hob Repair,Jarrow,,5,67,,https://www.ratedpeople.com/profile/look-plumber,ratedpeople,1,
Emanuel Spence Maintenance Services Ltd,,Gas Cooker Hob Repair,N Yorks,,5,53,,https://www.ratedpeople.com/profile/emanuel-spence-maintenance-services,ratedpeople,1,
Main Builder,,Gas Cooker Hob Repair,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
JGM heating ltd,,Gas Cooker Hob Repair,County Durham,,5,39,,https://www.ratedpeople.com/profile/jon-mitchinson,ratedpeople,1,
Go Carey,,Gas Cooker Hob Repair,,,10,39,,https://www.ratedpeople.com/profile/go-carey,ratedpeople,1,
Gas And Elec LTD,,Gas Cooker Hob Repair,Sunderland,,5,27,,https://www.ratedpeople.com/profile/gas-and-elec,ratedpeople,1,
The Hashtag Group NE,,Gas Cooker Hob Repair,Newcastle Upon Tyne,,4.5,27,,https://www.ratedpeople.com/profile/gas-care-plumbing-and-heating,ratedpeople,1,
P.Marshall Property Services.,,Gas Cooker Hob Repair,York,,5,22,,https://www.ratedpeople.com/profile/pmarshall-property-services,ratedpeople,1,
