company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Issa Services,,Chimney Specialist,,,4.9,33,,https://www.myjobquote.co.uk/t/issa-services | https://www.myjobquote.co.uk/t/issa-services,myjobquote,1,
L.G building,,Chimney Specialist,,,5,2,,https://www.myjobquote.co.uk/t/lg-building-1 | https://www.myjobquote.co.uk/t/lg-building-1,myjobquote,1,
Silver Prism Construction Ltd,,Chimney Specialist,,,5,4,,https://www.myjobquote.co.uk/t/silver-prism-construction-ltd | https://www.myjobquote.co.uk/t/silver-prism-construction-ltd,myjobquote,1,
JK Building Services,,Chimney Specialist,,,5,4,,https://www.myjobquote.co.uk/t/jk-building-services-2 | https://www.myjobquote.co.uk/t/jk-building-services-2,myjobquote,1,
Building construction and innovation ltd,,Chimney Specialist,,,5,1,07418368597,https://www.myjobquote.co.uk/t/building-construction-and-innovation-ltd | https://www.myjobquote.co.uk/t/building-construction-and-innovation-ltd,myjobquote,1,
Brentwood bathrooms ltd,,Chimney Specialist,,,5,2,,https://www.myjobquote.co.uk/t/brentwood-bathrooms-ltd | https://www.myjobquote.co.uk/t/brentwood-bathrooms-ltd,myjobquote,1,
Komfort builders,,Chimney Specialist,,,4,1,,https://www.myjobquote.co.uk/t/komfort-builders | https://www.myjobquote.co.uk/t/komfort-builders,myjobquote,1,
NLD.London,,Chimney Specialist,,,5,3,,https://www.myjobquote.co.uk/t/nldlondon | https://www.myjobquote.co.uk/t/nldlondon,myjobquote,1,
Allan & Sons Renovations Limited,,Chimney Specialist,,,5,2,,https://www.myjobquote.co.uk/t/allan-sons-renovations-limited | https://www.myjobquote.co.uk/t/allan-sons-renovations-limited,myjobquote,1,
DFLCONSTRUCTIONSERVICES,,Chimney Specialist,,,5,1,,https://www.myjobquote.co.uk/t/dflconstructionservices | https://www.myjobquote.co.uk/t/dflconstructionservices,myjobquote,1,
Tuti Builders,,Chimney Specialist,,,5,6,07418340400,https://www.myjobquote.co.uk/t/tuti-builders | https://www.myjobquote.co.uk/t/tuti-builders,myjobquote,1,
Bob Building,,Chimney Specialist,,,5,4,,https://www.myjobquote.co.uk/t/bob-building-1 | https://www.myjobquote.co.uk/t/bob-building-1,myjobquote,1,
AJD prooperty investment LTD,,Chimney Specialist,,,5,3,,https://www.myjobquote.co.uk/t/ajd-prooperty-investment-ltd | https://www.myjobquote.co.uk/t/ajd-prooperty-investment-ltd,myjobquote,1,
EWM Design & Build Ltd,,Chimney Specialist,,,5,1,,https://www.myjobquote.co.uk/t/ewm-design-build-ltd | https://www.myjobquote.co.uk/t/ewm-design-build-ltd,myjobquote,1,
Todor Tosev,,Chimney Specialist,,,5,1,,https://www.myjobquote.co.uk/t/todor-tosev | https://www.myjobquote.co.uk/t/todor-tosev,myjobquote,1,
Idlcontractors,,Chimney Specialist,,,5,2,,https://www.myjobquote.co.uk/t/idlcontractors | https://www.myjobquote.co.uk/t/idlcontractors,myjobquote,1,
Phoenix property solutions,,Chimney Specialist,,,5,1,,https://www.myjobquote.co.uk/t/phoenix-property-solutions | https://www.myjobquote.co.uk/t/phoenix-property-solutions,myjobquote,1,
Kolin builders Ltd,,Chimney Specialist,,,5,3,,https://www.myjobquote.co.uk/t/kolin-builders-ltd | https://www.myjobquote.co.uk/t/kolin-builders-ltd,myjobquote,1,
Girard Joseph,,Chimney Specialist,,,5,2,,https://www.myjobquote.co.uk/t/girard-joseph | https://www.myjobquote.co.uk/t/girard-joseph,myjobquote,1,
Cameron,,Chimney Specialist,,,5,1,,https://www.myjobquote.co.uk/t/cameron-108 | https://www.myjobquote.co.uk/t/cameron-108,myjobquote,1,
Temple Fortune Construction,,Chimney Specialist,,,4.7,7,,https://www.myjobquote.co.uk/t/temple-fortune-construction | https://www.myjobquote.co.uk/t/temple-fortune-construction,myjobquote,1,
Jack chapman,,Chimney Specialist,,,4,2,,https://www.myjobquote.co.uk/t/jack-chapman-1 | https://www.myjobquote.co.uk/t/jack-chapman-1,myjobquote,1,
Alberto,,Chimney Specialist,,,5,1,,https://www.myjobquote.co.uk/t/alberto-9 | https://www.myjobquote.co.uk/t/alberto-9,myjobquote,1,
Fix It Right,,Chimney Specialist,,,5,1,,https://www.myjobquote.co.uk/t/fix-it-right-3 | https://www.myjobquote.co.uk/t/fix-it-right-3,myjobquote,1,
Vasilica Adamuta LTD,,Chimney Specialist,,,5,1,,https://www.myjobquote.co.uk/t/vasilica-adamuta-ltd-1 | https://www.myjobquote.co.uk/t/vasilica-adamuta-ltd-1,myjobquote,1,
NILS ON CALL,,Chimney Specialist,,,5,14,,https://www.myjobquote.co.uk/t/nils-on-call | https://www.myjobquote.co.uk/t/nils-on-call,myjobquote,1,
Noble builders,,Chimney Specialist,,,5,4,,https://www.myjobquote.co.uk/t/noble-builders | https://www.myjobquote.co.uk/t/noble-builders,myjobquote,1,
Siri Construction Ltd,,Chimney Specialist,,,5,11,,https://www.myjobquote.co.uk/t/siri-construction-ltd | https://www.myjobquote.co.uk/t/siri-construction-ltd,myjobquote,1,
Task plan development ltd,,Chimney Specialist,,,5,2,,https://www.myjobquote.co.uk/t/task-plan-development-ltd | https://www.myjobquote.co.uk/t/task-plan-development-ltd,myjobquote,1,
Azad Randhawa,,Chimney Specialist,,,5,5,,https://www.myjobquote.co.uk/t/azad-randhawa | https://www.myjobquote.co.uk/t/azad-randhawa,myjobquote,1,
GWS Multi Trade Builders,,Chimney Specialist,,,5,4,,https://www.myjobquote.co.uk/t/gws-multi-trade-builders | https://www.myjobquote.co.uk/t/gws-multi-trade-builders,myjobquote,1,
Limelight Build LTD,,Chimney Specialist,,,5,11,,https://www.myjobquote.co.uk/t/limelight-build-ltd | https://www.myjobquote.co.uk/t/limelight-build-ltd,myjobquote,1,
Waldman Construction,,Chimney Specialist,,,4.8,5,,https://www.myjobquote.co.uk/t/waldman-construction | https://www.myjobquote.co.uk/t/waldman-construction,myjobquote,1,
ISAV LTD,,Chimney Specialist,,,5,5,,https://www.myjobquote.co.uk/t/isav-ltd | https://www.myjobquote.co.uk/t/isav-ltd,myjobquote,1,
As you like it building services Ltd,,Chimney Specialist,,,5,3,,https://www.myjobquote.co.uk/t/as-you-like-it-building-services-ltd | https://www.myjobquote.co.uk/t/as-you-like-it-building-services-ltd,myjobquote,1,
Insight Property Maintenance,,Chimney Specialist,,,5,15,,https://www.myjobquote.co.uk/t/insight-property-maintenance | https://www.myjobquote.co.uk/t/insight-property-maintenance,myjobquote,1,
Ward Builders,,Chimney Specialist,,,5,19,,https://www.myjobquote.co.uk/t/ward-builders | https://www.myjobquote.co.uk/t/ward-builders,myjobquote,1,
Supermarioconstraction1984,,Chimney Specialist,,,4.6,9,,https://www.myjobquote.co.uk/t/supermarioconstraction1984 | https://www.myjobquote.co.uk/t/supermarioconstraction1984,myjobquote,1,
Bespoke Construction,,Chimney Specialist,,,3,2,,https://www.myjobquote.co.uk/t/bespoke-construction-6 | https://www.myjobquote.co.uk/t/bespoke-construction-6,myjobquote,1,
Xpert Builders,,Chimney Specialist,,,5,8,,https://www.myjobquote.co.uk/t/xpert-builders | https://www.myjobquote.co.uk/t/xpert-builders,myjobquote,1,
Priority roofing&building design,,Chimney Specialist,,,5,2,,https://www.myjobquote.co.uk/t/priority-roofingbuilding-design | https://www.myjobquote.co.uk/t/priority-roofingbuilding-design,myjobquote,1,
Clarks property services,,Chimney Specialist,,,5,3,,https://www.myjobquote.co.uk/t/clarks-property-services | https://www.myjobquote.co.uk/t/clarks-property-services,myjobquote,1,
