company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
JDM Plumbing and Gas Limited,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/jdm-plumbing-and-gas-limited/OmzNw/,bark,1,
Everything Heating ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/everything-heating-ltd/qyXPD/,bark,1,
RF Fitters Ltd trading as Royal Fitters,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/rf-fitters-ltd-trading-as-royal-fitters/VVlKB/,bark,1,
GTC Gas,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/gtc-gas/48Z6L/,bark,1,
Ash plumbing solution bathroom refurbishmet,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/ash-plumbing-solution-bathroom-refurbishmet/AbPYE/,bark,1,
Bespoke Plumbing and heating,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/bespoke-plumbing-and-heating/aeV60/,bark,1,
365 Gas and Plumbing,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/365-gas-and-plumbing/9jGXl/,bark,1,
Kuco Ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/kuco-ltd/G4YG/,bark,1,
Heatsy,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/heatsy/7gEjN/,bark,1,
Acme Heating Services Ltd,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/acme-heating-services-ltd/R1EOl/,bark,1,
SMA Plumbing And Bathrooms LTD,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/sma-plumbing-and-bathrooms-ltd/8myB6/,bark,1,
Master Gas London,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/master-gas-london/qv48l/,bark,1,
Casa Contracts LTD,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/casa-contracts-ltd/2XgdY/,bark,1,
DEANUDOM SUPPLIES LTD,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/deanudom-supplies-ltd/QajMR/,bark,1,
Zs projects ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/zs-projects-ltd/PAXmy/,bark,1,
Boiler & Heating Care Ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/boiler--heating-care-ltd/gAjqG/,bark,1,
UKB London,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/ukb-london/ql1lp/,bark,1,
Gasking,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/gasking/4jg2p/,bark,1,
Assure Heating & Plumbing Ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/assure-heating--plumbing-ltd/mzPqa/,bark,1,
PCM247 Maintenance Ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/pcm247-maintenance-ltd/a9Ap/,bark,1,
My Smart-Services,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/my-smart-services/0Z0QR/,bark,1,
KRYSTALCLEARPHPD LTD.,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/krystalclearphpd-ltd/y8ER/,bark,1,
Libtek Heating & Renewables,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/libtek-heating--renewables/K2gww/,bark,1,
The Boiler Change Experts,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/the-boiler-change-experts/mOPvo/,bark,1,
Gas Industry,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/gas-industry/BVMQz/,bark,1,
MY PLUMBING ANGEL,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/my-plumbing-angel/V91YX/,bark,1,
HeatSync Plus,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/heatsync-plus/KaLZv/,bark,1,
flo & return heating,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/flo-amp-return-heating/YVKq6/,bark,1,
Vullcan Construction LTD,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/vullcan-construction-ltd/eDVmA/,bark,1,
Apex t ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/apex-t-ltd/BpgRw/,bark,1,
Captain Gas ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/captain-gas-ltd/japeK/,bark,1,
Galaxy Gas Heating,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/galaxy-gas-heating/EV2Ym/,bark,1,
HM plumbing and heating,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/hm-plumbing-and-heating/kXbYO/,bark,1,
Cj Plumbing London Limited,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/cj-plumbing-london-limited/4ayXb/,bark,1,
London Plumbing Pros,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/london-plumbing-pros/BYQGl/,bark,1,
Tank Gas Heating,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/tank-gas-heating/RkvgG/,bark,1,
Regal’s Solutions Ltd,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/regals-solutions-ltd/LPK7z/,bark,1,
ACO service,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/aco-service/RyqOl/,bark,1,
London Heat Engineers Ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/london-heat-engineers-ltd/wOONJ/,bark,1,
DSM Plumbing,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/dsm-plumbing/Y9na6/,bark,1,
Quickfixheating LTD,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/quickfixheating-ltd/4JQZD/,bark,1,
Central Plumbing,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/central-plumbing/XGaBV/,bark,1,
iBoilers Limited,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/iboilers-limited/E4L4R/,bark,1,
ET plumbing&heating ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/et-plumbingheating-ltd/Pjady/,bark,1,
London Plumbing and Heating Services Ltd,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/london-plumbing-and-heating-services-ltd/j49qA/,bark,1,
Snappy Heating LTD,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/snappy-heating-ltd/Lzlwq/,bark,1,
Metropolitan Plumbing Ltd,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/metropolitan-plumbing-ltd/Kpm7v/,bark,1,
ABI Heating & Plumbing,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/abi-heating--plumbing-/mOzD0/,bark,1,
D A Construction London LTD,,Gas Engineer,,,5,,,https://www.bark.com/en/gb/company/d-a-construction-london-ltd/BblK4/,bark,1,
PH Gas Ltd,,Gas Engineer,,,,,,https://www.bark.com/en/gb/company/ph-gas-ltd/VqKzK/,bark,1,
