company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Stored Oil,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
ES Electrical & Building Services,,Stored Oil,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
S&C Cleaning Services,,Stored Oil,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Stored Oil,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Stored Oil,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Stored Oil,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Oliver Deyoung,,Stored Oil,Camberley,,5,106,,https://www.ratedpeople.com/profile/lt-construction-ashford,ratedpeople,1,
G & K PLUMBING AND HEATING LIMITED,,Stored Oil,Aylesbury,,5,95,07734058494,https://www.ratedpeople.com/profile/g-and-k-plumbing-and-heating-limited,ratedpeople,1,
AKONI CONSTRUCTION LTD,,Stored Oil,Oxford,,5,112,,https://www.ratedpeople.com/profile/akoni-construction,ratedpeople,1,
Home improvements specialist Ltd,,Stored Oil,Ilford,,5,102,07780096111,https://www.ratedpeople.com/profile/a-painter-near-you,ratedpeople,1,
All Jobs Essex,,Stored Oil,Stebbing  Dunmow Essex,,4.5,80,,https://www.ratedpeople.com/profile/all-jobs-essex,ratedpeople,1,
J.S Plumbing and Heating,,Stored Oil,Camberley,,5,77,,https://www.ratedpeople.com/profile/js-sins,ratedpeople,1,
Weathertite Constructions,,Stored Oil,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
Alexander Kulpo Projects,,Stored Oil,Esher,,5,73,,https://www.ratedpeople.com/profile/alexander-kulpo-projects,ratedpeople,1,
Young Gas And Oil LTD,,Stored Oil,Nantwich,,4.5,64,,https://www.ratedpeople.com/profile/young-gas-and-oil,ratedpeople,1,
Eco Smart Organics,,Stored Oil,Farnborough,,5,61,,https://www.ratedpeople.com/profile/eco-smart-organics,ratedpeople,1,
goldsmith building services,,Stored Oil,London,,5,61,07508898727,https://www.ratedpeople.com/profile/goldsmith-building-services,ratedpeople,1,
Surefix,,Stored Oil,Surbiton,,5,59,07470550388,https://www.ratedpeople.com/profile/surefixmaintenance,ratedpeople,1,
NELSON DAVIES,,Stored Oil,Sandy,,5,55,,https://www.ratedpeople.com/profile/nelson-davies,ratedpeople,1,
Edgars Constructions Ltd,,Stored Oil,Wembley,,5,53,07852523230,https://www.ratedpeople.com/profile/all-in-one-handy-services,ratedpeople,1,
RSM Building Services,,Stored Oil,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Rowland Heating,,Stored Oil,Wolverhampton,,4.5,96,,https://www.ratedpeople.com/profile/rowland-heating,ratedpeople,1,
Wise E.P.R LTD,,Stored Oil,Stroud,,4.5,63,,https://www.ratedpeople.com/profile/plumbwise,ratedpeople,1,
LEANDRO SILVA PLUMBING LIMITED,,Stored Oil,Wellington. Somerset,,5,43,,https://www.ratedpeople.com/profile/leandro-silva-plumbing-limited,ratedpeople,1,
