company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
North West London Builders Ltd,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/north-west-london-builders-ltd-fascias-soffits-guttering-nw6,trustatrader,1,
LGW Gutter Cleaning and Repairs,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/lgw-gutter-cleaning-and-repairs-fascias-soffits-guttering-da16-and-se9,trustatrader,1,
L W Roofing & Guttering Ltd,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/l-w-roofing-guttering-ltd-fascias-soffits-guttering-br3-se20-and-se26,trustatrader,1,
Roof Craft of Surrey & London,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/roof-craft-of-surrey-london-fascias-soffits-guttering-hammersmith-fulham,trustatrader,1,
South London Guttering Ltd,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/south-london-guttering-ltd-fascias-soffits-guttering-sw2-and-sw12,trustatrader,1,
Early Bird Roofing and Building Limited,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/early-bird-roofing-and-building-limited-fascias-soffits-guttering-n17-and-n22,trustatrader,1,
Surrey & London Roofing Specialists,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/surrey-london-roofing-specialists-fascias-soffits-guttering-sw18,trustatrader,1,
JW Roofing Solutions,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/jw-roofing-solutions-fascias-soffits-guttering-sw2-and-sw12 | https://www.bark.com/en/gb/company/jb-roofing-solutions-ltd/NbRXe/,"trustatrader, bark",2,
AMF Roofing,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/amf-roofing-fascias-soffits-guttering-se3-se7-and-se12 | https://www.bark.com/en/gb/company/ami-roofing/Dw7km/,"trustatrader, bark",2,
Runnymede Roofing,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/runnymede-roofing-london-fascias-soffits-guttering-soho-mayfair-and-bayswater,trustatrader,1,
"North West London Builders Ltd, London",,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/north-west-london-builders-ltd-roofers-roofing-nw6,trustatrader,1,
"JW Scudder Roofing Ltd, Bexleyheath",,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/jw-scudder-roofing-ltd-roofers-roofing-sidcup-and-foots-cray,trustatrader,1,
"Roofing & Gutters Direct, Worthing",,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/roofing-gutters-direct-roofers-roofing-horsham,trustatrader,1,
"SM Roofline, Harlow",,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/sm-roofline-gutteringroof-cleaning-specialists-east-hertfordshire,trustatrader,1,
Trinity Roofing,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/trinity-roofing-fascias-soffits-guttering-soho-mayfair-and-bayswater,trustatrader,1,
PC Roofing &  Building,,Guttering Specialist,,,5,,,https://www.bark.com/en/gb/company/pc-roofing---building/vJwJR/ | https://www.trustatrader.com/traders/wd-roofing-building-fascias-soffits-guttering-se6-and-se23 | https://www.bark.com/en/gb/company/gp-roofing-and-building/w7NRd/,"bark, trustatrader",2,
Hi-Spec Property Solutions Ltd,,Guttering Specialist,,,,,,https://www.trustatrader.com/traders/hi-spec-property-solutions-ltd-fascias-soffits-guttering-cr4-and-sm6-,trustatrader,1,
