company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
RaphyLux,,Venue Hire,,,5,,,https://www.bark.com/en/gb/company/raphylux/g7GlG/,bark,1,
AnnEvent,,Venue Hire,,https://www.annevent.co.uk/,5,2,,https://www.bark.com/en/gb/company/annevent/kwBJO/,bark,1,
Atelier Weddings And Events,,Venue Hire,,http://www.atelierweddings.co.uk,5,2,,https://www.bark.com/en/gb/company/atelier-weddings-and-events/AJKq7/,bark,1,
LGL Events,,Venue Hire,,,5,2,,https://www.bark.com/en/gb/company/lgl-events-/Almjw/,bark,1,
VIP GCP,,Venue Hire,,,,,,https://www.bark.com/en/gb/company/vip-gcp/NE9vO/,bark,1,
Lite EventsUK,,Venue Hire,,,,,,https://www.bark.com/en/gb/company/lite-eventsuk/0A7Z/,bark,1,
Wringer & Mangle,,Venue Hire,,,,,,https://www.bark.com/en/gb/company/wringer--mangle/LN80o/,bark,1,
Caribiscus,,Venue Hire,,https://www.caribiscus.com,5,2,,https://www.bark.com/en/gb/company/caribiscus/RNnMe/,bark,1,
PlayFootball,,Venue Hire,,,5,2,,https://www.bark.com/en/gb/company/playfootball/Zlk4X/,bark,1,
The Event Rooms,,Venue Hire,,http://www.theeventrooms.com,4.5,2,,https://www.bark.com/en/gb/company/the-event-rooms/7Mm6p/,bark,1,
JCJ London,,Venue Hire,,,,,,https://www.bark.com/en/gb/company/jcj-london/laRX1/,bark,1,
Flow Dance London,,Venue Hire,,,5,2,,https://www.bark.com/en/gb/company/flow-dance-london/0MLQ/,bark,1,
Greats Centre,,Venue Hire,,,5,2,,https://www.bark.com/en/gb/company/greats-centre/QwNdv/,bark,1,
Zerodegrees,,Venue Hire,,,4.5,2,,https://www.bark.com/en/gb/company/zerodegrees/Zl44P/,bark,1,
Absolute Pleasure Yacht,,Venue Hire,,,5,2,,https://www.bark.com/en/gb/company/absolute-pleasure-yacht/eqdzA/,bark,1,
Maylands Golf Club,,Venue Hire,,,4.5,2,,https://www.bark.com/en/gb/company/maylands-golf-club/vzogv/,bark,1,
Ilford Catholic Club,,Venue Hire,,,,,,https://www.bark.com/en/gb/company/ilford-catholic-club/9RkNv/,bark,1,
The Last Drop,,Venue Hire,,,4.5,2,,https://www.bark.com/en/gb/company/the-last-drop/0AY0b/,bark,1,
One Spot Entertainment,,Venue Hire,,,5,2,,https://www.bark.com/en/gb/company/one-spot-entertainment/PmJPb/,bark,1,
Venue92,,Venue Hire,,,5,2,,https://www.bark.com/en/gb/company/venue92/nln1/,bark,1,
Melania Pruiti,,Venue Hire,,,,,,https://www.bark.com/en/gb/company/melania-pruiti/EMPEl/,bark,1,
Swanky Vows,,Venue Hire,,,,,,https://www.bark.com/en/gb/company/swanky-vows/wVXPE/,bark,1,
rm5 lounge bar,,Venue Hire,,,,,,https://www.bark.com/en/gb/company/rm5-lounge-bar/PBD3e/,bark,1,
Imperial Arms,,Venue Hire,,,,,,https://www.bark.com/en/gb/company/imperial-arms/lezD/,bark,1,
Davy's,,Venue Hire,,,4.5,2,,https://www.bark.com/en/gb/company/davys/GGjD/,bark,1,
