company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Bright Day Services,,Fascias Soffits Cladding,,,5,33,07441473219,https://www.myjobquote.co.uk/t/bright-day-services | https://www.myjobquote.co.uk/t/bright-day-services,myjobquote,1,
Fox CONTRACTS,,Fascias Soffits Cladding,,,5,6,07418317065,https://www.myjobquote.co.uk/t/fox-contracts | https://www.myjobquote.co.uk/t/fox-contracts,myjobquote,1,
Aspects Roofing & Building,,Fascias Soffits Cladding,,,5,4,,https://www.myjobquote.co.uk/t/aspects-roofing-building | https://www.myjobquote.co.uk/t/aspects-roofing-building,myjobquote,1,
Shield roofing & build,,Fascias Soffits Cladding,,,4,1,,https://www.myjobquote.co.uk/t/shield-roofing-build | https://www.myjobquote.co.uk/t/shield-roofing-build,myjobquote,1,
Nuaj construction,,Fascias Soffits Cladding,,,4,38,07418341696,https://www.myjobquote.co.uk/t/nuaj-construction | https://www.myjobquote.co.uk/t/nuaj-construction,myjobquote,1,
Truetop Roofing Ltd,,Fascias Soffits Cladding,,,5,8,,https://www.myjobquote.co.uk/t/truetop-roofing-ltd | https://www.myjobquote.co.uk/t/truetop-roofing-ltd,myjobquote,1,
BROMLEY ROOFER LTD,,Fascias Soffits Cladding,,,5,2,07418360547,https://www.myjobquote.co.uk/t/bromley-roofer-ltd | https://www.myjobquote.co.uk/t/bromley-roofer-ltd,myjobquote,1,
Thomas ball property services,,Fascias Soffits Cladding,,,5,19,07441440879,https://www.myjobquote.co.uk/t/thomas-ball-property-services-1 | https://www.myjobquote.co.uk/t/thomas-ball-property-services-1,myjobquote,1,
London Town Roofing,,Fascias Soffits Cladding,,,5,8,,https://www.myjobquote.co.uk/t/london-town-roofing | https://www.myjobquote.co.uk/t/london-town-roofing,myjobquote,1,
Executive roofing and building services,,Fascias Soffits Cladding,,,5,7,,https://www.myjobquote.co.uk/t/executive-roofing-and-building-services | https://www.myjobquote.co.uk/t/executive-roofing-and-building-services,myjobquote,1,
to repair and installation,,Fascias Soffits Cladding,,,5,6,07418367597,https://www.myjobquote.co.uk/t/to-repair-and-installation | https://www.myjobquote.co.uk/t/to-repair-and-installation,myjobquote,1,
Hoodrich Roofing,,Fascias Soffits Cladding,,,4,5,,https://www.myjobquote.co.uk/t/hoodrich-roofing | https://www.myjobquote.co.uk/t/hoodrich-roofing,myjobquote,1,
Hybrid Roofing,,Fascias Soffits Cladding,,,5,4,,https://www.myjobquote.co.uk/t/hybrid-roofing | https://www.myjobquote.co.uk/t/hybrid-roofing,myjobquote,1,
SD Roofing & Building Ltd,,Fascias Soffits Cladding,,,5,4,,https://www.myjobquote.co.uk/t/sd-roofing-building-ltd-1 | https://www.myjobquote.co.uk/t/sd-roofing-building-ltd-1,myjobquote,1,
Roof MOT Limited,,Fascias Soffits Cladding,,,4,4,,https://www.myjobquote.co.uk/t/roof-mot-limited | https://www.myjobquote.co.uk/t/roof-mot-limited,myjobquote,1,
Goldstar roofing uk Ltd,,Fascias Soffits Cladding,,,5,3,,https://www.myjobquote.co.uk/t/goldstar-roofing-uk-ltd | https://www.myjobquote.co.uk/t/goldstar-roofing-uk-ltd,myjobquote,1,
Low cost roofing ltd,,Fascias Soffits Cladding,,,5,2,,https://www.myjobquote.co.uk/t/low-cost-roofing-ltd | https://www.myjobquote.co.uk/t/low-cost-roofing-ltd,myjobquote,1,
heritage roof and build,,Fascias Soffits Cladding,,,5,1,,https://www.myjobquote.co.uk/t/heritage-roof-and-build | https://www.myjobquote.co.uk/t/heritage-roof-and-build,myjobquote,1,
CSFROOFING LTD,,Fascias Soffits Cladding,,,5,6,,https://www.myjobquote.co.uk/t/csfroofing-ltd | https://www.myjobquote.co.uk/t/csfroofing-ltd,myjobquote,1,
Shooter’s Hill roofing & building,,Fascias Soffits Cladding,,,5,4,,https://www.myjobquote.co.uk/t/shooters-hill-roofing-building | https://www.myjobquote.co.uk/t/shooters-hill-roofing-building,myjobquote,1,
