company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Sahara Fingers,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/sahara-fingers-/bOEmZ/,bark,1,
Wonderland Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/wonderland-events/60Vv1/,bark,1,
Samara Events UK,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/samara-events-uk/MEk4Y/,bark,1,
AnnEvent,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/annevent/kwBJO/,bark,1,
RaphyLux,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/raphylux/g7GlG/,bark,1,
Lush Luxury Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/lush-luxury-events/QRkY0/,bark,1,
Darling Occasions,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/darling-occasions/JA9e/,bark,1,
Donna Winning Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/donna-winning-events/QQqe4/,bark,1,
Designer Wedding Planner,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/designer-wedding-planner/vaY3/,bark,1,
Sugar & Rind,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/sugar--rind/gKQbn/,bark,1,
Love Lydia Weddings & Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/love-lydia-weddings--events/z2g3/,bark,1,
Roberta Sabbatini - Events with an Italian Touch,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/roberta-sabbatini---events-with-an-italian-touch/dPRj/,bark,1,
Satkeer Catering,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/satkeer-catering-/qLnD/,bark,1,
Glow & Hossana ltd,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/glow--hossana-ltd/Y9YgR/,bark,1,
Gagan Kaur Bajwa,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/gagan-kaur-bajwa/z8oqp/,bark,1,
Precipuus Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/precipuus-events/Bpy0/,bark,1,
Legs Body Finish,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/legs-body-finish/41Ypk/,bark,1,
Amber Events Ltd,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/amber-events-ltd/qJ0Dq/,bark,1,
Blue Chilli Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/blue-chilli-events-/RqkXN/,bark,1,
Celebrity Creations and Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/celebrity-creations-and-events/XVn6X/,bark,1,
Beautiful Touches (Luxury Stylists),,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/beautiful-touches-luxury-stylists/vbAYJ/,bark,1,
Emperor Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/emperor-events/Z0nqQ/,bark,1,
Events By Keisha,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/events-by-keisha/mO6ja/,bark,1,
Frater Weddings and Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/frater-weddings-and-events/zY63O/,bark,1,
One Spot Entertainment,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/one-spot-entertainment/PmJPb/,bark,1,
Planner at Hand,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/planner-at-hand/mOGV0/,bark,1,
EluxeRooms Ltd,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/eluxerooms-ltd/MRNvg/,bark,1,
Charm Events,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/charm-events/OvVJ4/,bark,1,
Florals & Events of Splendour,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/florals--events-of-splendour/qp9gz/,bark,1,
BeAmazed Events Ltd,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/beamazed-events-ltd/g83ml/,bark,1,
The Decor HQ,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/the-decor-hq/4w8dL/,bark,1,
EVENTS BY S FERNANDES,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/events-by-s-fernandes/gXMk6/,bark,1,
Mimi and Lu,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/mimi-and-lu/zY1VO/,bark,1,
Barry’s Bonus Buzzer Bingo,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/barrys-bonus-buzzer-bingo/m3Op3/,bark,1,
Mck Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/mck-events/9gbXK/,bark,1,
Deluxe Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/deluxe-events/N06Dj/,bark,1,
Decorate My Event,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/decorate-my-event/8OkOk/,bark,1,
At Home Dining,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/at-home-dining/aGXJo/,bark,1,
SD Events London,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/sd-events-london/81dVQ/,bark,1,
Gowsia Kavanagh,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/gowsia-kavanagh/BvGYR/,bark,1,
HiFi Chai,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/hifi-chai/BvRYd/,bark,1,
premium events furniture hire ltd,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/premium-events-furniture-hire-ltd/ONm47/,bark,1,
Poppin_balloonsldn,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/poppin-balloonsldn/gZkR9/,bark,1,
Pulse Event and Marketing (PEM),,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/pulse-event-and-marketing-pem/ZRv9Q/,bark,1,
Little to Large Events Ltd.,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/little-to-large-events-ltd/N0QwE/,bark,1,
Francescas Catering & Cakes,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/francescas-catering--cakes/qwzX1/,bark,1,
Platts-Martin Events,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/platts-martin-events/nPLgg/,bark,1,
Bespoke Events By U.E,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/bespoke-events-by-ue/K2nJE/,bark,1,
London Weddings,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/london-weddings/LBA43/,bark,1,
Lou-Lilâ Masson-Lacroix,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/lou-lil-masson-lacroix/EVyZn/,bark,1,
SK Hire Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/sk-hire-events/jMK4/,bark,1,
Bloomin' Events,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/bloomin-events/3R12/,bark,1,
Events by Finesse,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/events-by-finesse/Yn9Z6/,bark,1,
Sugar Bliss Candy,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/sugar-bliss-candy/DzvNg/,bark,1,
Atelier Weddings And Events,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/atelier-weddings-and-events/AJKq7/,bark,1,
LONDONSDJ.UK - Prices from £650,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/londonsdjuk---prices-from-650/7jGYk/,bark,1,
Bisous Events London,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/bisous-events-london/96PbN/,bark,1,
The Funny Side Productions,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/the-funny-side-productions/RApdN/,bark,1,
Okae Events,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/okae-events/wn2qG/,bark,1,
Bobbie's Bespoke Events,,Bouncy Castle Hire,,,5,,,https://www.bark.com/en/gb/company/bobbies-bespoke-events/LqvX8/,bark,1,
The Eventists,,Bouncy Castle Hire,,,,,,https://www.bark.com/en/gb/company/the-eventists/DKq01/,bark,1,
