company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Issa Services,,Porch Specialist,,,4.9,33,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/issa-services,myjobquote
L.G building,,Porch Specialist,,,5,2,,ID Checked; Public Liability Insurance,,,2026,https://www.myjobquote.co.uk/t/lg-building-1,myjobquote
JK Building Services,,Porch Specialist,,,5,4,,ID Checked; Public Liability Insurance,,,2000,https://www.myjobquote.co.uk/t/jk-building-services-2,myjobquote
Silver Prism Construction Ltd,,Porch Specialist,,,5,4,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/silver-prism-construction-ltd,myjobquote
EK Building Construction,,Porch Specialist,,,5,8,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/ek-building-construction,myjobquote
Brentwood bathrooms ltd,,Porch Specialist,,,5,2,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/brentwood-bathrooms-ltd,myjobquote
Komfort builders,,Porch Specialist,,,4,1,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/komfort-builders,myjobquote
Oresti paving &  construction LTD,,Porch Specialist,,,5,5,,ID Checked,,,2002,https://www.myjobquote.co.uk/t/oresti-paving-construction-ltd,myjobquote
NLD.London,,Porch Specialist,,,5,3,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/nldlondon,myjobquote
Allan & Sons Renovations Limited,,Porch Specialist,,,5,2,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/allan-sons-renovations-limited,myjobquote
DFLCONSTRUCTIONSERVICES,,Porch Specialist,,,5,1,,ID Checked,,,1990,https://www.myjobquote.co.uk/t/dflconstructionservices,myjobquote
Tuti Builders,,Porch Specialist,,,5,6,07418340400,ID Checked,,,2018,https://www.myjobquote.co.uk/t/tuti-builders,myjobquote
Bob Building,,Porch Specialist,,,5,4,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/bob-building-1,myjobquote
AJD prooperty investment LTD,,Porch Specialist,,,5,3,,ID Checked,,,Oct 2025,https://www.myjobquote.co.uk/t/ajd-prooperty-investment-ltd,myjobquote
EWM Design & Build Ltd,,Porch Specialist,,,5,1,,ID Checked,,,Aug 2024,https://www.myjobquote.co.uk/t/ewm-design-build-ltd,myjobquote
Todor Tosev,,Porch Specialist,,,5,1,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/todor-tosev,myjobquote
Idlcontractors,,Porch Specialist,,,5,2,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/idlcontractors,myjobquote
Supermarioconstraction1984,,Porch Specialist,,,5,9,,ID Checked; Public Liability Insurance,,,2007,https://www.myjobquote.co.uk/t/supermarioconstraction1984,myjobquote
Ashton & Cole Building & Electrical Services,,Porch Specialist,,,5,7,,ID Checked; Public Liability Insurance,,,2024,https://www.myjobquote.co.uk/t/ashton-cole-building-electrical-services,myjobquote
Kolin builders Ltd,,Porch Specialist,,,5,3,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/kolin-builders-ltd,myjobquote
H G Witcher Carpentry,,Porch Specialist,,,5,1,,ID Checked,,,,https://www.myjobquote.co.uk/t/h-g-witcher-carpentry,myjobquote
Handyman services,,Porch Specialist,,,5,7,,ID Checked; Public Liability Insurance,,,1983,https://www.myjobquote.co.uk/t/handyman-services-134,myjobquote
Mena contractor ltd,,Porch Specialist,,,5,2,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/mena-contractor-ltd,myjobquote
David general construction LTD,,Porch Specialist,,,5,1,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/david-general-construction-ltd,myjobquote
AdrianSobolak,,Porch Specialist,,,5,1,,ID Checked,,,Sep 2020,https://www.myjobquote.co.uk/t/adriansobolak,myjobquote
Temple Fortune Construction,,Porch Specialist,,,5,7,,ID Checked,,,Mar 2025,https://www.myjobquote.co.uk/t/temple-fortune-construction,myjobquote
Fix It Right,,Porch Specialist,,,4,1,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/fix-it-right-3,myjobquote
Alberto,,Porch Specialist,,,5,1,,ID Checked,,,May 2025,https://www.myjobquote.co.uk/t/alberto-9,myjobquote
Graeme&#039;s Kitchen & General Building services,,Porch Specialist,,,5,1,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/graemes-kitchen-general-building-services,myjobquote
Vasilica Adamuta LTD,,Porch Specialist,,,5,1,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/vasilica-adamuta-ltd-1,myjobquote
NILS ON CALL,,Porch Specialist,,,5,14,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/nils-on-call,myjobquote
