company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Style and Stage Ltd,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/style-and-stage-ltd/zOad3/,bark,1,
D3X Studio,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/d3x-studio/L7MVz/,bark,1,
Balance Design Ltd,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/balance-design-ltd/87bZQ/,bark,1,
Borgo Otto Interiors,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/borgo-otto-interiors/nJ193/,bark,1,
Speaking of Interiors Ltd,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/speaking-of-interiors-ltd/8L8RO/,bark,1,
Yulia Cherviachenko,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/yulia-cherviachenko/KpoV9/,bark,1,
LINAR,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/linar/Qaw8/,bark,1,
Make My House Home,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/make-my-house-home/olyz9/,bark,1,
Dozeli Design,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/dozeli-design/AOqYe/,bark,1,
Kollah Interiors,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/kollah-interiors/omNwA/,bark,1,
KRIKLA,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/krikla/yag2V/,bark,1,
Evoke Interior Design,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/evoke-interior-design/zenBn/,bark,1,
Phamphy Projects Ltd,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/phamphy-projects-ltd/8LE3R/,bark,1,
Yellow Chair,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/yellow-chair/EqzQm/,bark,1,
Craftogram,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/craftogram/wyzR4/,bark,1,
Copper Dust,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/copper-dust/nA0dm/,bark,1,
MRAR Studio,,Interior Designer,,,5,,,https://www.bark.com/en/gb/company/mrar-studio/X9L4m/,bark,1,
Studio Hei Architecture,,Interior Designer,,,5,,,https://www.bark.com/en/gb/company/studio-hei-architecture/mEa9E/,bark,1,
House of Bricks Design,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/house-of-bricks-design/vD1pk/,bark,1,
Mimos Interiors,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/mimos-interiors-/66RQe/,bark,1,
GNS Design and Build,,Interior Designer,,,5,,,https://www.bark.com/en/gb/company/gns-design-and-build/jya8N/,bark,1,
Studio Modha,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/studio-modha/Gyo4O/,bark,1,
Danielle Duggleby Interior Design,,Interior Designer,,,5,,,https://www.bark.com/en/gb/company/danielle-duggleby-interior-design/DbBkm/,bark,1,
WealthSpec LTD,,Interior Designer,,,5,,,https://www.bark.com/en/gb/company/wealthspec-ltd/Mgoo9/,bark,1,
Embee Interiors,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/embee-interiors/LDa69/,bark,1,
Durable Custom Interiors,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/durable-custom-interiors/G30NL/,bark,1,
MASS Designers,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/mass-designers/BzX84/,bark,1,
House by Mia,,Interior Designer,,,5,,,https://www.bark.com/en/gb/company/house-by-mia/opOnX/,bark,1,
ASH INTERIORS CONSULTING,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/ash-interiors-consulting/0obVb/,bark,1,
Babylon design studio,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/babylon-design-studio/NMea3/,bark,1,
PEMBERLEY DESIGN LTD,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/pemberley-design-ltd/eLAa0/,bark,1,
Property and Interior Design,,Interior Designer,,,5,,,https://www.bark.com/en/gb/company/property-and-interior-design/zn4Pd/,bark,1,
Studio Burntwood,,Interior Designer,,,,,,https://www.bark.com/en/gb/company/studio-burntwood/0NB8b/,bark,1,
