company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
TeamFix Handyman service,,Wooden Decking,,,4,1,,https://www.myjobquote.co.uk/t/teamfix-handyman-service | https://www.myjobquote.co.uk/t/teamfix-handyman-service,myjobquote,1,
CJB Property Maintenance,,Wooden Decking,,,4,10,,https://www.myjobquote.co.uk/t/cjb-property-maintenance | https://www.myjobquote.co.uk/t/cjb-property-maintenance,myjobquote,1,
Jozsef Gomboci,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/jozsef-gomboci-1 | https://www.myjobquote.co.uk/t/jozsef-gomboci-1,myjobquote,1,
MG Gardening & Landscaping,,Wooden Decking,,,5,40,07451286745,https://www.myjobquote.co.uk/t/mg-gardening-landscaping | https://www.myjobquote.co.uk/t/mg-gardening-landscaping,myjobquote,1,
ManjLandscapes Ltd,,Wooden Decking,,,5,22,,https://www.myjobquote.co.uk/t/manjlandscapes-ltd | https://www.myjobquote.co.uk/t/manjlandscapes-ltd,myjobquote,1,
OGD Gardening,,Wooden Decking,,,4,10,,https://www.myjobquote.co.uk/t/ogd-gardening | https://www.myjobquote.co.uk/t/ogd-gardening,myjobquote,1,
Ed & Bela Garden Services,,Wooden Decking,,,5,10,,https://www.myjobquote.co.uk/t/ed-bela-garden-services | https://www.myjobquote.co.uk/t/ed-bela-garden-services,myjobquote,1,
Benjamin Landscapes,,Wooden Decking,,,5,9,,https://www.myjobquote.co.uk/t/benjamin-landscapes | https://www.myjobquote.co.uk/t/benjamin-landscapes,myjobquote,1,
W A Services,,Wooden Decking,,,5,6,,https://www.myjobquote.co.uk/t/w-a-services | https://www.myjobquote.co.uk/t/w-a-services,myjobquote,1,
Buffalo Gardening,,Wooden Decking,,,5,5,,https://www.myjobquote.co.uk/t/buffalo-gardening | https://www.myjobquote.co.uk/t/buffalo-gardening,myjobquote,1,
DD Building Services,,Wooden Decking,,,5,2,,https://www.myjobquote.co.uk/t/dd-building-services-2 | https://www.myjobquote.co.uk/t/dd-building-services-2,myjobquote,1,
Brownes Property Improvements,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/brownes-property-improvements | https://www.myjobquote.co.uk/t/brownes-property-improvements,myjobquote,1,
Noka Landscaping & Driveways Services,,Wooden Decking,,,5,1,07451260815,https://www.myjobquote.co.uk/t/noka-landscaping-driveways-services | https://www.myjobquote.co.uk/t/noka-landscaping-driveways-services,myjobquote,1,
2020 fencing and landscapes,,Wooden Decking,,,5,8,,https://www.myjobquote.co.uk/t/2020-fencing-and-landscapes | https://www.myjobquote.co.uk/t/2020-fencing-and-landscapes,myjobquote,1,
WP Landscapes,,Wooden Decking,,,5,3,,https://www.myjobquote.co.uk/t/wp-landscapes-2 | https://www.myjobquote.co.uk/t/wp-landscapes-2,myjobquote,1,
Thegardenwow Limited,,Wooden Decking,,,5,3,,https://www.myjobquote.co.uk/t/thegardenwow-limited | https://www.myjobquote.co.uk/t/thegardenwow-limited,myjobquote,1,
Adrian Gardens,,Wooden Decking,,,4,8,,https://www.myjobquote.co.uk/t/adrian-gardens | https://www.myjobquote.co.uk/t/adrian-gardens,myjobquote,1,
Jrlandsons ltd,,Wooden Decking,,,5,3,,https://www.myjobquote.co.uk/t/jrlandsons-ltd | https://www.myjobquote.co.uk/t/jrlandsons-ltd,myjobquote,1,
Ovidiu Borzos,,Wooden Decking,,,5,64,07418347483,https://www.myjobquote.co.uk/t/ovidiu-borzos | https://www.myjobquote.co.uk/t/ovidiu-borzos,myjobquote,1,
UTOS Group Limited,,Wooden Decking,,,5,22,,https://www.myjobquote.co.uk/t/utos-group-limited | https://www.myjobquote.co.uk/t/utos-group-limited,myjobquote,1,
Town and District Landscapes,,Wooden Decking,,,4.9,19,,https://www.myjobquote.co.uk/t/town-and-district-landscapes | https://www.myjobquote.co.uk/t/town-and-district-landscapes,myjobquote,1,
Regency Quality Building Services /Handyperson Services,,Wooden Decking,,,5,8,,https://www.myjobquote.co.uk/t/regency-quality-building-services-handyperson-services | https://www.myjobquote.co.uk/t/regency-quality-building-services-handyperson-services,myjobquote,1,
CS Trees,,Wooden Decking,,,5,4,07418317461,https://www.myjobquote.co.uk/t/cs-trees | https://www.myjobquote.co.uk/t/cs-trees,myjobquote,1,
Greenscapes Gardens Ltd,,Wooden Decking,,,5,4,,https://www.myjobquote.co.uk/t/greenscapes-gardens-ltd | https://www.myjobquote.co.uk/t/greenscapes-gardens-ltd,myjobquote,1,
