company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Issa Services,,Garage Outbuilding,,,4.9,33,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/issa-services,myjobquote
L.G building,,Garage Outbuilding,,,5,2,,ID Checked; Public Liability Insurance,,,2026,https://www.myjobquote.co.uk/t/lg-building-1,myjobquote
JK Building Services,,Garage Outbuilding,,,5,4,,ID Checked; Public Liability Insurance,,,2000,https://www.myjobquote.co.uk/t/jk-building-services-2,myjobquote
Silver Prism Construction Ltd,,Garage Outbuilding,,,5,4,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/silver-prism-construction-ltd,myjobquote
Dfinal Touch Engineering Ltd,,Garage Outbuilding,,,5,1,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/dfinal-touch-engineering-ltd,myjobquote
Building construction and innovation ltd,,Garage Outbuilding,,,5,1,07418368597,ID Checked,,,2018,https://www.myjobquote.co.uk/t/building-construction-and-innovation-ltd,myjobquote
EK Building Construction,,Garage Outbuilding,,,5,8,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/ek-building-construction,myjobquote
Brentwood bathrooms ltd,,Garage Outbuilding,,,5,2,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/brentwood-bathrooms-ltd,myjobquote
Oresti paving &  construction LTD,,Garage Outbuilding,,,4,5,,ID Checked,,,2002,https://www.myjobquote.co.uk/t/oresti-paving-construction-ltd,myjobquote
NLD.London,,Garage Outbuilding,,,5,3,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/nldlondon,myjobquote
Allan & Sons Renovations Limited,,Garage Outbuilding,,,5,2,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/allan-sons-renovations-limited,myjobquote
DFLCONSTRUCTIONSERVICES,,Garage Outbuilding,,,5,1,,ID Checked,,,1990,https://www.myjobquote.co.uk/t/dflconstructionservices,myjobquote
Tuti Builders,,Garage Outbuilding,,,5,6,07418340400,ID Checked,,,2018,https://www.myjobquote.co.uk/t/tuti-builders,myjobquote
Bob Building,,Garage Outbuilding,,,5,4,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/bob-building-1,myjobquote
AJD prooperty investment LTD,,Garage Outbuilding,,,5,3,,ID Checked,,,Oct 2025,https://www.myjobquote.co.uk/t/ajd-prooperty-investment-ltd,myjobquote
EWM Design & Build Ltd,,Garage Outbuilding,,,5,1,,ID Checked,,,Aug 2024,https://www.myjobquote.co.uk/t/ewm-design-build-ltd,myjobquote
Todor Tosev,,Garage Outbuilding,,,5,1,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/todor-tosev,myjobquote
Idlcontractors,,Garage Outbuilding,,,5,2,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/idlcontractors,myjobquote
Phoenix property solutions,,Garage Outbuilding,,,5,1,,ID Checked,,,Jan 2025,https://www.myjobquote.co.uk/t/phoenix-property-solutions,myjobquote
Supermarioconstraction1984,,Garage Outbuilding,,,5,9,,ID Checked; Public Liability Insurance,,,2007,https://www.myjobquote.co.uk/t/supermarioconstraction1984,myjobquote
Richmond Bespoke Builders,,Garage Outbuilding,,,5,1,,,,,2020,https://www.myjobquote.co.uk/t/richmond-bespoke-builders,myjobquote
H G Witcher Carpentry,,Garage Outbuilding,,,5,1,,ID Checked,,,Sep 2024,https://www.myjobquote.co.uk/t/h-g-witcher-carpentry,myjobquote
Mena contractor ltd,,Garage Outbuilding,,,5,2,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/mena-contractor-ltd,myjobquote
TSMD Properties Ltd,,Garage Outbuilding,,,5,1,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/tsmd-properties-ltd,myjobquote
AdrianSobolak,,Garage Outbuilding,,,5,1,,ID Checked,,,Sep 2025,https://www.myjobquote.co.uk/t/adriansobolak,myjobquote
David general construction LTD,,Garage Outbuilding,,,5,1,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/david-general-construction-ltd,myjobquote
Temple Fortune Construction,,Garage Outbuilding,,,5,7,,ID Checked,,,Sep 2020,https://www.myjobquote.co.uk/t/temple-fortune-construction,myjobquote
Vasilica Adamuta LTD,,Garage Outbuilding,,,4,1,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/vasilica-adamuta-ltd-1,myjobquote
Alberto,,Garage Outbuilding,,,5,1,,ID Checked,,,Sep 2025,https://www.myjobquote.co.uk/t/alberto-9,myjobquote
Fix It Right,,Garage Outbuilding,,,5,1,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/fix-it-right-3,myjobquote
Graeme&#039;s Kitchen & General Building services,,Garage Outbuilding,,,5,1,,ID Checked; Public Liability Insurance,,,2020,https://www.myjobquote.co.uk/t/graemes-kitchen-general-building-services,myjobquote
NILS ON CALL,,Garage Outbuilding,,,5,14,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/nils-on-call,myjobquote
Noble builders,,Garage Outbuilding,,,5,4,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/noble-builders,myjobquote
Task plan development ltd,,Garage Outbuilding,,,5,2,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/task-plan-development-ltd,myjobquote
Azad Randhawa,,Garage Outbuilding,,,5,5,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/azad-randhawa,myjobquote
GWS Multi Trade Builders,,Garage Outbuilding,,,5,4,,ID Checked; Public Liability Insurance,,,1980,https://www.myjobquote.co.uk/t/gws-multi-trade-builders,myjobquote
Ward Builders,,Garage Outbuilding,,,5,19,,ID Checked,,,1991,https://www.myjobquote.co.uk/t/ward-builders,myjobquote
Limelight Build LTD,,Garage Outbuilding,,,5,11,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/limelight-build-ltd,myjobquote
Waldman Construction,,Garage Outbuilding,,,4.8,5,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/waldman-construction,myjobquote
ISAV LTD,,Garage Outbuilding,,,5,5,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/isav-ltd,myjobquote
As you like it building services Ltd,,Garage Outbuilding,,,5,3,,ID Checked; Public Liability Insurance,,,2014,https://www.myjobquote.co.uk/t/as-you-like-it-building-services-ltd,myjobquote
Insight Property Maintenance,,Garage Outbuilding,,,5,15,,ID Checked,,,2006,https://www.myjobquote.co.uk/t/insight-property-maintenance,myjobquote
MSG Design Ltd,,Garage Outbuilding,,,5,26,07418374742,ID Checked,,,2018,https://www.myjobquote.co.uk/t/msg-design-ltd,myjobquote
Buckingham & Sons Ltd,,Garage Outbuilding,,,4.8,5,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/buckingham-sons-ltd,myjobquote
Bespoke Construction,,Garage Outbuilding,,,4.8,2,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/bespoke-construction-6,myjobquote
