company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
SM Building Carpentry  Electrical& Services.,,Bathroom Fitter,,,5,10,07441473307,ID Checked; Public Liability Insurance,,,2005,https://www.myjobquote.co.uk/t/sm-building-carpentry-electrical-services,myjobquote
P b property  maintenance,,Bathroom Fitter,,,5,2,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/p-b-property-maintenance,myjobquote
LS design& build,,Bathroom Fitter,,,5,1,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/ls-design-build,myjobquote
Direk Construction,,Bathroom Fitter,,,5,137,,ID Checked,,,2009,https://www.myjobquote.co.uk/t/direk-construction,myjobquote
EJ Construction Services,,Bathroom Fitter,,,5,4,,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/ej-construction-services,myjobquote
Holy Mary construction ltd,,Bathroom Fitter,,,5,2,,Public Liability Insurance,,,2019,https://www.myjobquote.co.uk/t/holy-mary-construction-ltd,myjobquote
Ultrarenovations,,Bathroom Fitter,,,5,2,,ID Checked,,,Mar 2025,https://www.myjobquote.co.uk/t/ultrarenovations,myjobquote
Mladen,,Bathroom Fitter,,,5,2,,ID Checked,,,Aug 2025,https://www.myjobquote.co.uk/t/mladen-1,myjobquote
Pictureclinic,,Bathroom Fitter,,,5,12,07451274619,ID Checked,,,2016,https://www.myjobquote.co.uk/t/pictureclinic,myjobquote
Mohamed,,Bathroom Fitter,,,5,1,,ID Checked,,,Apr 2021,https://www.myjobquote.co.uk/t/mohamed-54,myjobquote
Trusted build london,,Bathroom Fitter,,,5,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/trusted-build-london-1,myjobquote
ABB Plumbing & Gas,,Bathroom Fitter,,,5,26,07418364217,ID Checked,,,2005,https://www.myjobquote.co.uk/t/abb-plumbing-gas,myjobquote
CS Bathrooms,,Bathroom Fitter,,,5,8,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/cs-bathrooms,myjobquote
SBS /SALLAKU BUILDING SERVICE,,Bathroom Fitter,,,5,2,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/sbs-sallaku-building-service,myjobquote
G & Son Plumbing,,Bathroom Fitter,,,5,5,,ID Checked,,,Jul 2023,https://www.myjobquote.co.uk/t/g-son-plumbing,myjobquote
MCR  Company,,Bathroom Fitter,,,5,15,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/mcr-company,myjobquote
JP Plumbing & Construction Limited,,Bathroom Fitter,,,5,45,07418317515,ID Checked,,,2003,https://www.myjobquote.co.uk/t/jp-plumbing-construction-limited,myjobquote
Julian plumbing,,Bathroom Fitter,,,5,4,,ID Checked; Public Liability Insurance,,,2015,https://www.myjobquote.co.uk/t/julian-plumbing-1,myjobquote
lorentzo utu LTD,,Bathroom Fitter,,,5,1,,ID Checked,,,1999,https://www.myjobquote.co.uk/t/lorentzo-utu-ltd,myjobquote
Jimgos,,Bathroom Fitter,,,5,159,07441446263,ID Checked,,,1970,https://www.myjobquote.co.uk/t/jimgos,myjobquote
BS Building Services,,Bathroom Fitter,,,4.7,3,,ID Checked,,,2012,https://www.myjobquote.co.uk/t/bs-building-services,myjobquote
DB Home Improvements,,Bathroom Fitter,,,5,1,,ID Checked,,,Apr 2025,https://www.myjobquote.co.uk/t/db-home-improvements-6,myjobquote
Refurbishment Service,,Bathroom Fitter,,,5,2,,ID Checked,,,2005,https://www.myjobquote.co.uk/t/refurbishment-service,myjobquote
Key2you,,Bathroom Fitter,,,5,1,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/key2you,myjobquote
SG Renova Ltd,,Bathroom Fitter,,,5,12,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/sg-renova-ltd,myjobquote
Thompson Tilers,,Bathroom Fitter,,,5,10,,ID Checked,,,2009,https://www.myjobquote.co.uk/t/thompson-tilers,myjobquote
K1 builders ltd,,Bathroom Fitter,,,5,2,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/k1-builders-ltd,myjobquote
Kcbuildingservices,,Bathroom Fitter,,,5,6,,ID Checked,,,Dec 2025,https://www.myjobquote.co.uk/t/kcbuildingservices,myjobquote
UK dh group Ltd,,Bathroom Fitter,,,5,2,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/uk-dh-group-ltd,myjobquote
CAT.V. BUILDER LTD,,Bathroom Fitter,,,5,1,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/catv-builder-ltd,myjobquote
Jurek,,Bathroom Fitter,,,5,1,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/jurek,myjobquote
ProMakers,,Bathroom Fitter,,,5,7,,ID Checked,,,1998,https://www.myjobquote.co.uk/t/promakers,myjobquote
PH PLUMBING AND BATHROOMS,,Bathroom Fitter,,,4,2,,ID Checked,,,2008,https://www.myjobquote.co.uk/t/ph-plumbing-and-bathrooms,myjobquote
CMC Solutions,,Bathroom Fitter,,,5,7,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/cmc-solutions,myjobquote
A&R Connolly,,Bathroom Fitter,,,5,18,,ID Checked,,,1986,https://www.myjobquote.co.uk/t/ar-connolly,myjobquote
Landlord Solutions Ltd,,Bathroom Fitter,,,5,3,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/landlord-solutions-ltd,myjobquote
RK Renovations,,Bathroom Fitter,,,5,15,07418361849,ID Checked,,,2021,https://www.myjobquote.co.uk/t/rk-renovations,myjobquote
David Property Maintenance Ltd,,Bathroom Fitter,,,5,3,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/david-property-maintenance-ltd-1,myjobquote
Grzegorz,,Bathroom Fitter,,,5,8,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/grzegorz-8,myjobquote
Elizabeth Building Ltd,,Bathroom Fitter,,,4.9,14,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/elizabeth-building-ltd,myjobquote
Golden Hands Group,,Bathroom Fitter,,,5,5,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/golden-hands-group,myjobquote
toadermaryo9@gmail.com,,Bathroom Fitter,,,5,1,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/toadermaryo9-at-gmailcom,myjobquote
Mario Ferreira dos Santos,,Bathroom Fitter,,,1,1,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/mario-ferreira-dos-santos,myjobquote
